Gene = H2afz
index = 531
Annotated 5SS: [ 210  724 1147 1654]
Annotated 3SS: [ 645 1032 1523 1898]
SMsplice 5SS: [ 210 1147 1654]
SMsplice 3SS: [1070 1523 1898]
top_k =  100
Partition function (log Z): 0.018088572365627997

Sorted 5' Splice Sites (High to Low Probability):
Position 1654: 0.9752249268118881
Position 1147: 0.9088168394068304
Position 210: 0.4942975756649301
Position 724: 0.4676125221987766
Position 200: 0.11715766733198257
Position 1474: 0.02861578635841472
Position 653: 0.015865024720742336
Position 117: 0.0085490588577946
Position 1563: 0.0059809939399716825
Position 1157: 0.005662697782450139
Position 748: 0.005606414006799073
Position 215: 0.004893786341730831
Position 1524: 0.0036709297873560843
Position 1648: 0.001475685905983283
Position 348: 0.001064073381944167
Position 728: 0.0007984654056146945
Position 154: 0.0007539795236845193
Position 2022: 0.0006494898823796854
Position 387: 0.0005208791642324293
Position 1412: 0.0004364114082484092
Position 1651: 0.00017947940247630252
Position 1739: 0.0001522369813676072
Position 2038: 8.660752555535803e-05
Position 168: 5.9016214975015246e-05
Position 271: 5.729983686418989e-05
Position 2190: 5.290184320715409e-05
Position 2193: 4.789406344600923e-05
Position 183: 1.6653453643130437e-06
Position 459: 1.4280071062585734e-06
Position 26: 1.3601571424898367e-06
Position 314: 1.3412633985637252e-06
Position 222: 1.296269473037285e-06
Position 130: 8.380035461358289e-07
Position 1165: 8.10193472369601e-07
Position 1131: 6.733079237989174e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 1898: 0.9883141788776042
Position 1070: 0.7923478264069704
Position 1523: 0.7396049036015451
Position 1592: 0.23640216193662805
Position 1032: 0.09102527247606361
Position 556: 0.07408589607680918
Position 645: 0.05424124507581792
Position 1411: 0.03672078290975178
Position 817: 0.006679002079920683
Position 1867: 0.005604968450453414
Position 1115: 0.0046175720096675015
Position 1079: 0.0035790304421287854
Position 855: 0.003089013459138201
Position 1562: 0.0025637815536678813
Position 1870: 0.0011592507324108161
Position 1238: 0.0010852693368077662
Position 2285: 0.0009082903157681942
Position 708: 0.000838489636551446
Position 1720: 0.0008167033379772115
Position 1539: 0.0006273810831064532
Position 1987: 0.0006030331884189906
Position 2008: 0.0005603662633180239
Position 1497: 0.0005258872879093639
Position 657: 0.0004492205917949799
Position 2252: 0.00029355660307148754
Position 373: 0.000272823493842297
Position 1769: 0.0002689934569360953
Position 436: 0.0002225004987692448
Position 2418: 0.00015088360725570306
Position 1258: 0.00013362397798335506
Position 1120: 0.00012860510954687646
Position 456: 8.16037484432528e-05
Position 576: 7.860430136934224e-05
Position 1800: 6.578285911436643e-05
Position 678: 6.0098935090143656e-05
Position 666: 3.444495865461488e-05
Position 289: 2.714830602893068e-05
Position 712: 2.5653068471251987e-05
Position 1144: 2.4070681121697316e-06
Position 287: 2.783147189889513e-07
Position 684: 2.7541770665241967e-07
Position 342: 2.364315680978361e-07
Position 491: 2.1636607337705676e-07
Position 690: 2.004400845378453e-07
Position 347: 1.897196747225943e-07
Position 380: 1.3471190574598914e-07
Position 417: 1.0517143014981765e-07
Position 306: 1.0161116537592362e-07
Position 367: 6.098982724745837e-08
