Gene = Nhlrc3
index = 747
Annotated 5SS: [ 273 1021 1701 4848 6907 9791]
Annotated 3SS: [  867  1552  4646  6814  9677 10682]
SMsplice 5SS: [ 273 1021 1701 3263 4848 6907 9791]
SMsplice 3SS: [  867  1552  2965  4646  6814  9677 12736]
top_k =  100
Partition function (log Z): -2.428898352469632

Sorted 5' Splice Sites (High to Low Probability):
Position 4848: 0.974033657921258
Position 9791: 0.9605321138556393
Position 6907: 0.9383370676979549
Position 1701: 0.8698649194239131
Position 3263: 0.7912969519758234
Position 1021: 0.7584643037148324
Position 273: 0.611980344025226
Position 10194: 0.26322263245869093
Position 12547: 0.22365362056112884
Position 2270: 0.152269738499733
Position 1002: 0.09509440769647015
Position 6199: 0.0876221093784897
Position 12565: 0.08608301853627494
Position 462: 0.06909604117364342
Position 12587: 0.06154213625731655
Position 6127: 0.058598050180018055
Position 119: 0.05361069278651471
Position 6616: 0.048217256501737145
Position 1641: 0.04745609577135493
Position 6558: 0.047442535321044
Position 2511: 0.04602757026395651
Position 2045: 0.0319199555648662
Position 10857: 0.02678703444091546
Position 8801: 0.024925211704956943
Position 2296: 0.019874884903414793
Position 3872: 0.017820597713734444
Position 2843: 0.01764968735970658
Position 7051: 0.01660515124932557
Position 317: 0.014239096612346722
Position 8285: 0.011662942279091015
Position 3101: 0.010889497225054593
Position 2194: 0.006585124758856713
Position 10813: 0.004975772327350102
Position 111: 0.0049009538490118396
Position 106: 0.004419633151596654
Position 4865: 0.004374819375766731
Position 6948: 0.0038158940812858823
Position 294: 0.0035249888059771897
Position 204: 0.0032903090426334323
Position 416: 0.003275595841744648
Position 427: 0.0029880933340769907
Position 503: 0.0026415682271411253
Position 6290: 0.0014890479230035543
Position 6230: 0.0009585919797611437
Position 1343: 0.0004928785940212691
Position 298: 0.000253052939268284
Position 10169: 0.00019030984922558324
Position 300: 1.6257049542753767e-05
Position 98: 6.557055808422729e-06
Position 304: 5.898856804717668e-06
Position 88: 5.289612261807641e-06
Position 243: 4.9207970667026245e-06
Position 262: 1.5291586353526235e-06
Position 32: 1.1918471105974305e-06
Position 238: 1.1341293976152787e-06
Position 127: 7.975936798861703e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 4646: 0.9784084772970247
Position 9677: 0.9783905845426353
Position 6814: 0.9436913458672939
Position 1552: 0.9056029954593487
Position 12736: 0.8161814691135956
Position 2965: 0.5090872606009811
Position 867: 0.4346782345019321
Position 12472: 0.380363674622376
Position 3023: 0.2328875867161543
Position 6039: 0.14866779946127245
Position 2160: 0.11272158258846081
Position 6434: 0.10633448115097617
Position 10095: 0.10103786604096825
Position 10062: 0.09134289828676824
Position 10682: 0.09098336078687264
Position 798: 0.08571006532521071
Position 1994: 0.07848198742881714
Position 3167: 0.06021160188374263
Position 902: 0.057549763850634046
Position 12769: 0.05220809290916353
Position 2349: 0.04602757026395649
Position 10065: 0.027621459097833187
Position 9893: 0.027612318443396455
Position 10123: 0.021991986386143803
Position 8708: 0.021446952655149627
Position 875: 0.019504030009488846
Position 3719: 0.017820597713734433
Position 2773: 0.01764968735970658
Position 12006: 0.01759719989381967
Position 985: 0.011812764896278008
Position 909: 0.010789878676204607
Position 1625: 0.010574684901242807
Position 8184: 0.009014277009821456
Position 12130: 0.008688725482743338
Position 1965: 0.00807314773512026
Position 12315: 0.007223797887150592
Position 2193: 0.005908583547567301
Position 385: 0.005842638661209385
Position 13017: 0.0056313339403298935
Position 7009: 0.004503948685822514
Position 8730: 0.003478259049807309
Position 2095: 0.002719325888993056
Position 8164: 0.002648665269269572
Position 2226: 0.002506158761853733
Position 1573: 0.001045476785911605
Position 358: 0.0010272191816862236
Position 740: 0.0008766728980180083
Position 1220: 0.00037979606442167346
Position 1780: 0.00013168671122807437
Position 1234: 0.00011391003985225736
Position 1914: 0.00010723106483033414
Position 1496: 9.703053851234343e-05
Position 361: 3.138930013013718e-05
