Gene = Arl6ip1
index = 134
Annotated 5SS: [ 194 2529 3267 7737 8502]
Annotated 3SS: [2394 3146 7618 8416 9251]
SMsplice 5SS: [ 194 2529 3267 8502]
SMsplice 3SS: [2394 3146 8416 9251]
top_k =  100
Partition function (log Z): -8.668232851704818

Sorted 5' Splice Sites (High to Low Probability):
Position 2529: 0.9246752239769213
Position 194: 0.8736271626801598
Position 3267: 0.6960013615442903
Position 8502: 0.524130394804688
Position 207: 0.07937318789155873
Position 348: 0.04256476280896927
Position 395: 0.012803808856459702
Position 7737: 0.009058459293193115
Position 3014: 0.008841091617068648
Position 2533: 0.007177541417962827
Position 3022: 0.0038574464899765867
Position 767: 0.003649324394561047
Position 402: 0.0034728865370050425
Position 2443: 0.003033384876959226
Position 2507: 0.0022202700808670243
Position 3052: 0.0012304304734867047
Position 352: 2.1317849000218414e-05
Position 362: 1.7820036585925165e-05
Position 292: 1.4270799169120275e-05
Position 198: 7.591405261241832e-06
Position 204: 4.320856511925508e-06
Position 224: 2.2966070126021606e-06
Position 211: 1.333104300576411e-06
Position 23: 8.903336234314823e-07
Position 215: 5.077618233472737e-07
Position 122: 4.26748123508113e-07
Position 120: 1.8431755389122206e-07
Position 94: 1.8252253788199268e-07
Position 78: 1.062657318067661e-07
Position 148: 5.182054993733663e-08
Position 37: 3.8244991681496607e-08
Position 106: 3.3579821116072054e-08
Position 3: 2.1447674184963193e-08
Position 134: 2.1408645278284674e-08
Position 126: 1.4834127821689817e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2394: 0.9337329998016443
Position 9251: 0.7470717226233581
Position 3146: 0.7296141778523121
Position 8416: 0.540433913950609
Position 7618: 0.029429456630925242
Position 9626: 0.026306535177692988
Position 4321: 0.022804634055296067
Position 10265: 0.02139763267899856
Position 9929: 0.019589482068445106
Position 2912: 0.014840498159263735
Position 9595: 0.012850908024757612
Position 4033: 0.010607073088678334
Position 3327: 0.008175651657470289
Position 8673: 0.00766872669605225
Position 291: 0.007119652668159856
Position 8770: 0.006967395644507133
Position 4474: 0.005844568637637848
Position 5358: 0.005533787627831249
Position 3238: 0.005090833883880336
Position 261: 0.00485321076285609
Position 4325: 0.004172386438698904
Position 5882: 0.003826167675010419
Position 5440: 0.0034660084945399815
Position 593: 0.003299728359385897
Position 2720: 0.0031886873288191567
Position 2645: 0.0021012933334676204
Position 2254: 0.0020788803629966978
Position 2279: 0.0019538369143721613
Position 6667: 0.0019257815319393677
Position 4051: 0.0014872950559931058
Position 4792: 0.0010491699024251175
Position 4629: 0.0009835779509533313
Position 3389: 0.0009152338882032209
Position 4252: 0.0008302278968042916
Position 4721: 0.000802340664080368
Position 3369: 0.0006869647953833493
Position 3348: 0.0006086643890878287
Position 3468: 0.0005129414719856225
Position 3864: 0.0005122170682710502
Position 2748: 0.0004982013049599533
Position 498: 0.00031954950563524415
Position 629: 0.00022577202570657687
Position 1870: 0.00015415842539893146
Position 839: 0.00011521675882224234
Position 1011: 8.078558329246963e-05
Position 906: 6.021887055790941e-05
