Gene = Rps15a
index = 929
Annotated 5SS: [  53 1080 1404 6256]
Annotated 3SS: [ 941 1323 6169 6994]
SMsplice 5SS: [  53 1080 1404 6256]
SMsplice 3SS: [ 941 1323 6169 6994]
top_k =  100
Partition function (log Z): -0.623846535037043

Sorted 5' Splice Sites (High to Low Probability):
Position 1080: 0.9945470933852144
Position 1404: 0.9922813081758736
Position 53: 0.915070975303616
Position 6256: 0.6185658788261476
Position 4864: 0.1670778966329031
Position 2404: 0.1590353020232649
Position 7091: 0.11300165840580588
Position 717: 0.09295767821591099
Position 6494: 0.06609719133378876
Position 761: 0.04419095516267976
Position 449: 0.036940875133471496
Position 57: 0.035828468926510135
Position 768: 0.03330791433698768
Position 681: 0.016448425805442698
Position 2212: 0.011499549530185449
Position 3866: 0.011316486044432668
Position 4954: 0.010652336180381505
Position 7131: 0.009416600668656717
Position 6246: 0.007906668181601179
Position 1815: 0.007815087654273786
Position 6328: 0.0074732306506721455
Position 1019: 0.004016830780095876
Position 92: 0.0037452937881197836
Position 338: 0.002728393380208871
Position 8: 0.0017236570154058415
Position 6284: 0.0015719807950466628
Position 524: 0.0012226158209085573
Position 1064: 0.000431678950342626
Position 136: 0.0004181572112044716
Position 474: 0.00041627190435522717
Position 1255: 0.0004058257482954153
Position 196: 0.00034123693721342527
Position 499: 0.00032679241192121064
Position 1084: 0.00026758145042049796
Position 182: 0.000231583430361836
Position 287: 0.00021946700712271717
Position 118: 0.00019735648527034231
Position 1134: 0.0001939968429752017
Position 1054: 0.00017034488594175941
Position 1157: 0.00016527304459301305
Position 1043: 7.118257627713151e-05
Position 131: 2.7114948883968954e-06
Position 166: 1.8936402657049981e-07
Position 163: 1.569522245121739e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 941: 0.9992662337566974
Position 1323: 0.9828693630095428
Position 6994: 0.9014365774664996
Position 6169: 0.6427995498608317
Position 618: 0.10463087533863004
Position 4706: 0.09159044963631724
Position 4815: 0.0646198443867573
Position 7154: 0.06031001107091147
Position 6342: 0.05527497366172419
Position 2301: 0.0540208974297305
Position 7874: 0.04618041583252844
Position 668: 0.04303813706009696
Position 8258: 0.041114612763818614
Position 6493: 0.0270743132204647
Position 2037: 0.025521683624748676
Position 2153: 0.023662178280804077
Position 6403: 0.020348457688577123
Position 7599: 0.020233859877164695
Position 647: 0.01944504379349432
Position 4794: 0.015936592230874427
Position 2265: 0.011857576606851607
Position 2304: 0.011671940979080425
Position 2161: 0.009664331128028706
Position 2365: 0.009572008545028545
Position 4636: 0.009305603307901726
Position 1698: 0.009030003115275041
Position 3708: 0.00884857941449181
Position 2248: 0.00820200147768012
Position 2085: 0.007981285821063524
Position 2283: 0.007967265290928583
Position 229: 0.007630703964790345
Position 1389: 0.007048836712068118
Position 748: 0.005845825630219414
Position 2188: 0.00352080751763814
Position 3547: 0.002467906629940859
Position 280: 0.0019989832518052344
Position 147: 0.00170905249599223
Position 1278: 0.001439046418688605
Position 1206: 0.0012829459366104203
Position 520: 0.0007347914281399907
Position 572: 0.0006926141424926867
Position 166: 0.0004184663631877996
Position 1483: 0.000334310421408108
Position 628: 0.00027364360474161096
Position 1360: 0.00022151156283069533
Position 380: 0.00020293738586031786
Position 336: 0.00015875079825648878
Position 157: 0.00015310326287411777
Position 1343: 0.00015010941058484346
Position 1219: 0.00012497663125323594
Position 868: 0.00011981309505023762
Position 1151: 0.00010315414848195191
Position 1272: 8.46188204446539e-05
Position 1109: 4.280673567986814e-05
Position 1146: 1.401410265077185e-05
Position 1199: 1.2956810800263244e-05
Position 1564: 1.144999294577326e-05
Position 1247: 8.475039022102001e-06
Position 1623: 6.801992090637236e-06
Position 1513: 6.452875734515244e-06
Position 1626: 3.6486538786452672e-06
Position 1643: 1.1630451183896912e-06
Position 1393: 6.135816935859602e-07
Position 212: 1.0000532491082116e-07
Position 428: 6.032872471025367e-08
Position 199: 3.994994409339382e-08
Position 701: 4.3152676482928075e-10
