Gene = Ctr9
index = 305
Annotated 5SS: [  231  1362  4980  5515  6427  9584 11712 13973 14312 14556 14792 15069
 16515 17489 17653 17961 20430 20705 21555 22130 22646 23509 24528 24976]
Annotated 3SS: [ 1262  4739  5396  6336  9434 11603 13864 14074 14465 14662 14884 16425
 17302 17564 17811 20312 20558 21482 21993 22498 23350 24430 24862 26407]
SMsplice 5SS: [  231  1362  1669  4980  6427 11712 13973 14312 14556 14792 15069 16515
 17489 17653 17961 20705 21269 21555 22130 22646 23509 24976]
SMsplice 3SS: [ 1262  1541  4739  6336 11603 13864 14074 14465 14662 14884 16425 17302
 17564 17811 20558 21166 21482 21993 22498 23350 24862 26407]
top_k =  100
Partition function (log Z): 28.84945380839288

Sorted 5' Splice Sites (High to Low Probability):
Position 11712: 1.0000000000000002
Position 22646: 0.9999407639740673
Position 14556: 0.9902902080464533
Position 21555: 0.9874712389913394
Position 1362: 0.9794205514913055
Position 17653: 0.9768423722118895
Position 14792: 0.975834664597714
Position 13973: 0.9684337057347407
Position 22130: 0.961517299004184
Position 6427: 0.9566690828216498
Position 23509: 0.9117080618929844
Position 20705: 0.8922536841618232
Position 24976: 0.8893940307398572
Position 17961: 0.886773835032584
Position 16515: 0.8766829923046895
Position 15069: 0.8368166999403068
Position 14312: 0.7674585838928979
Position 4980: 0.7608680080445358
Position 17489: 0.6568060847867109
Position 21269: 0.6181593641998243
Position 231: 0.5694240958770503
Position 9584: 0.43657874026945326
Position 1669: 0.28325207930452184
Position 1600: 0.28183692280803285
Position 1651: 0.240163517355731
Position 23952: 0.19567829039077153
Position 20430: 0.14124827894329717
Position 102: 0.13258621037269133
Position 157: 0.09364806425659232
Position 107: 0.08102470317137903
Position 25743: 0.06782048787224315
Position 2716: 0.0668897723994908
Position 5515: 0.06267972108126592
Position 116: 0.052548553040927766
Position 3167: 0.04783535837644756
Position 22902: 0.04615347733710118
Position 14181: 0.0436272570729632
Position 21313: 0.04125243560079671
Position 1157: 0.03693621188712761
Position 1627: 0.033316429600701344
Position 25172: 0.025596476964662596
Position 15277: 0.02549578497043203
Position 445: 0.024151962089154544
Position 456: 0.02103360335509076
Position 17633: 0.020833182124273073
Position 14330: 0.01708391443033524
Position 25007: 0.016923856612111
Position 1595: 0.013453532843446117
Position 694: 0.011927423968563772
Position 1001: 0.011728837193836515
Position 2820: 0.011540263869989277
Position 1845: 0.0095393402361792
Position 17367: 0.008388083186249293
Position 764: 0.008007814836373153
Position 25020: 0.006269878812298774
Position 97: 0.005918245249749886
Position 14364: 0.005904595481844399
Position 95: 0.0056921437957087855
Position 1366: 0.004938039958296174
Position 15325: 0.004498341838132781
Position 482: 0.004361562324169373
Position 23079: 0.0026562378125547714
Position 443: 0.002564563513748678
Position 17712: 0.002324445663839078
Position 242: 0.001957562865562573
Position 235: 0.0012676710866360102
Position 983: 0.0012517111804318903
Position 23478: 0.001074552397565781
Position 16522: 0.001044522723937485
Position 21576: 0.0010171948632349671
Position 389: 0.0009359893981666914
Position 1423: 0.0006416307635992263
Position 75: 0.0006123521082521823
Position 188: 0.0005478823117103243
Position 22629: 4.476876516693745e-05
Position 22635: 1.4467260767086762e-05
