Gene = Khdc4
index = 605
Annotated 5SS: [   85   764  3501  3901  7326  7782 10974 13107 14206 14712 23139 24140
 25050]
Annotated 3SS: [  540  3371  3820  7272  7617 10761 13045 14147 14457 22976 24026 24957
 25826]
SMsplice 5SS: [   85   764  3501  3960 10974 13107 14258 14712 23139 24140 25050]
SMsplice 3SS: [  540  3371  3820 10761 13045 14147 14457 23042 24026 24957 25826]
top_k =  100
Partition function (log Z): 0.39558896927101916

Sorted 5' Splice Sites (High to Low Probability):
Position 10974: 0.9999689433256165
Position 14712: 0.9995819417312809
Position 764: 0.9976893643856105
Position 3501: 0.9797601339307711
Position 3960: 0.9574245679914888
Position 14258: 0.810389682315418
Position 85: 0.7687698175722613
Position 13107: 0.640343119152402
Position 383: 0.16883054828629862
Position 7782: 0.15716489576854115
Position 2226: 0.12067019953869824
Position 7326: 0.09096747036455693
Position 3668: 0.08738833282104608
Position 2666: 0.07783679070534369
Position 14206: 0.07178692902206668
Position 18378: 0.06591961737787883
Position 260: 0.0456871697074187
Position 2939: 0.037300561186323494
Position 3291: 0.03656968096688987
Position 25920: 0.0238463775236275
Position 25969: 0.019596015561188406
Position 3901: 0.017197441735530325
Position 3905: 0.016345618687162996
Position 361: 0.015525452738713856
Position 2782: 0.01519707345341152
Position 606: 0.011100550340878212
Position 866: 0.010006967047440451
Position 3683: 0.008064336363754268
Position 3983: 0.006870396566645708
Position 1432: 0.00522546162231318
Position 3701: 0.005162868494182769
Position 378: 0.004223134591599363
Position 3530: 0.0036733257897705244
Position 2210: 0.0032289379973338347
Position 347: 0.003125421354210825
Position 3541: 0.002620370080563049
Position 9: 0.0012796175497838968
Position 475: 0.0011588576779450015
Position 177: 0.0007899975748402999
Position 220: 0.00030466174754856907
Position 186: 0.00019313810209635736
Position 206: 0.00011177185482947722
Position 156: 0.00011087640991570591
Position 13: 4.1101828635950314e-05
Position 330: 3.4534113315362094e-07
Position 406: 2.81950253615242e-07
Position 49: 2.0652987835726883e-07
Position 6: 1.9813914758419516e-07
Position 24: 2.140928267243174e-09
Position 27: 7.116128743687649e-10
Position 154: 4.653190359826254e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 10761: 0.9999763077624622
Position 25826: 0.9923117194675339
Position 3371: 0.9833053799704167
Position 14147: 0.882176611337485
Position 3820: 0.8657127446835637
Position 540: 0.7974743401891633
Position 14457: 0.6678761284325235
Position 13045: 0.640343119152402
Position 14558: 0.3155127792917234
Position 668: 0.1678554639724241
Position 7617: 0.15718431215688058
Position 3800: 0.13212633658323214
Position 3566: 0.08904913369678183
Position 2134: 0.0835258322849419
Position 18321: 0.06691789629118615
Position 7224: 0.04982315715879057
Position 27080: 0.04344239308481591
Position 2494: 0.041722067488219376
Position 7272: 0.04114431320576635
Position 605: 0.04095574715493237
Position 3053: 0.03656968096688987
Position 2490: 0.03352712194041993
Position 2026: 0.03344912394390987
Position 2860: 0.022565273138360716
Position 14383: 0.016532058037807256
Position 2729: 0.015981257554713142
Position 830: 0.009990971595682688
Position 3597: 0.007355224653619551
Position 2068: 0.005260879617644464
Position 3377: 0.005129898135326585
Position 2881: 0.004946363259982878
Position 2525: 0.004839932386195678
Position 2590: 0.004598261389115245
Position 14878: 0.0032497059885723614
Position 296: 0.0031337729443225827
Position 180: 0.003123431330626731
Position 299: 0.0030998636800781717
Position 2617: 0.002154147325416334
Position 457: 0.0018183637841107578
Position 3466: 0.0017174430052148163
Position 1984: 0.0016632973596224165
Position 1371: 0.0014846689835748444
Position 1187: 0.0014342489768515156
Position 959: 0.0013342370560332525
Position 17376: 0.0010654952514219725
Position 1102: 0.0009723066058535653
Position 16316: 0.0006243171799155142
Position 247: 0.0005740003566223057
Position 17920: 0.00029881762515580803
Position 15532: 0.00028862869081712895
Position 14914: 0.0002731192515271489
Position 249: 0.0002612543079386887
Position 316: 0.0002546355055133842
Position 17356: 0.00022992974629105245
Position 199: 0.0001479642200496734
Position 16497: 0.0001295511858328819
Position 3661: 0.00011228801872836376
Position 177: 0.0001070441620275847
Position 15475: 8.328847074237391e-05
Position 16040: 7.706752372684634e-05
Position 273: 5.498039296106751e-05
Position 326: 1.61821987718613e-05
Position 342: 1.6048786798345608e-05
Position 277: 1.2978956633300587e-05
Position 225: 1.1281352444244619e-05
Position 268: 9.135521623308784e-06
Position 549: 7.70238396011701e-06
Position 671: 6.7648346249404245e-06
Position 310: 6.412155999521262e-06
Position 305: 5.088864119746668e-06
Position 4105: 2.8624439708575814e-06
Position 703: 2.374857637738345e-06
Position 728: 1.926178547186457e-06
Position 614: 1.3252346885256903e-06
Position 517: 4.287072080193219e-07
Position 5548: 3.557262513833923e-07
Position 1784: 2.2036318050512565e-09
Position 1817: 2.126281664538869e-09
Position 3825: 1.3930081328011068e-09
Position 2442: 8.626554171923335e-10
