Gene = 2310046K23Rik
index = 35
Annotated 5SS: [38]
Annotated 3SS: [1367]
SMsplice 5SS: [38]
SMsplice 3SS: [1367]
top_k =  100
Partition function (log Z): -9.24292419905464

Sorted 5' Splice Sites (High to Low Probability):
Position 38: 0.9416334249061917
Position 107: 0.03768707698266723
Position 52: 0.012126952454264888
Position 479: 0.005103789436322585
Position 281: 0.004816384501486058
Position 1098: 0.0042189622101987375
Position 1570: 0.00421656911017543
Position 694: 0.0035030478648217464
Position 1708: 0.0008455414840689196
Position 123: 3.982073033780352e-06
Position 344: 2.8409585944687806e-06
Position 81: 2.702860402632699e-06
Position 101: 1.0832752600349796e-06
Position 86: 2.0474663197113446e-07
Position 42: 6.123569830670588e-08
Position 120: 2.0086910505530367e-08
Position 23: 5.391707975670488e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1367: 0.5658056345461399
Position 1048: 0.057485249008044706
Position 178: 0.04255434180407631
Position 1560: 0.0337319270440638
Position 782: 0.03326481903482446
Position 1518: 0.02682102356181674
Position 1497: 0.025069910735208173
Position 1536: 0.02149593714086686
Position 1479: 0.01716852997389777
Position 1557: 0.01657113655665201
Position 1458: 0.013461314582970948
Position 1521: 0.012701758262135078
Position 631: 0.012238581291653833
Position 1843: 0.01152013124006377
Position 1590: 0.01137278526683688
Position 1440: 0.01038898744433292
Position 1936: 0.009703910682983433
Position 1539: 0.00939414317533055
Position 1620: 0.009183393306717342
Position 1443: 0.007454860552272695
Position 197: 0.0073388843110442905
Position 1482: 0.0066687154853106705
Position 1617: 0.0054590632929571595
Position 1392: 0.004843238420896613
Position 266: 0.004721219604353711
Position 1846: 0.004707650008951872
Position 493: 0.004210210334031151
Position 1771: 0.0035181749020497984
Position 1737: 0.00290937478692931
Position 1712: 0.0027362898036246233
Position 678: 0.002522004586716492
Position 294: 0.0023276098312808957
Position 1419: 0.0022447709227856913
Position 1313: 0.0018703501703450805
Position 106: 0.0015829689835188082
Position 810: 0.001415395996729773
Position 1422: 0.001337254256879481
Position 1599: 0.0012955137918142599
Position 478: 0.0011541089938592506
Position 1976: 0.001022951340205447
Position 791: 0.0007393433951085177
Position 1869: 0.0007301810651232182
Position 370: 0.0007105140305017173
Position 389: 0.0007084860525315804
