Gene = Haus3
index = 532
Annotated 5SS: [ 138 2123 3612 6005]
Annotated 3SS: [ 1083  3171  5775 15420]
SMsplice 5SS: [ 138 2123 6005]
SMsplice 3SS: [ 1937  5775 15420]
top_k =  100
Partition function (log Z): -5.758083148976978

Sorted 5' Splice Sites (High to Low Probability):
Position 6005: 0.9978894584566406
Position 138: 0.6936053196354043
Position 2123: 0.6500936043073209
Position 277: 0.19792464726190107
Position 757: 0.1518872136989965
Position 3612: 0.10761584448892632
Position 149: 0.04749355770908664
Position 3280: 0.03506311361044841
Position 3375: 0.024581154061758297
Position 2058: 0.006718219106825985
Position 265: 0.00486752820995914
Position 75: 0.0037764783098958635
Position 233: 0.0002516587679223993
Position 302: 0.00025164763344864393
Position 212: 0.0002280198648888925

Sorted 3' Splice Sites (High to Low Probability):
Position 5775: 0.999864143502006
Position 15420: 0.9002438499162382
Position 1937: 0.5893239512097037
Position 3171: 0.14505078496244292
Position 672: 0.08988109883834969
Position 1804: 0.03228483413729109
Position 15368: 0.026650103432982502
Position 3339: 0.022229940326877508
Position 2032: 0.019710013188842093
Position 1885: 0.011727589893144154
Position 10861: 0.010666163610112975
Position 8241: 0.008620640440832536
Position 10360: 0.006133612001662939
Position 689: 0.004145286444047674
Position 9795: 0.0038899656489813786
Position 1755: 0.0035753875269346055
Position 11777: 0.0033157724716734106
Position 11858: 0.003262014817707911
Position 6139: 0.0028515961256010223
Position 12442: 0.0027552364962666015
Position 6528: 0.002095790988536811
Position 9569: 0.0019048760067249912
Position 9341: 0.0018759247825643386
Position 11362: 0.001734907517114123
Position 10322: 0.0016224047162913483
Position 11350: 0.0014169910635977636
Position 10792: 0.0013961176133252841
Position 10686: 0.0013412435647120972
Position 10497: 0.0013372639587186646
Position 10988: 0.0013327955560858424
Position 446: 0.0012847006513977426
Position 498: 0.0012804435473853977
Position 8166: 0.0012145414357466503
Position 8060: 0.0012063084359394643
Position 539: 0.0011607155483780653
Position 8425: 0.0011093233378044408
Position 7590: 0.000980554108503279
Position 7725: 0.0009415088556977271
Position 476: 0.0009371323423097188
Position 7658: 0.0008955300552598716
Position 6998: 0.0008674235949667308
Position 7370: 0.0008440924167066207
Position 7480: 0.0008439092774210973
Position 563: 0.0007981202141490807
Position 9380: 0.0006279230825192854
Position 7389: 0.0005155554048985304
Position 9554: 0.0004968028063104728
Position 574: 0.00044868489438820757
Position 7012: 0.0004085389941391815
Position 8468: 0.0003921455359807015
Position 7145: 0.0003895166531997056
Position 8299: 0.0003576614442913934
Position 513: 0.00034988861109732836
Position 8795: 0.00031706327496700107
Position 6414: 0.00031681437711406416
Position 6627: 0.0003144592923825245
Position 1770: 0.00019004745823104221
Position 7437: 0.0001768984358863602
Position 6567: 0.00011986420522834188
Position 6446: 0.00010575270194544226
Position 5057: 8.45572287608636e-05
Position 5792: 3.068614104645445e-05
