Gene = Srsf11
index = 1031
Annotated 5SS: [  124  5188  9915 13799 14680 15264 17328 18830 20318 22688 23860 24330]
Annotated 3SS: [ 4990  9780 13688 14586 15213 17199 18747 20185 22597 23763 24190 24435]
SMsplice 5SS: [  124  4649  9915 13397 13799 14680 17328 17553 18830 20318 22688 23860
 24330]
SMsplice 3SS: [ 4572  9780 13279 13688 14586 17199 17440 18747 20185 22597 23763 24190
 24438]
top_k =  100
Partition function (log Z): 19.497842039588548

Sorted 5' Splice Sites (High to Low Probability):
Position 13397: 0.9999999999999968
Position 24330: 0.9999593464614888
Position 124: 0.9988293140374517
Position 22688: 0.9885249623430534
Position 20318: 0.9747194811555036
Position 14680: 0.974275343361747
Position 18830: 0.9715826563795966
Position 17328: 0.965181838420028
Position 4649: 0.8554091571108228
Position 23860: 0.7915878355878759
Position 9915: 0.6805578171529388
Position 13799: 0.6496882563268203
Position 17553: 0.5603922832373495
Position 12517: 0.4674044007591165
Position 1868: 0.37347097252621686
Position 17135: 0.28508852166016735
Position 21717: 0.1349691687394808
Position 21531: 0.05735471962021635
Position 4000: 0.052312657587668274
Position 17620: 0.04679556283755851
Position 20395: 0.03052929266851591
Position 15264: 0.02927253011245149
Position 23866: 0.028141041092759
Position 2022: 0.02664317427938101
Position 17596: 0.026642225509224054
Position 21758: 0.025854405985972422
Position 3477: 0.02563075774932164
Position 22354: 0.020646987286486406
Position 17650: 0.01986047767166405
Position 17991: 0.01692468988090419
Position 18876: 0.01569225964164161
Position 24559: 0.012718732697419454
Position 18348: 0.012627919604863605
Position 22812: 0.011475037656943958
Position 24623: 0.010653305824386207
Position 24479: 0.006024046330213509
Position 17711: 0.0038397054510780583
Position 17374: 0.002756437189706932
Position 17365: 0.0027162588393778164
Position 128: 0.0011706859625411352
Position 18881: 0.0008969725931493016
Position 24334: 2.7245660598263446e-05
Position 20294: 1.7802321073534252e-05
Position 24348: 1.495051595880116e-06
Position 24362: 5.275770144720918e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 13279: 0.9999999999999956
Position 20185: 0.9983167010206287
Position 22597: 0.9909888779337612
Position 24190: 0.9842112341201568
Position 14586: 0.974275343361748
Position 17199: 0.9580481531192215
Position 18747: 0.9426787397467195
Position 4572: 0.8554091571108225
Position 24438: 0.8273568494960765
Position 23763: 0.7493911657089618
Position 17440: 0.657530254706875
Position 9780: 0.5201982336837373
Position 12407: 0.46740440075911677
Position 13688: 0.3996478927366594
Position 1723: 0.3828176542750396
Position 17035: 0.2976949029900591
Position 13653: 0.2500403635901614
Position 9823: 0.16035958346920132
Position 21600: 0.0870806686709464
Position 21459: 0.08542383927388728
Position 24435: 0.07800847682446949
Position 25758: 0.06026931162999537
Position 23737: 0.05675171730775944
Position 3860: 0.04908173275783496
Position 18722: 0.04549314886766662
Position 21620: 0.026361990230411893
Position 3318: 0.022386277690644475
Position 24706: 0.02181942450279644
Position 22136: 0.020646987286486403
Position 15029: 0.02016534748509708
Position 17872: 0.01692468988090419
Position 21406: 0.013001933853177074
Position 18236: 0.012627919604863591
Position 25833: 0.009908585365389692
Position 24405: 0.009293901556398981
Position 15213: 0.009107182627354427
Position 22599: 0.00901112206623775
Position 1772: 0.008409994872061125
Position 25286: 0.008163512929198327
Position 23668: 0.007783501922682772
Position 24170: 0.006777375251943957
Position 21429: 0.006309862317247091
Position 23742: 0.005802491741230657
Position 20387: 0.005266576145094557
Position 24761: 0.005079507622729402
Position 24081: 0.004938018260187502
Position 25376: 0.0037002928811711087
Position 3297: 0.0032444800586772017
Position 3831: 0.0032309248298333184
Position 23992: 0.003059125829475914
Position 1725: 0.0028602099290759814
Position 24865: 0.00269116342872686
Position 1867: 0.002588004978925616
Position 24408: 0.002319632182719007
Position 1700: 0.0019708751459177284
Position 20230: 0.0016764754586205517
Position 1951: 0.001467407604577224
Position 24062: 0.0009963690484060116
Position 24469: 0.0007854264323465543
Position 20123: 6.595277284255978e-06
Position 23968: 6.193650330060316e-06
Position 23943: 2.9859019596127323e-07
Position 19967: 2.282434635260679e-07
