Gene = Gar1
index = 421
Annotated 5SS: [ 279  802 2060 2492 4573 5849]
Annotated 3SS: [ 542 1904 2431 4421 5779 6186]
SMsplice 5SS: [ 279 2077 4573]
SMsplice 3SS: [1904 4421 5779]
top_k =  100
Partition function (log Z): -4.34601910978826

Sorted 5' Splice Sites (High to Low Probability):
Position 4573: 0.912856716586069
Position 2077: 0.8764478358941229
Position 279: 0.63495738980621
Position 5849: 0.5603387541935756
Position 106: 0.3474474365629504
Position 802: 0.27980678255885133
Position 4933: 0.21379201591481384
Position 5367: 0.023675409150196843
Position 5127: 0.022147979789946332
Position 1637: 0.021291245446035775
Position 4957: 0.018216925815361634
Position 1625: 0.01391398023194851
Position 41: 0.012475963745109913
Position 1607: 0.011921034398953418
Position 305: 0.008893194165421895
Position 1973: 0.007797256565371219
Position 132: 0.005723259281673755
Position 180: 0.0038472237362740342
Position 957: 0.0031617830343975595
Position 2060: 0.0025194473830093475
Position 1352: 0.002110242130519525
Position 211: 0.0006741028168519276
Position 87: 7.99965212370577e-05
Position 21: 9.395039875637344e-06
Position 57: 4.660326935675967e-06
Position 92: 3.852136421475138e-06
Position 32: 2.870174064512158e-06
Position 94: 1.5726902197415778e-06
Position 75: 1.2007882043413126e-06
Position 113: 2.5767404120972154e-07
Position 127: 1.0482314347772205e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 5779: 0.9687318764309425
Position 1904: 0.8801198544895106
Position 4421: 0.7262775412805422
Position 6186: 0.4215693864944084
Position 4813: 0.191854956812759
Position 542: 0.18127204964490753
Position 4457: 0.14499591349362595
Position 5925: 0.07988430401744463
Position 175: 0.0764756511880042
Position 1451: 0.0349820641905869
Position 6001: 0.031113513353463785
Position 4896: 0.027195061695214216
Position 4243: 0.026577111761846947
Position 5303: 0.020749520398956434
Position 573: 0.018480751541690578
Position 4745: 0.017240450098953287
Position 6123: 0.01514504923235378
Position 4168: 0.015006150050054009
Position 5958: 0.014805828982712863
Position 1417: 0.012144195886350791
Position 6282: 0.010670215590489848
Position 4737: 0.010267856386773435
Position 5711: 0.009431942174588974
Position 5261: 0.008320032135237342
Position 1934: 0.00775694079185766
Position 4877: 0.006913868814767346
Position 631: 0.00454213569511604
Position 679: 0.0038116208204125716
Position 549: 0.0024894703592251814
Position 712: 0.0024792371453372913
Position 4707: 0.0024230690727947667
Position 880: 0.0022612988864478237
Position 1232: 0.0021102421305195258
Position 522: 0.0015291064144052728
Position 567: 0.001456891551489804
Position 609: 0.0007823571114520575
Position 519: 0.0007618320429487835
Position 110: 0.0007398404504348238
Position 2159: 0.000674359880680538
Position 135: 3.0059908856162172e-05
Position 159: 1.9166227378372626e-05
Position 1910: 4.718597128878062e-06
Position 603: 4.6991554277516605e-06
Position 706: 4.089749817699766e-06
Position 210: 3.8374761410791915e-06
Position 774: 2.9605684770746854e-06
Position 490: 2.8809767667349995e-06
Position 257: 1.4225801103614455e-06
Position 207: 1.1590036308815911e-06
Position 217: 9.031332259927204e-07
Position 228: 1.4299440371782847e-07
Position 471: 1.2651626778779854e-07
Position 475: 7.021995334134541e-08
