Gene = Uri1
index = 1169
Annotated 5SS: [  433 22856 36673 37932 49937 50163 52222 54312 56150 57077]
Annotated 3SS: [22820 36593 37795 49844 50104 52052 53962 56009 56832 57844]
SMsplice 5SS: [  433  1294 22856 36673 37932 52222 54241 55923 56150 57077]
SMsplice 3SS: [ 1200 22820 36593 37795 52052 54172 55796 56009 56832 57938]
top_k =  100
Partition function (log Z): -41.15853179396565

Sorted 5' Splice Sites (High to Low Probability):
Position 1294: 0.8027818593770966
Position 433: 0.7617704616785461
Position 4873: 0.29733324956164825
Position 4868: 0.16026820873031566
Position 117: 0.14814666906132543
Position 186: 0.06535215621110699
Position 8041: 0.04797224630335417
Position 403: 0.0066644594165737965
Position 594: 0.005524308100738057
Position 144: 0.0047369125059140375
Position 127: 0.004352056370724581
Position 1289: 0.0019051729888632685
Position 2157: 0.0008003945540731889
Position 2447: 0.0007608286128607577
Position 616: 0.0005644104943501178
Position 612: 0.0004956389210552238
Position 265: 0.0004941913820798789
Position 333: 0.0004685591086206217
Position 973: 0.00040617364717067714
Position 73: 0.00038201540092773755
Position 653: 0.000379347405591916
Position 690: 0.0002597411105453375
Position 845: 0.00019923579377796114
Position 602: 0.000179782057446122
Position 832: 0.00013217540109064963
Position 1306: 4.262322063960685e-05
Position 476: 3.1085127079724664e-07
Position 43: 1.244684870749354e-07
Position 213: 1.1704488907971599e-07
Position 71: 1.0387511782177459e-07
Position 218: 6.089288494551064e-08
Position 125: 4.391108448363739e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1200: 0.8232576335354242
Position 8260: 0.6457242989500479
Position 4791: 0.43466857266182624
Position 10329: 0.11008206550714439
Position 7892: 0.10022817332468867
Position 4847: 0.03764352666687755
Position 6454: 0.03488485280086101
Position 3589: 0.027245084180030996
Position 5986: 0.014688302629371014
Position 5085: 0.014160374182084181
Position 2051: 0.01174459480009806
Position 2239: 0.011597294612809488
Position 5097: 0.008559046009668243
Position 4600: 0.005575664823056234
Position 3944: 0.005563961442909599
Position 4515: 0.005533075916102021
Position 6836: 0.005319899364721074
Position 2566: 0.0023231593151787984
Position 5256: 0.002069035983983958
Position 2104: 0.002063316041481493
Position 3633: 0.0017159507479353987
Position 2248: 0.0010262164079519868
Position 3053: 0.0010198100413936202
Position 2733: 0.0008702286197661566
Position 2524: 0.0008593270840853957
Position 2495: 0.0008061658846113567
Position 2136: 0.0006110369346212646
Position 1528: 0.0005351294223414405
Position 1617: 0.0004911135902830295
Position 1962: 0.0004716896125828174
Position 286: 0.00040872310776821666
Position 2242: 0.00040101511829013724
Position 1133: 7.239621491680232e-05
Position 367: 4.260518287716207e-05
Position 306: 3.95224854792297e-05
Position 1209: 2.4104291466602384e-05
Position 1074: 2.294996099428332e-05
Position 357: 5.3987006557977975e-06
Position 1147: 4.693608105924435e-06
Position 351: 3.3077810101744374e-06
Position 345: 3.269229173624446e-06
Position 400: 3.046837529903987e-06
Position 327: 1.0024354679616104e-06
Position 426: 9.878540141611302e-07
Position 376: 9.604486504281741e-07
Position 204: 8.300897166352527e-07
Position 1246: 1.7111556122941006e-07
Position 1021: 5.290457082146907e-08
