Gene = Sln
index = 986
Annotated 5SS: [163]
Annotated 3SS: [3241]
SMsplice 5SS: [163]
SMsplice 3SS: [3241]
top_k =  100
Partition function (log Z): -8.37603760293194

Sorted 5' Splice Sites (High to Low Probability):
Position 163: 0.9586802582525665
Position 1228: 0.1753964346608947
Position 1683: 0.0716705906646553
Position 3088: 0.05699694977699444
Position 271: 0.0403123329968782
Position 591: 0.013525783520566898
Position 2978: 0.011630234449099879
Position 1791: 0.010035979334098678
Position 1060: 0.007377506076632178
Position 881: 0.0025725749319503236
Position 531: 0.0004453289349439611
Position 111: 0.00040072349598600993
Position 125: 0.00033333758934686424
Position 733: 0.00021160210632073176
Position 132: 0.00020727284978394315
Position 702: 0.00010177647972139448
Position 497: 9.994216327938055e-05
Position 179: 4.73608411930533e-06
Position 141: 2.78957220558869e-07
Position 143: 4.84904444505377e-08
Position 33: 3.9481799396255725e-08
Position 75: 9.618986770455518e-09
Position 215: 5.928377829403327e-09
Position 22: 1.429340458698413e-09
Position 13: 1.3593431895744167e-09
Position 199: 7.721272432281431e-10
Position 39: 2.77278155217589e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 3241: 0.5891932021009734
Position 1059: 0.16811737396289103
Position 2977: 0.09178804579868792
Position 1093: 0.09113051629033707
Position 1564: 0.07220789620592326
Position 2433: 0.04143141205851331
Position 571: 0.03804063498803176
Position 1332: 0.031924661283448126
Position 2694: 0.027786544794571214
Position 4120: 0.026125419630854487
Position 411: 0.02550735324665377
Position 3184: 0.02142990742716489
Position 355: 0.019239359751701754
Position 2763: 0.013975270305660667
Position 2305: 0.010465853839207504
Position 2302: 0.010460812053069077
Position 1673: 0.008730017404189935
Position 3424: 0.006978552540345251
Position 2251: 0.006761845077683071
Position 448: 0.005197131037373333
Position 3348: 0.004764090521782634
Position 262: 0.004479050680594341
Position 2537: 0.004351112009991912
Position 932: 0.00433736184093992
Position 2833: 0.004193720473274476
Position 1352: 0.00401476835497031
Position 980: 0.0030390997995351147
Position 2016: 0.0029351674709149505
Position 766: 0.0026623290111885654
Position 2001: 0.002105141972623257
Position 641: 0.0017656747389467266
Position 627: 0.001303544771865791
Position 430: 0.001184727303397693
Position 469: 0.0011485794078891407
Position 270: 0.0007339301405820387
Position 1097: 0.00023569229884641118
Position 773: 6.93616541584222e-05
Position 701: 6.671338161160642e-05
Position 384: 4.9552517548518117e-05
Position 715: 3.691133179751394e-05
Position 222: 1.3271996482565082e-05
Position 870: 9.487363279673281e-06
Position 864: 4.7042019329973834e-06
Position 892: 2.890491802049401e-06
Position 889: 2.8256176546249015e-06
Position 836: 2.231531864779299e-06
