Gene = Ecrg4
index = 356
Annotated 5SS: [ 362 6646 8116]
Annotated 3SS: [ 6597  7957 11642]
SMsplice 5SS: [ 362 6665 8116]
SMsplice 3SS: [ 6597  7957 11642]
top_k =  100
Partition function (log Z): -6.180947547218091

Sorted 5' Splice Sites (High to Low Probability):
Position 362: 0.9566932118247367
Position 6665: 0.8482887457358963
Position 8116: 0.3669543505173206
Position 1062: 0.2903213169842096
Position 8068: 0.23648144503773827
Position 8981: 0.21139419495292006
Position 10426: 0.1057441611847057
Position 6646: 0.10546477711976437
Position 2950: 0.04771467481670736
Position 508: 0.0427059992478175
Position 8631: 0.041831385710614254
Position 4342: 0.03692347193557487
Position 2004: 0.03398514709449517
Position 10304: 0.030140184573379483
Position 6683: 0.016465631738191627
Position 9644: 0.013461538177554886
Position 8627: 0.01275375737188967
Position 6807: 0.005216846437459806
Position 6783: 0.004574999304253562
Position 2784: 0.0011188582189308358
Position 179: 0.0002497573764926198
Position 599: 0.0002481034904876504
Position 1935: 0.00017175776739180676
Position 1705: 1.552904789110955e-05
Position 659: 5.702840954380193e-06
Position 167: 1.7311859893842882e-06
Position 112: 1.067132888189602e-06
Position 122: 1.0644029952084466e-06
Position 183: 9.852375015544477e-07
Position 27: 6.99187681015269e-07
Position 17: 1.5428278857008177e-07
Position 114: 1.4226687192216431e-07
Position 48: 3.7226874341680696e-08
Position 235: 1.0466086288358724e-08
Position 247: 2.0731246103581907e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 6597: 0.9817446535668949
Position 11642: 0.9711233824667889
Position 7957: 0.6040128642849193
Position 942: 0.23774961357206986
Position 8883: 0.21139419495292
Position 10233: 0.15411274495451688
Position 8458: 0.05545679106056624
Position 2851: 0.04787323510064769
Position 4197: 0.03692347193557487
Position 1934: 0.030270719074274643
Position 748: 0.023831734473515134
Position 9607: 0.018630933625924433
Position 960: 0.017945530909793343
Position 919: 0.006331650087303468
Position 1878: 0.00407382934730856
Position 895: 0.0021659301494150363
Position 994: 0.0021172108510153992
Position 7337: 0.0014918876789702395
Position 2604: 0.0006981975847987715
Position 2648: 0.00034476896372329243
Position 5636: 0.00019336465063882078
Position 2274: 0.00011348093771400373
Position 2460: 7.5891670408772e-05
Position 1760: 4.670226445771063e-05
Position 971: 4.232010805998778e-05
Position 752: 4.1996964687691006e-05
Position 858: 2.162609278285696e-05
Position 968: 1.9879692686566062e-05
Position 1975: 1.93963526323822e-05
Position 270: 1.545795458793532e-05
Position 259: 1.1984796461547177e-05
Position 1650: 1.143683417238629e-05
Position 247: 6.6746629422932134e-06
Position 1052: 4.499784761685794e-06
Position 1659: 4.092213718723262e-06
Position 1004: 3.597348291914872e-06
Position 310: 2.8835643993932274e-06
Position 828: 2.811435833417973e-06
