Gene = Swsap1
index = 1048
Annotated 5SS: [250]
Annotated 3SS: [921]
SMsplice 5SS: [250]
SMsplice 3SS: [921]
top_k =  100
Partition function (log Z): -9.537203108702586

Sorted 5' Splice Sites (High to Low Probability):
Position 250: 0.9226688047755038
Position 168: 0.054103957416630315
Position 478: 0.01902445407639485
Position 772: 0.01186015260180204
Position 385: 0.01067479286881581
Position 857: 0.005149368282527611
Position 862: 0.0040105680656046154
Position 1324: 0.0024669160513441837
Position 336: 1.542198435163342e-05
Position 488: 4.532116838659557e-06
Position 120: 1.0431119683726445e-06
Position 172: 1.1922437251950819e-07
Position 181: 6.051148698660831e-08
Position 215: 4.542820412021108e-08
Position 129: 3.841354500227827e-08
Position 28: 3.58392586902656e-08
Position 278: 5.35998652386747e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 921: 0.5267776407843565
Position 924: 0.07085312177844304
Position 606: 0.06308429643876758
Position 1559: 0.042414933876310304
Position 1544: 0.04061086712692881
Position 1900: 0.031652634629058415
Position 1167: 0.030163924262730454
Position 987: 0.029508603455112747
Position 346: 0.022894460858753896
Position 1374: 0.02287490455603938
Position 955: 0.02164586977403792
Position 994: 0.020434750908025386
Position 1112: 0.016102641422266306
Position 1227: 0.015216098171376998
Position 748: 0.012787954428591711
Position 1826: 0.012069949868145649
Position 633: 0.008500959267701566
Position 2165: 0.007581484434376445
Position 1584: 0.007334826231594373
Position 1830: 0.004730401646816926
Position 936: 0.003533302172162198
Position 1045: 0.0034322239212963403
Position 898: 0.002926996329988559
Position 2288: 0.0020013805845384425
Position 2293: 0.001943722852821768
Position 1209: 0.0016422360336234443
Position 2412: 0.001596503813313287
Position 966: 0.0015248442940181827
Position 370: 0.0010810877232242317
Position 1283: 0.0010711361986015825
Position 435: 0.00072161761287861
Position 771: 0.00021986914060748353
Position 766: 0.00019252548543895155
Position 745: 0.00018505755258846723
Position 323: 0.00013959720959758203
Position 315: 0.00011958125474608922
Position 712: 0.00010512227724465599
Position 640: 0.00010028293879753654
Position 249: 8.273278828469837e-05
Position 424: 3.949243528880332e-05
Position 440: 3.851363301934252e-05
Position 334: 3.597430219548847e-05
Position 382: 3.2838366074313457e-06
Position 297: 2.5697084355281703e-06
Position 406: 3.381098823827887e-07
