Gene = Sprr2d
index = 1019
Annotated 5SS: [42]
Annotated 3SS: [1094]
SMsplice 5SS: [42]
SMsplice 3SS: [1094]
top_k =  100
Partition function (log Z): -5.312343603442782

Sorted 5' Splice Sites (High to Low Probability):
Position 42: 0.9921510301154326
Position 371: 0.09301206152921489
Position 367: 0.017649435133877976
Position 442: 0.009706633935496485
Position 1368: 0.008700563768093913
Position 506: 0.008422568263977638
Position 600: 0.008365336979268752
Position 244: 0.0057088338623880385
Position 1206: 0.0029238455767210156
Position 297: 0.002065302999834305
Position 1179: 0.00038696161443184173
Position 1609: 0.0002579782400016989
Position 150: 7.834850074457553e-05
Position 9: 7.298393148522877e-06
Position 1233: 6.827038002364444e-06
Position 60: 3.630190573884152e-06
Position 900: 3.2068215767618755e-06
Position 444: 2.779162965665176e-06
Position 68: 2.410787233643904e-06
Position 398: 2.342179987737466e-06
Position 710: 2.0886341990931625e-06
Position 161: 1.8925207143289684e-06
Position 259: 5.348907076046871e-07
Position 88: 2.8402474076657415e-07
Position 46: 2.6188795270226237e-07
Position 179: 2.615070401778988e-07
Position 74: 1.9704360181147576e-07
Position 93: 4.622158519151298e-08
Position 124: 2.567207699872467e-08
Position 198: 5.882280940534276e-09
Position 48: 4.4457083451011554e-09
Position 164: 4.40336435571803e-09
Position 205: 2.3897528832469506e-09
Position 129: 2.387702521851178e-09
Position 191: 2.1074313460552617e-09
Position 96: 1.1282075262905325e-09
Position 115: 1.0346585748147634e-09
Position 117: 1.0194672644706864e-09
Position 77: 5.608265014751036e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1094: 0.8552741387289998
Position 284: 0.09753092824505012
Position 342: 0.05741797256016731
Position 409: 0.03109419139779297
Position 1524: 0.024167435878279752
Position 228: 0.022980808632493806
Position 1308: 0.01174566182329498
Position 1652: 0.011125012091277437
Position 1305: 0.006333357841368244
Position 1347: 0.0038919510602189013
Position 1699: 0.0032679905310022887
Position 461: 0.0028872767653079414
Position 129: 0.0023897148768215275
Position 1433: 0.00198864044149112
Position 1128: 0.0018877173250335339
Position 1344: 0.0018356825582953081
Position 370: 0.0016419533250955313
Position 1233: 0.0015563373549812255
Position 1125: 0.0014749366231246747
Position 441: 0.0014375696340302288
Position 1267: 0.0013414809942244206
Position 1206: 0.0013352538622596825
Position 1472: 0.0010834414391450704
Position 1592: 0.0009698484363119637
Position 1565: 0.0007335942908578838
Position 542: 0.0005935248970231929
Position 348: 0.0005734715271477705
Position 1010: 0.00050745046381223
Position 1723: 0.00030354358159316916
Position 489: 9.08775290801418e-05
Position 235: 3.3656501849472345e-07
Position 297: 2.9653838343641535e-07
Position 153: 1.5217332485987763e-07
Position 243: 1.176926065471435e-07
Position 191: 9.382530162041086e-08
Position 161: 9.152151832021472e-08
Position 238: 8.276536425793408e-08
Position 307: 7.70578878916294e-08
