Gene = Stk17b
index = 1037
Annotated 5SS: [  151  8708 13615 19304 21193 22636 24243]
Annotated 3SS: [ 8544 13401 19158 21065 22586 24062 27453]
SMsplice 5SS: [  151  2633  8708 10931 19304 20218 22636 24243]
SMsplice 3SS: [ 2527  8544 10798 19158 20059 22586 24062 27453]
top_k =  100
Partition function (log Z): -3.7891299747312615

Sorted 5' Splice Sites (High to Low Probability):
Position 8708: 1.000000000000001
Position 13615: 0.998866732195112
Position 151: 0.986265694091321
Position 19304: 0.972663300628534
Position 10931: 0.9726084467263667
Position 22636: 0.9542114734044527
Position 24243: 0.7564988796214679
Position 2633: 0.6603361742250976
Position 20218: 0.4123945827600636
Position 3720: 0.2954038793153894
Position 11997: 0.2611612097259365
Position 943: 0.2598115366910142
Position 9596: 0.25729852772823025
Position 11954: 0.25209899019055515
Position 12376: 0.18300992052412032
Position 8452: 0.1721971217455019
Position 20222: 0.166838227186448
Position 12348: 0.1516911324556709
Position 11142: 0.14628040065010586
Position 12068: 0.10410425034677136
Position 3675: 0.09840743518758584
Position 20187: 0.09708010331990863
Position 12166: 0.08718831911710437
Position 24418: 0.043429839709328906
Position 11311: 0.037453021298702295
Position 11353: 0.024455208728061797
Position 10467: 0.020938600425649875
Position 26065: 0.019214288276406172
Position 3462: 0.015551143464263813
Position 3759: 0.014404627481821593
Position 3550: 0.014073612111151677
Position 26370: 0.010111675193259582
Position 25887: 0.009922722677746748
Position 22657: 0.007702808248623419
Position 22648: 0.004349824204996421
Position 442: 0.0026670472370190056
Position 54: 0.002383897351247768
Position 67: 0.0023129459504951026
Position 223: 0.00215506686149304
Position 15948: 0.002021861850240125
Position 3085: 0.0014437754652057962
Position 175: 0.00042657028317283016
Position 13543: 7.740354083094522e-05
Position 446: 3.3797988263786725e-05
Position 432: 3.250198428352474e-05
Position 424: 1.2985376885498318e-05
Position 227: 7.117931780357949e-06
Position 144: 6.819155621981336e-06
Position 375: 6.2789734015984075e-06
Position 393: 5.934556456442782e-06
Position 332: 5.816109280503223e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 8544: 1.000000000000001
Position 13401: 0.9989441357359422
Position 19158: 0.972663300628534
Position 22586: 0.9718520173751719
Position 10798: 0.9668115601612277
Position 24062: 0.9463905215917526
Position 20059: 0.6777622155660376
Position 11874: 0.6672274345353914
Position 2527: 0.5612343220975508
Position 27453: 0.5145475211119083
Position 3549: 0.40821594198479694
Position 12207: 0.3347010529797911
Position 866: 0.2307600285359758
Position 11013: 0.18534381732484997
Position 8200: 0.17219712174550192
Position 9416: 0.17214192800274672
Position 9508: 0.08515659972548353
Position 27573: 0.07851847983179756
Position 2485: 0.07370888373412295
Position 27925: 0.05307375070555119
Position 24318: 0.039610184402459926
Position 12041: 0.03732631090847618
Position 25809: 0.03675763607661105
Position 27559: 0.03143843349792402
Position 26251: 0.029730053804036722
Position 25458: 0.024242804291051565
Position 25929: 0.01659082691682941
Position 10335: 0.016187328815038354
Position 3287: 0.015551143464263804
Position 24115: 0.014500873522405994
Position 26697: 0.01389525664528753
Position 784: 0.012702948072888302
Position 27387: 0.01166000343746973
Position 25461: 0.011176094470235442
Position 2360: 0.011054271924621124
Position 11207: 0.0103300934943512
Position 3461: 0.00939131709697964
Position 2434: 0.00830399258837931
Position 25550: 0.007642846194158689
Position 532: 0.007061438656647064
Position 11238: 0.00686099866168837
Position 2611: 0.006034703880423597
Position 10670: 0.005796886565138984
Position 11131: 0.005661298117907179
Position 10424: 0.004751271610611517
Position 3515: 0.004682295014172038
Position 629: 0.003728873348643021
Position 24913: 0.0022719748890873293
Position 15852: 0.0021062391377401285
Position 892: 0.001067177534492106
Position 2947: 0.000938176270931404
Position 791: 0.0008135443930902582
Position 2986: 0.0005055991942743923
