Gene = Pigg
index = 819
Annotated 5SS: [  470  1556  4864  6405  7429 14421 19584 20357 23953 26138 29496 31779]
Annotated 3SS: [ 1349  4653  6215  7286 14207 19365 20074 23494 25945 29185 31614 35227]
SMsplice 5SS: [  470  6405  7429 14421 20357 23953 26138 29496 31779]
SMsplice 3SS: [ 6294  7286 14207 20074 23752 25945 29185 31614 35280]
top_k =  100
Partition function (log Z): -6.648297841017975

Sorted 5' Splice Sites (High to Low Probability):
Position 20357: 0.9999906783087
Position 23953: 0.9999906783087
Position 470: 0.9956767184134974
Position 6405: 0.9832813468315297
Position 26138: 0.9209444243637026
Position 7429: 0.9048231408764759
Position 31779: 0.8603209100978828
Position 14421: 0.8084394182709937
Position 29496: 0.7873843968377261
Position 10311: 0.2781088636756398
Position 14426: 0.191560287390876
Position 8874: 0.15640864019891798
Position 15222: 0.10532484157536122
Position 19584: 0.08986981566496777
Position 11989: 0.08015861627605585
Position 25753: 0.07329805544771383
Position 25683: 0.06736987691793012
Position 24250: 0.06443650915775638
Position 7380: 0.055265486803943414
Position 8410: 0.0461581971916452
Position 25780: 0.04023768409227594
Position 27499: 0.021376895447874668
Position 7176: 0.010834004414510318
Position 29770: 0.010597499471542725
Position 7135: 0.009734238708264453
Position 4864: 0.009057893183650237
Position 1556: 0.008735590404318788
Position 7505: 0.00658474697342879
Position 364: 0.0024972514493778524
Position 128: 0.001236260078499666
Position 3659: 0.0007587955872158024
Position 11: 0.0004688297993801855
Position 188: 0.0002976182747854375
Position 4066: 0.00025796810025326833
Position 1719: 0.00016739771100459242
Position 2214: 0.00011179967421516454
Position 179: 7.493912805113372e-05
Position 83: 1.0846641121086402e-05
Position 238: 7.245284764661314e-06
Position 251: 4.5388336958279785e-06
Position 257: 1.9812790648946047e-06
Position 352: 6.090679844648688e-07
Position 141: 4.3942061073870007e-07
Position 144: 2.398059024515265e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 20074: 0.9999974825404897
Position 23752: 0.9999906783087
Position 31614: 0.986234967935209
Position 14207: 0.9822425208203248
Position 7286: 0.9141348931213822
Position 25945: 0.8996143440882626
Position 29185: 0.7976808245192543
Position 6294: 0.754623391294194
Position 35280: 0.2804656427992952
Position 10186: 0.2781088636756398
Position 6215: 0.2286579555373357
Position 35068: 0.22643133544101032
Position 8770: 0.1564086449282147
Position 25627: 0.14123509384621297
Position 35227: 0.12111000301832384
Position 14917: 0.10532538244765521
Position 19365: 0.08986981566496761
Position 31925: 0.07832156423939458
Position 32598: 0.06726502027736396
Position 24183: 0.06443650915775638
Position 11967: 0.05650131041911246
Position 7229: 0.05217861346692175
Position 25393: 0.03991394914274894
Position 36692: 0.03945835637467541
Position 8273: 0.03736914719003652
Position 32930: 0.025708793426736824
Position 11909: 0.023657333615052106
Position 25841: 0.021750762041261085
Position 14172: 0.01775743250114789
Position 27371: 0.011629189626784981
Position 6970: 0.01086024815036368
Position 29597: 0.010597499471542706
Position 27424: 0.00999600648879404
Position 32620: 0.009821457319876003
Position 6948: 0.009707994972411116
Position 4653: 0.009057893183650233
Position 31972: 0.007279442023239115
Position 1349: 0.006264628602227139
Position 8299: 0.005600718285918583
Position 32570: 0.004459295177968445
Position 8341: 0.0031883317156901486
Position 26794: 0.0014307073754284403
Position 1415: 0.0009784594708036538
Position 1239: 0.0008054947436225571
Position 26258: 0.0006145973619481487
Position 3528: 0.0005194358596130045
Position 27288: 0.0005015689900188229
Position 1392: 0.00041952037446420606
Position 7405: 0.00035987084181410647
Position 1451: 0.00026748721320123554
Position 3895: 0.00025796810025326833
Position 3490: 0.00023935972760279786
Position 1606: 0.00016739771100459245
Position 2138: 0.00011179967421516465
Position 283: 9.258384335293281e-05
Position 303: 6.02400359812412e-05
Position 309: 4.737334494296722e-05
Position 425: 3.603464598102629e-05
Position 347: 2.0747318606407394e-05
Position 403: 2.053828786990651e-05
Position 16996: 1.3688453544534404e-06
Position 14593: 3.134037319448216e-07
Position 10428: 1.1414851941970103e-08
