Gene = Spesp1
index = 1012
Annotated 5SS: [207]
Annotated 3SS: [8644]
SMsplice 5SS: [207]
SMsplice 3SS: [9262]
top_k =  100
Partition function (log Z): -10.360298550379301

Sorted 5' Splice Sites (High to Low Probability):
Position 207: 0.9717940009946349
Position 2808: 0.21663885885057302
Position 4723: 0.1912790254615916
Position 2366: 0.0362827468764015
Position 199: 0.024868536098982298
Position 2336: 0.015673184240140293
Position 776: 0.013568459857420554
Position 3699: 0.006923578757706484
Position 48: 0.006115913108008339
Position 634: 0.004731257483929702
Position 83: 0.0008719329578971013
Position 849: 0.0005134947270030386
Position 226: 3.40043181571059e-06
Position 164: 2.328570224468e-06
Position 40: 1.5694402856384518e-06
Position 16: 6.554094764296014e-07
Position 211: 5.627927782487539e-07
Position 235: 3.940573910570427e-07
Position 223: 3.3192829013500903e-07
Position 216: 9.639068721405986e-08
Position 96: 5.607791586024535e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 9262: 0.5151799736966204
Position 4485: 0.389464627788161
Position 2657: 0.22700986158415312
Position 319: 0.05583124265456728
Position 1165: 0.0392464749253714
Position 2133: 0.030696175279475133
Position 4791: 0.02896462148156766
Position 4594: 0.02854980261884743
Position 2194: 0.026069169775535504
Position 510: 0.023557400170216115
Position 6928: 0.01837675964127672
Position 3525: 0.016393014863567524
Position 3932: 0.016327947319934605
Position 1133: 0.014787035906947169
Position 652: 0.012865985913729304
Position 2742: 0.012119015869225884
Position 4437: 0.004621212831521215
Position 364: 0.002887089836713547
Position 151: 0.002817701697132286
Position 3234: 0.002527059591093663
Position 2444: 0.0021954769831197775
Position 1551: 0.0020003449361861037
Position 1039: 0.0019710591581260655
Position 2400: 0.0016778002432827539
Position 1265: 0.0012360867749422887
Position 1953: 0.0011382764181361335
Position 406: 0.0011179644593231014
Position 1194: 0.0010841223763827035
Position 289: 0.0010316694961280124
Position 515: 0.001029484358295348
Position 1232: 0.0009165705772560807
Position 1690: 0.0008392434539073494
Position 1607: 0.000829731044440251
Position 380: 0.0008282166214001106
Position 1210: 0.0008048516696153635
Position 1745: 0.0008002140566349178
Position 128: 0.0005690039826578834
Position 468: 0.0004284176216334071
Position 164: 0.0002715452694432451
Position 663: 0.00014964347136513998
Position 2600: 2.761706917316721e-05
Position 583: 2.0387134608303165e-05
Position 607: 4.562161596922801e-06
Position 619: 4.394420689896174e-06
Position 105: 1.1715746519557217e-06
Position 82: 3.273999750619495e-07
Position 90: 2.833452616540166e-08
