Gene = Denr
index = 331
Annotated 5SS: [  192  1040  8036 10110 15089 17673 19963]
Annotated 3SS: [  924  8015 10024 15004 17555 19822 20074]
SMsplice 5SS: [  192  1040  1368 10110 15089 17673 19963]
SMsplice 3SS: [  924  1208 10024 15004 17555 19882 20074]
top_k =  100
Partition function (log Z): -2.993856309828862

Sorted 5' Splice Sites (High to Low Probability):
Position 1040: 0.9989995337041585
Position 10110: 0.9816858010576816
Position 1368: 0.8288953692478415
Position 192: 0.6863352866115746
Position 15089: 0.5638466474549597
Position 16334: 0.47218314618351426
Position 727: 0.21871686840543497
Position 528: 0.12172429246796337
Position 20298: 0.11217668949218211
Position 13910: 0.10125214659041655
Position 20294: 0.0971460799272585
Position 1307: 0.08868672491881911
Position 12524: 0.0833440729315493
Position 12606: 0.08313430285036627
Position 3562: 0.051109292961335484
Position 16411: 0.03002408292345937
Position 299: 0.025006459464427755
Position 20307: 0.022200982117693065
Position 10106: 0.01811998751191029
Position 17840: 0.014122674922707128
Position 8036: 0.010922739407003114
Position 4350: 0.009915521170358167
Position 2952: 0.00869687229744381
Position 6731: 0.008355921385251723
Position 74: 0.007973163699010584
Position 178: 0.006343279826571304
Position 503: 0.005620388666777103
Position 4974: 0.0039865976240666505
Position 3452: 0.0038386037821074546
Position 13905: 0.003287336932029811
Position 132: 0.0020568296715748943
Position 139: 0.0019725067087927165
Position 335: 0.001498279700535624
Position 141: 0.0014050181493992404
Position 753: 0.0010709146545560988
Position 709: 0.0006611839991213762
Position 999: 0.0006127283260708826
Position 517: 0.0005475277053603896
Position 742: 0.0005279597341793096
Position 116: 0.0004823600040752538
Position 772: 0.0004568456361349142
Position 472: 0.00035885872302608777
Position 15: 0.00035750898854347454
Position 346: 0.0003365794089620031
Position 451: 0.0003286227834831751
Position 1024: 8.508637021478203e-05
Position 1128: 4.7295706663976054e-05
Position 1067: 4.144841109062618e-05
Position 330: 3.5199284086951825e-05
Position 925: 3.4052826847041836e-05
Position 1106: 2.734611868904804e-05
Position 20: 6.746330425583148e-06
Position 1044: 2.251025837340868e-06
Position 1046: 1.8354896565542319e-06
Position 1101: 1.3110365952852346e-06
Position 511: 1.2408631386563412e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 10024: 0.999995555808543
Position 924: 0.9630289561188234
Position 20074: 0.9524491998789567
Position 1208: 0.9130395935535781
Position 15004: 0.5638466474549597
Position 16188: 0.4429491292162798
Position 20457: 0.25304713744109125
Position 13760: 0.1064095083022174
Position 12450: 0.08952000909298716
Position 12413: 0.07708429136417412
Position 16238: 0.048414563227321315
Position 3422: 0.04744821454169061
Position 418: 0.03839561829261839
Position 959: 0.03365364582146862
Position 393: 0.03029195179957983
Position 20031: 0.017035916679960787
Position 16333: 0.015635349670307202
Position 17707: 0.014122674922707128
Position 8015: 0.010922739407003114
Position 6465: 0.008355921385251723
Position 4186: 0.007423366276339997
Position 676: 0.004914713774346682
Position 600: 0.0045891722170674455
Position 1239: 0.00442238072736028
Position 3215: 0.004195738713316781
Position 4807: 0.0039865976240666505
Position 3323: 0.0033039434884355413
Position 789: 0.002893627850185283
Position 2820: 0.002845035332122203
Position 551: 0.0028283242550111104
Position 2864: 0.002562415931543596
Position 4162: 0.0024934702877263577
Position 2714: 0.0020582079007106756
Position 569: 0.0017165311372318106
Position 16410: 0.0014487210863756293
Position 2834: 0.0012315022760344646
Position 527: 0.0007529476545019693
Position 15556: 0.0004193356758171074
Position 356: 0.00030627424459800135
Position 578: 0.0001562920831577512
Position 1311: 0.00012177359462323791
Position 854: 0.00010844844942106033
Position 11136: 9.075887794733788e-05
Position 726: 3.91900281414205e-05
Position 10916: 3.2543364319353734e-05
Position 10387: 1.8164640307700183e-05
Position 4329: 9.140653172751592e-07
Position 2013: 1.5111754076618933e-07
Position 1702: 1.2041670251873935e-07
Position 1189: 1.1235847240375597e-10
Position 1242: 9.308531183069544e-11
Position 1147: 7.055167576664267e-11
Position 1316: 2.463600036339329e-11
Position 1260: 2.0792224446428014e-11
Position 1263: 1.3670052770016536e-11
Position 1288: 1.1227332154292136e-11
