Gene = Eif3c
index = 368
Annotated 5SS: [   64   333  1709  1996  2785  3169  3408  3846  7559  7777  8728  9040
  9239  9702 10129 14437 18649 18806 18977 19227]
Annotated 3SS: [  191  1642  1805  2658  3113  3300  3720  7398  7672  8585  8913  9144
  9510  9903 14072 18488 18739 18888 19063 19330]
SMsplice 5SS: [  263  1559  1709  1996  2785  3169  3408  3854  7559  7777  8728  9040
  9239  9702 10129 18649 18806 18977 19227]
SMsplice 3SS: [ 1473  1642  1805  2658  3113  3300  3720  7398  7655  8585  8913  9144
  9510  9903 18488 18739 18888 19063 19330]
top_k =  100
Partition function (log Z): 44.27339514445685

Sorted 5' Splice Sites (High to Low Probability):
Position 3169: 0.9924127457049119
Position 18806: 0.9919352871834527
Position 2785: 0.9849712284243565
Position 18649: 0.9714344608800377
Position 18977: 0.9564556017258473
Position 7777: 0.9524814174476692
Position 8728: 0.9432693255105966
Position 7559: 0.9415585075446022
Position 9040: 0.9326444121708222
Position 1709: 0.9127609862769148
Position 19227: 0.9097197257904063
Position 9239: 0.908378821050174
Position 10129: 0.8515913075026805
Position 3408: 0.8413895558725442
Position 9702: 0.8303832771047904
Position 263: 0.716462565703811
Position 1559: 0.6970396029168635
Position 3854: 0.5706990317831874
Position 1996: 0.5395298195328824
Position 64: 0.47540005417828285
Position 17308: 0.46891050152460206
Position 14437: 0.4624081103929679
Position 3846: 0.4293009682168218
Position 333: 0.2346802628821657
Position 14247: 0.2072910120501634
Position 1940: 0.20521246212733818
Position 5713: 0.1810944706898694
Position 2547: 0.1410785830901819
Position 9589: 0.134949251558336
Position 5764: 0.11211924160967239
Position 15329: 0.08038594896919557
Position 19231: 0.07322051944190694
Position 3424: 0.07029113098403049
Position 1720: 0.06194974895894475
Position 3422: 0.0604916879441102
Position 4185: 0.055326655727835336
Position 10133: 0.05026561377267354
Position 7751: 0.04706836630625946
Position 7568: 0.043464270548987466
Position 5876: 0.03927342963886605
Position 17488: 0.03886605068200183
Position 463: 0.026209018764874015
Position 8194: 0.02533679350328741
Position 1724: 0.01969252757008512
Position 18990: 0.019337452757400064
Position 18670: 0.017226250808335637
Position 1922: 0.01527443080762592
Position 2806: 0.013694630359589193
Position 3337: 0.012965932577490158
Position 4293: 0.012436607671886979
Position 8010: 0.011428252850978083
Position 9715: 0.00818526513366833
Position 18993: 0.00791378356785292
Position 7532: 0.007910273078822156
Position 7539: 0.0070368919190212185
Position 3505: 0.006320369218056255
Position 3433: 0.005551422459826897
Position 9014: 0.005007891712532967
Position 1872: 0.0035116576362781214
Position 2020: 0.0034020480983566457
Position 2353: 0.0030754761495058857
Position 2349: 0.0025972341455353116
Position 1731: 0.002043641713297331
Position 1573: 0.002003684973178781
Position 383: 0.0014471120320061817
Position 19006: 0.001055795625551353
Position 3195: 0.0009109170104565573
Position 3649: 0.0008138282532405082
Position 310: 0.0008007393471225657
Position 359: 0.0007246111248141581
Position 70: 0.0006326678906741739
Position 91: 0.0004847657860168068
Position 84: 0.00047882088824566525
Position 282: 0.00045986917284656053
Position 3389: 0.0004338724352677667
Position 68: 0.00042390943582180907
Position 19: 0.00026528616047940444
Position 612: 0.00024713522617576193
Position 677: 0.0002453911979700544
Position 482: 0.00020790351599463396
Position 112: 0.0001442532884577822
Position 28: 9.932622978800231e-05
Position 8779: 4.524717768011521e-05
Position 22: 2.3646376183346392e-05
Position 136: 9.112503592946019e-06
Position 130: 4.462125809206642e-06
Position 147: 4.1070217317924645e-06
Position 3227: 2.273549013092114e-06
Position 156: 2.7424234672252285e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 7398: 1.0000000000000118
Position 18488: 1.0000000000000109
Position 3720: 0.9999068124739844
Position 2658: 0.9960614746963301
Position 1642: 0.9900991619478028
Position 18888: 0.9775898962753509
