Gene = A630095N17Rik
index = 79
Annotated 5SS: [ 116 8797]
Annotated 3SS: [ 8659 11516]
SMsplice 5SS: [ 116 8797]
SMsplice 3SS: [ 8659 11516]
top_k =  100
Partition function (log Z): -10.182782568601494

Sorted 5' Splice Sites (High to Low Probability):
Position 116: 0.9994487802857402
Position 8797: 0.3510293597976232
Position 8893: 0.3457334626692064
Position 9172: 0.10015578673426362
Position 6775: 0.08833186415627814
Position 6652: 0.07490560557854306
Position 824: 0.07131003550843279
Position 1662: 0.06827144452793404
Position 437: 0.0001944082531627564
Position 524: 0.0001742466332168668
Position 497: 0.00014666334352344347
Position 74: 3.590148435680901e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 8659: 0.7498810265593179
Position 11516: 0.5993447519895007
Position 9055: 0.30079137382244037
Position 6465: 0.1814328811728645
Position 8579: 0.06904194207749699
Position 661: 0.030691129186462517
Position 613: 0.02154320375162754
Position 1580: 0.018974204114759714
Position 1506: 0.018241026140861392
Position 681: 0.011889985773982948
Position 1420: 0.011759155335546351
Position 7380: 0.010967728645478991
Position 6774: 0.009991312060739761
Position 1382: 0.00998299679087463
Position 1395: 0.008169899628309137
Position 6163: 0.0062937062291016695
Position 3568: 0.006106963005944944
Position 699: 0.005572104948642783
Position 6195: 0.005330844341335464
Position 5102: 0.004029170921895119
Position 3677: 0.003128376939150375
Position 5995: 0.0022291279712377886
Position 1090: 0.0019879033568642275
Position 1441: 0.0019102253118158943
Position 522: 0.0017017862494029666
Position 780: 0.0012447235126549115
Position 5657: 0.0012246210476638381
Position 3635: 0.0008591846007321464
Position 4540: 0.0007047948157034801
Position 2217: 0.0006427756619049451
Position 1062: 0.0005725042285920734
Position 2265: 0.0005639218507775236
Position 2626: 0.00047983311106969027
Position 2249: 0.0004264331126186346
Position 3432: 0.00034927358636794323
Position 268: 0.000308638071131447
Position 994: 0.0002530506994342201
Position 456: 0.00024060558961373077
Position 2950: 0.00022378971010348107
Position 1021: 0.00018766212123294643
Position 2126: 0.00013192893690776438
Position 1306: 0.00011698717840094599
Position 478: 0.00010538559907514388
Position 385: 0.00010019233150492554
Position 553: 2.2771041612495596e-06
Position 615: 2.1055857012762017e-06
Position 819: 1.6485103522560587e-06
Position 704: 1.0238588820946013e-06
Position 736: 7.06565681172262e-07
Position 636: 6.652563584355287e-07
