Gene = Crym
index = 296
Annotated 5SS: [  357  1035  2864  4462  6787 11660 12386]
Annotated 3SS: [  883  2800  4359  6602 11537 12300 15412]
SMsplice 5SS: [  357  1035  2864  4462  6787 11660 12386]
SMsplice 3SS: [  883  2800  4359  6602 11537 12300 15412]
top_k =  100
Partition function (log Z): 0.40059790074939006

Sorted 5' Splice Sites (High to Low Probability):
Position 2864: 0.9984488332210921
Position 1035: 0.9730012383347215
Position 4462: 0.967718684869776
Position 12386: 0.9346196022193523
Position 11660: 0.868521553215911
Position 6787: 0.8611473087819719
Position 357: 0.7787112760705459
Position 4760: 0.41685913774079103
Position 686: 0.3618732688160852
Position 5210: 0.2285272756329079
Position 4749: 0.17026153657968787
Position 6431: 0.16584975839113159
Position 9851: 0.1042307873593894
Position 6703: 0.05687613862782806
Position 9826: 0.04913504816618745
Position 2678: 0.04168475325558271
Position 571: 0.04138143401013998
Position 11602: 0.04110415522320201
Position 363: 0.03164108946055267
Position 296: 0.031574950493208846
Position 223: 0.029536921017233694
Position 1426: 0.022361818502632292
Position 13070: 0.017129984484772688
Position 1764: 0.014434941102521723
Position 3611: 0.012492025699286207
Position 4739: 0.00916716909537577
Position 528: 0.008380362827043367
Position 2671: 0.007294546882588059
Position 2069: 0.00724690857142397
Position 4505: 0.006382328554560022
Position 2118: 0.006046791405084058
Position 1068: 0.0048179077673164
Position 609: 0.004386668953949972
Position 322: 0.0036818781860757472
Position 938: 0.0035120637456340724
Position 4660: 0.0023975381898603096
Position 4642: 0.002363063026960697
Position 996: 0.0018826935002490444
Position 1231: 0.0018296714194114
Position 1301: 0.0011855745792070456
Position 1247: 0.0010534051403022903
Position 340: 0.0005895706985971232
Position 30: 0.0005859264980028855
Position 167: 0.00040133857143491544
Position 310: 0.0003062177705095916
Position 331: 0.000263454910150235
Position 540: 0.0002357241531594865
Position 151: 2.175170497447857e-05
Position 146: 1.1604817591413179e-05
Position 115: 4.200553708829812e-06
Position 334: 1.7649242043192899e-06
Position 204: 1.0255874938803754e-06
Position 155: 9.112302876241448e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 2800: 0.988117254456698
Position 883: 0.974341566297911
Position 11537: 0.9279668450181988
Position 6602: 0.9180234474098004
Position 12300: 0.8247279143090261
Position 4359: 0.738860014836284
Position 4566: 0.4454487087800004
Position 15412: 0.2574020697088014
Position 4249: 0.2345004729266481
Position 12921: 0.17832995719047712
Position 6268: 0.16584975839113145
Position 9744: 0.15591358775381894
Position 12219: 0.15194472040514856
Position 4595: 0.13755196266123695
Position 5131: 0.1292609065994487
Position 14452: 0.10303373236137757
Position 594: 0.10091385659023232
Position 14757: 0.08408801341256054
Position 472: 0.07899673390743735
Position 14193: 0.07620185265478215
Position 13187: 0.07361393846367051
Position 5111: 0.06257388466023969
Position 527: 0.048973437396090023
Position 2629: 0.044571184156795486
Position 13689: 0.03847459585691063
Position 14261: 0.03388158130557724
Position 566: 0.027693682181710328
Position 14160: 0.024809648220137665
Position 14372: 0.02398216430194053
Position 14323: 0.023294856054004682
Position 5056: 0.01843654339351599
Position 5084: 0.01825594097970343
Position 12613: 0.017849995703096297
Position 15093: 0.017313556930326816
Position 4688: 0.01701266812804529
Position 2000: 0.01329369997650802
Position 1291: 0.011868977028139615
Position 634: 0.011296367555468298
Position 2572: 0.009411849430352026
Position 1642: 0.009061562929880383
Position 910: 0.008562955543028506
Position 1221: 0.008230477720151707
Position 676: 0.006547490285327398
Position 1544: 0.005373378172641341
Position 2591: 0.005327845315417741
Position 484: 0.005071049678265437
Position 295: 0.004721251734092937
Position 1112: 0.0045850079484103
Position 3466: 0.003746616935594092
Position 3530: 0.003598451381350975
Position 513: 0.0030891234121506986
Position 570: 0.003087960372162719
Position 3516: 0.0021325847651817906
Position 1421: 0.0017392318184105311
Position 3478: 0.0015687423686304562
Position 3539: 0.0014456302485288928
Position 9334: 0.0013798885940447395
Position 4670: 0.001042718690645302
Position 517: 0.0010401677710345676
Position 577: 0.0009258684703662452
Position 4046: 0.000740525661403809
Position 612: 0.00048302427501234116
Position 12058: 0.00036068563147638715
Position 614: 0.00032594650301671116
Position 4610: 0.00016391316618580534
Position 161: 0.0001405850982779981
Position 682: 0.00012726184994765017
Position 678: 0.00010805229727310202
Position 270: 6.861917811578689e-05
Position 964: 6.800652974406854e-05
Position 343: 6.414910931305981e-05
Position 128: 5.9791589001794614e-05
Position 989: 5.2790000941007175e-05
Position 1015: 4.2877076857230964e-05
Position 1351: 4.048937540805782e-06
Position 1203: 2.1386510932843755e-06
Position 242: 6.927839640035364e-07
Position 1119: 5.875378067812502e-07
Position 248: 3.750417325502439e-07
Position 219: 3.4283135199206594e-07
Position 111: 2.0229557746641337e-07
Position 431: 1.9095001449269992e-07
Position 217: 1.8640446886445335e-07
Position 318: 1.3845274354852757e-07
Position 228: 1.3077773798415626e-07
Position 178: 9.943545117748174e-08
Position 222: 9.458705722254295e-08
Position 135: 9.423622253292189e-08
Position 307: 3.916136566791834e-08
Position 174: 2.445208310306636e-08
Position 348: 9.135535687925627e-09
Position 115: 3.3880513774363597e-09
Position 322: 3.008872171569864e-09
Position 151: 2.9578619239707716e-09
