Gene = Sdad1
index = 955
Annotated 5SS: [  233  4292  4821  5052  6141  6359  7386  8213  9963 11833 12905 14014
 16062 17372 18139 18318 19012 19767 20104 20285 21558]
Annotated 3SS: [ 4186  4721  4940  6068  6257  7327  8137  9860 11762 12800 13955 16002
 17294 18040 18240 18884 19671 19912 20199 21395 23153]
SMsplice 5SS: [  233  4292  4821  5052  6141  6359  7386  9963 11833 12905 14014 14971
 16062 17372 18139 18318 18969 19767 20104 20285 21558]
SMsplice 3SS: [ 4186  4721  4940  6068  6257  7327  9860 11762 12800 13955 14726 16002
 17294 18040 18240 18884 19671 19912 20199 21395 23153]
top_k =  100
Partition function (log Z): 48.93094540858856

Sorted 5' Splice Sites (High to Low Probability):
Position 9963: 0.9999999999999937
Position 20104: 0.9942239084192548
Position 20285: 0.9935720233645428
Position 6359: 0.990992546589875
Position 6141: 0.9893977742677892
Position 4292: 0.9862009371188568
Position 7386: 0.9783122568225144
Position 14014: 0.960987557634857
Position 12905: 0.9562128136988252
Position 5052: 0.9306770114158469
Position 21558: 0.9246505101990239
Position 16062: 0.9125394409016357
Position 18318: 0.9116373806095632
Position 11833: 0.8788476701772416
Position 18139: 0.8658820234530641
Position 19767: 0.8425216607241476
Position 18969: 0.5968651469985505
Position 4821: 0.5836344244620858
Position 233: 0.5727457009920088
Position 17372: 0.5421901932493284
Position 14971: 0.5347499085405338
Position 8213: 0.5257981516338761
Position 4853: 0.3936894629005104
Position 19012: 0.37568675522617667
Position 13266: 0.285495752028605
Position 267: 0.23880146086589277
Position 408: 0.19328959641633928
Position 13777: 0.18631612225489988
Position 16297: 0.18031309917155405
Position 8060: 0.1282854824695738
Position 19717: 0.12239805973117614
Position 18160: 0.1064838853606836
Position 8273: 0.09708505766114567
Position 6735: 0.08637390388603516
Position 13863: 0.08588056479406986
Position 2114: 0.0780083699326871
Position 14734: 0.07671994222724059
Position 8310: 0.07353780312806034
Position 2469: 0.041873554218954716
Position 5211: 0.03898030843215708
Position 22966: 0.034342353590872315
Position 16087: 0.03318831882898423
Position 18749: 0.03283751430936228
