Gene = Tchh
index = 1063
Annotated 5SS: [138]
Annotated 3SS: [1062]
SMsplice 5SS: [138]
SMsplice 3SS: [1062]
top_k =  100
Partition function (log Z): -7.735672473870661

Sorted 5' Splice Sites (High to Low Probability):
Position 138: 0.9910154206340169
Position 987: 0.35319088512600216
Position 1343: 0.2313596774033443
Position 1481: 0.0196500852202256
Position 689: 0.0049861218470205505
Position 364: 0.0029937233459161167
Position 492: 0.0022124705315112445
Position 172: 0.0015703843655514
Position 404: 7.231106445542263e-05
Position 781: 7.03247078661803e-05
Position 594: 5.398140869690572e-05
Position 905: 3.443901877960893e-05
Position 569: 2.4698352278011767e-05
Position 467: 2.3008693031052495e-05
Position 64: 4.970406551021856e-07
Position 287: 4.2627501556661533e-07
Position 347: 4.061441322274457e-07
Position 292: 7.323801187667727e-08
Position 301: 6.620159576994854e-08
Position 274: 5.829746343614186e-08
Position 129: 2.9665128609956438e-08
Position 312: 2.7550435719599026e-08
Position 174: 6.574068254954238e-09
Position 24: 2.751542202340185e-10
Position 351: 1.872179660755357e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1062: 0.6599073120889306
Position 5918: 0.3937629897167257
Position 805: 0.21609723019355354
Position 759: 0.06131947268556369
Position 1164: 0.060241674659380226
Position 839: 0.03508400385837504
Position 6196: 0.032244121780218675
Position 450: 0.02416236961582528
Position 2211: 0.019920155503372724
Position 883: 0.014107770313438855
Position 5861: 0.014017549427679786
Position 5517: 0.009681435576931576
Position 1262: 0.009593317885956756
Position 1197: 0.008001772052594364
Position 659: 0.006001573554869706
Position 1204: 0.005626325632930388
Position 827: 0.004735991315902188
Position 1239: 0.004481773585384215
Position 934: 0.003832794014439719
Position 2864: 0.0036306384866086486
Position 1087: 0.003219423478309644
Position 636: 0.002904751224670642
Position 249: 0.0026500603902901067
Position 1255: 0.0014300148935774393
Position 1099: 0.001290019682059408
Position 717: 0.0012257197533604293
Position 354: 0.0012189250651130008
Position 814: 0.0011475816001947413
Position 1064: 0.0010692101515368728
Position 1241: 0.0009548679550488005
Position 785: 0.0007977647325946903
Position 404: 0.0005410098155940171
Position 504: 0.0004903970557484568
Position 200: 0.0004528668028245262
Position 375: 0.0003424831819374866
Position 560: 0.00033083269201569153
Position 689: 0.00018672180158776168
Position 967: 0.00016205335846274126
Position 607: 9.613355897338915e-05
Position 729: 9.325279792973743e-05
Position 204: 6.484107353555704e-05
Position 351: 5.992649094475591e-05
Position 1371: 2.316945390842826e-05
Position 538: 1.9433485305070224e-05
Position 557: 1.494958126775138e-05
Position 456: 1.097669602537078e-05
Position 408: 9.500291683022405e-06
Position 527: 1.9641543924028505e-06
