Gene = Tsks
index = 1149
Annotated 5SS: [  193   744  7614  7862  8686  9572 10681 11227 13327 14493]
Annotated 3SS: [  520  7517  7777  8601  9284 10485 11052 13190 14335 14594]
SMsplice 5SS: [  302   744  7614  8686 11227 14493]
SMsplice 3SS: [  520  7517  8601 11052 14335 14565]
top_k =  100
Partition function (log Z): -5.78562226950951

Sorted 5' Splice Sites (High to Low Probability):
Position 7614: 0.9976262823890562
Position 11227: 0.9710671394167502
Position 8686: 0.9637333304576338
Position 744: 0.7230097493172228
Position 14493: 0.6756603382868341
Position 302: 0.5191959530035306
Position 289: 0.2616178244791624
Position 787: 0.257899377005196
Position 13264: 0.1573016344174587
Position 9572: 0.12632623359067494
Position 7862: 0.10710403027648614
Position 13327: 0.10453090076701992
Position 2792: 0.1034896520148644
Position 13339: 0.10281850427434835
Position 286: 0.06342971480693498
Position 9607: 0.06337524639673944
Position 10681: 0.06324867798394362
Position 400: 0.054714246556526
Position 14461: 0.04161786505656968
Position 95: 0.028756410909614026
Position 11373: 0.027543353160041525
Position 193: 0.027066121622319615
Position 137: 0.020928061650842315
Position 404: 0.0176671865952994
Position 116: 0.0015323757203460685
Position 428: 0.0012615726848348493
Position 331: 0.0007441487536751313
Position 215: 0.0006025826207843032
Position 179: 0.0005136046042934322
Position 38: 0.00044571478692182316
Position 445: 0.0004404878386515004
Position 105: 0.0004186941753146068
Position 361: 0.0002916923676597006
Position 354: 0.00018746144625146743
Position 211: 0.00018614537703906504

Sorted 3' Splice Sites (High to Low Probability):
Position 7517: 1.0000000000000022
Position 11052: 0.9646051496265116
Position 8601: 0.8856299610681451
Position 520: 0.8329246855527329
Position 14335: 0.7287281867222557
Position 14565: 0.381303640064106
Position 14594: 0.3196648029062202
Position 13190: 0.2713446836311917
Position 13194: 0.1442004352987699
Position 9284: 0.11668298924994315
Position 14292: 0.08802512792226042
Position 13377: 0.08185152260691839
Position 642: 0.0690749656532187
Position 10485: 0.06767753851051628
Position 2685: 0.06726347840170646
Position 7777: 0.05570523261260502
Position 572: 0.05187980852626182
Position 7706: 0.04902508005293478
Position 8544: 0.04418455700265018
Position 9419: 0.037579839932329336
Position 2681: 0.03622617361315782
Position 8604: 0.03391681797820578
Position 11321: 0.030149078193343802
Position 9442: 0.026561416178651744
Position 681: 0.023362558527717
Position 9481: 0.019854527503708277
Position 14578: 0.016309760373077846
Position 10928: 0.013396178875030461
Position 12593: 0.012492293422454039
Position 12221: 0.009708138193607356
Position 545: 0.003667108062488247
Position 9138: 0.0021584121665653615
Position 9895: 0.0011961719729185246
Position 8216: 1.994408632608723e-06
