Gene = 1700017B05Rik
index = 11
Annotated 5SS: [ 184 6227]
Annotated 3SS: [3471 8282]
SMsplice 5SS: [ 184 6227]
SMsplice 3SS: [6051 8282]
top_k =  100
Partition function (log Z): -9.625068513375625

Sorted 5' Splice Sites (High to Low Probability):
Position 184: 0.99838126244921
Position 6227: 0.5112458303006576
Position 3845: 0.08604608694738125
Position 8103: 0.04886724228559458
Position 2832: 0.032278987335555134
Position 3656: 0.03207892280123083
Position 8387: 0.024361458739546055
Position 802: 0.02185267419887239
Position 3986: 0.018853826740379345
Position 1729: 0.013140285019826631
Position 4164: 0.0013992399575185207
Position 321: 0.001100439863783758
Position 339: 0.00014666984480595562
Position 864: 6.491708629961459e-05
Position 528: 4.127555413028998e-05
Position 563: 2.4873141819252604e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 8282: 0.698799883551053
Position 6051: 0.38915644285730466
Position 6018: 0.11828732910603655
Position 8912: 0.09162693907138421
Position 3679: 0.09026453727069413
Position 8006: 0.07087533803935134
Position 4707: 0.05436322280075498
Position 3471: 0.04810794875809845
Position 6398: 0.043424296196537794
Position 3870: 0.028242978654849288
Position 5959: 0.02290044521232478
Position 2695: 0.02071685643276752
Position 9147: 0.020577390992740988
Position 4045: 0.020392678323217988
Position 1554: 0.013330276602627937
Position 647: 0.008738992777922948
Position 2668: 0.0076730693586108956
Position 6557: 0.00517312000065025
Position 712: 0.004486177411730913
Position 618: 0.004371407430506781
Position 2641: 0.0040635049975447
Position 598: 0.00342795763295207
Position 4746: 0.0030027254309342296
Position 4149: 0.0020673216586374744
Position 5662: 0.0018933591031339205
Position 720: 0.0016870861575003515
Position 4344: 0.0013186333254922656
Position 4712: 0.001269638294396164
Position 3817: 0.0011902195914204018
Position 2346: 0.0009463956799587069
Position 4051: 0.0009145349738256147
Position 3023: 0.0008397167063469143
Position 2343: 0.0007056973519169505
Position 3757: 0.0006685725075608972
Position 270: 0.0005275085770530942
Position 288: 0.0004972478552631208
Position 1395: 0.0004808618019178417
Position 2994: 0.0004339009892711679
Position 941: 0.000394991552315026
Position 2007: 0.0003764531828415328
Position 294: 0.000322899376303335
Position 1597: 0.000311242629884171
Position 2787: 0.00029551664855965906
Position 735: 0.00020608662538030946
Position 320: 0.0001397091943144863
Position 873: 0.00013040233898262659
Position 1483: 9.039806654401769e-05
Position 673: 9.02275334223431e-05
Position 1629: 8.18516337680197e-05
