Gene = Map11
index = 659
Annotated 5SS: [ 573  928 1148 1337 1581 1825 2193 2442 3160 3481]
Annotated 3SS: [ 831 1017 1249 1459 1676 2109 2277 3004 3286 3599]
SMsplice 5SS: [ 245  928 1148 1337 1581 1825 2193 2442 3160 3481]
SMsplice 3SS: [ 764 1017 1249 1459 1676 2109 2277 3004 3286 3599]
top_k =  100
Partition function (log Z): 10.97636013122575

Sorted 5' Splice Sites (High to Low Probability):
Position 3481: 0.9875095575756475
Position 2193: 0.9849570181238798
Position 928: 0.9806448111054821
Position 1148: 0.9600091054476485
Position 1581: 0.9418246550007742
Position 3160: 0.8460447557901792
Position 1337: 0.8193167173247713
Position 245: 0.6530172837763247
Position 2442: 0.593073096648434
Position 1825: 0.5565157416287391
Position 3716: 0.35769250245386286
Position 573: 0.19844712681679844
Position 1796: 0.18494574725322926
Position 1389: 0.09730453461999758
Position 2620: 0.09244027334645652
Position 440: 0.09181568189021837
Position 2405: 0.05710849786110506
Position 1398: 0.04264010942231841
Position 607: 0.023886540232900665
Position 414: 0.017930545086417726
Position 3176: 0.017201375398562632
Position 2328: 0.014167299771904921
Position 1873: 0.012913061508127294
Position 9: 0.0070782366864916
Position 502: 0.005329122154335084
Position 1877: 0.005311014980384578
Position 1586: 0.004518176949041243
Position 109: 0.0039768362914411
Position 39: 0.0038694278710723062
Position 2197: 0.0031754275902970723
Position 3884: 0.0029031392484452356
Position 3209: 0.0017648913690795844
Position 306: 0.0014995829905748543
Position 1833: 0.0014895323397152145
Position 1404: 0.0013096894279828583
Position 188: 0.00126376406707375
Position 4144: 0.0012369334814467097
Position 587: 0.0012176320834791795
Position 133: 0.0011865201976399803
Position 275: 0.0011600660954610993
Position 661: 0.000914615650974455
Position 3184: 0.0008149191255588591
Position 735: 0.0007665732745866105
Position 291: 0.0006947955445030336
Position 1384: 0.00051056272590845
Position 3465: 0.00022815462117459359
Position 1184: 0.0001614189871814412
Position 1045: 9.82633865058908e-05
Position 1196: 2.7933552110389164e-05
Position 3967: 1.043111397838381e-05
Position 79: 4.445988527105748e-06
Position 71: 3.896779597394457e-06
Position 13: 3.188711947449667e-06
Position 140: 2.66460644663176e-06
Position 22: 1.12803761752731e-06
Position 167: 1.0796835302082824e-06
Position 41: 2.868188955453082e-07
Position 43: 9.690461251356153e-08
Position 148: 4.621048961860079e-08
Position 201: 3.5812722248021857e-08
Position 81: 2.912376176735267e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2109: 0.9707069321073005
Position 3599: 0.9651771041727769
Position 3286: 0.9590108871653683
Position 1249: 0.9123118902962909
Position 1017: 0.8905232110304665
Position 3004: 0.8677205484450854
Position 1459: 0.833318717406399
Position 764: 0.7360722173104175
Position 2277: 0.603044976768473
Position 1676: 0.5826521400503951
Position 4042: 0.2032656794321185
Position 831: 0.12910853218081322
Position 1754: 0.11591720017143375
Position 862: 0.08628198273243046
Position 1479: 0.07243278983566992
Position 2547: 0.07203664329106324
Position 2297: 0.06929819084127649
Position 3825: 0.06619108935978005
Position 1282: 0.05524659348484807
Position 1785: 0.054646089413957946
Position 1044: 0.0379213005533039
Position 4300: 0.03627798510543222
Position 4179: 0.029877936200216042
Position 3370: 0.018136588351962232
Position 1024: 0.017483211228643002
Position 696: 0.017269292485153846
Position 4119: 0.016789543649728664
Position 1469: 0.01540722260603892
Position 2142: 0.014722604033688103
Position 325: 0.011141382496336618
Position 3350: 0.01107628867282296
Position 3604: 0.01082880086286731
Position 4222: 0.009323976164169866
Position 1092: 0.009127589256992715
Position 4000: 0.008508520929319358
Position 1529: 0.008236974302395604
Position 1483: 0.006909688939671782
Position 1683: 0.005935783309059749
Position 2332: 0.0057453999075735415
Position 542: 0.00517998839393012
Position 3848: 0.004070329324728007
Position 4049: 0.0028730166247276845
Position 4075: 0.002760496289807816
Position 369: 0.0025313524711112097
Position 558: 0.002073619655328886
Position 1485: 0.0020634987842159443
Position 2353: 0.0020419501740631214
Position 2558: 0.00200709639831838
Position 1050: 0.0018252123110194644
Position 418: 0.0015791152307063538
Position 520: 0.0014965654010088978
Position 3316: 0.001386065261132684
Position 2286: 0.0013703146642861427
Position 1253: 0.0013184069988827537
Position 966: 0.0012928378147107219
Position 3569: 0.001255284236757245
Position 94: 0.0011731176292031418
Position 1967: 0.0008874386405605997
Position 423: 0.0008819938861541272
Position 775: 0.0007741493195598312
Position 513: 0.0007616891321152498
Position 1038: 0.0007221350916369125
Position 899: 0.0007043828391820144
Position 3454: 0.0006712239735531455
Position 1439: 0.0006685916281638799
Position 2486: 0.0006006865840578035
Position 2172: 0.0005502228061434902
Position 1923: 0.0004830861652604336
Position 2004: 0.00045826612678565135
Position 1216: 0.0003860442156657263
Position 1299: 0.00025612373438050457
Position 1057: 0.00025152396953811936
Position 3582: 0.00020529595558001448
Position 698: 0.0002009759881385219
Position 321: 0.00013071110636697097
Position 383: 0.00010844255820982597
Position 651: 9.203598800429701e-05
Position 167: 8.153441314981562e-05
Position 1128: 4.325750082845646e-05
Position 2393: 1.859176861289561e-05
Position 2255: 1.581222588005323e-05
Position 429: 1.9124365893527195e-06
Position 461: 1.4382043818273692e-06
Position 438: 1.2600941901883896e-06
