Gene = Lamtor3
index = 620
Annotated 5SS: [ 138  393 1430 6645 8417 8885]
Annotated 3SS: [ 346 1394 6585 8282 8820 9420]
SMsplice 5SS: [ 393 1312 1430 2636]
SMsplice 3SS: [1213 1394 2530 8820]
top_k =  100
Partition function (log Z): -7.384330796860786

Sorted 5' Splice Sites (High to Low Probability):
Position 1430: 0.966803085634278
Position 393: 0.8589365590584908
Position 2636: 0.6654403242835816
Position 3719: 0.6262277408264304
Position 1312: 0.6169766219402933
Position 124: 0.33209435186800323
Position 2237: 0.09781212773246539
Position 837: 0.08919328910058992
Position 181: 0.08230688124841881
Position 427: 0.05017239777610818
Position 2429: 0.031142422155913153
Position 138: 0.02143072891350446
Position 102: 0.020614731704253375
Position 463: 0.01784388441662733
Position 167: 0.011861766977896178
Position 2416: 0.01185528037139933
Position 434: 0.007565953116420453
Position 2420: 0.005391320033783623
Position 562: 0.005226536253654145
Position 171: 0.004664546210850801
Position 676: 0.003885437688737596
Position 265: 0.0019198944435169457
Position 274: 0.0015813784306524122
Position 36: 0.00124810736914152
Position 29: 0.0007684897850147438
Position 314: 0.0007491870872268656
Position 202: 0.00015996606924060023
Position 128: 6.486033096813511e-05
Position 7: 4.587689208243337e-05
Position 41: 1.5423449619097865e-05
Position 299: 1.8504396073016101e-06
Position 288: 1.7613393536534607e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 1394: 0.96337144394236
Position 2530: 0.6661530196598734
Position 1213: 0.57552663375431
Position 3612: 0.4947079354389176
Position 8820: 0.429711843504104
Position 346: 0.3840481953875849
Position 3814: 0.1664725782958024
Position 3454: 0.1270832900117394
Position 2849: 0.09898921325280308
Position 2144: 0.0945898738612426
Position 2354: 0.06696125640260243
Position 4415: 0.06336200151277806
Position 4679: 0.04707626065419718
Position 7661: 0.03710878615973135
Position 240: 0.03584834835930029
Position 3510: 0.03233600087983872
Position 1176: 0.028418264584652485
Position 2707: 0.0276845094212431
Position 1112: 0.026311295733240828
Position 505: 0.023076553673074037
Position 5023: 0.01987050425051138
Position 2790: 0.017341206338484
Position 1572: 0.015533393404340862
Position 2535: 0.013785330142661586
Position 676: 0.011979074506411225
Position 745: 0.011772632225659947
Position 824: 0.010124194619952256
Position 718: 0.008781825460338562
Position 742: 0.00729065512825314
Position 479: 0.005995139842671327
Position 261: 0.004305946906600021
Position 200: 0.0038154549070924236
Position 2096: 0.003524458752903301
Position 693: 0.00228771579688947
Position 794: 0.002190670937334819
Position 2004: 0.001985800619241251
Position 295: 0.0015754448504599504
Position 234: 0.0014054578246634867
Position 2227: 0.001385281598278026
Position 2587: 0.00014175754923534127
Position 374: 1.59574339530834e-05
Position 263: 1.2977910414402752e-05
Position 354: 1.2313495480208863e-05
Position 325: 1.006438533989781e-05
Position 349: 7.631010638501285e-06
Position 334: 6.471548387551529e-06
Position 297: 4.972001608509733e-06
Position 307: 1.5598055061600115e-06
