Gene = Endod1
index = 379
Annotated 5SS: [572]
Annotated 3SS: [23354]
SMsplice 5SS: [ 572 7335]
SMsplice 3SS: [ 7192 23354]
top_k =  100
Partition function (log Z): -15.142391262626491

Sorted 5' Splice Sites (High to Low Probability):
Position 572: 0.9999966647319
Position 7335: 0.9987258640561673
Position 954: 0.00023434313400415622
Position 1240: 1.3282693724721862e-05
Position 1849: 7.4683330991363274e-06
Position 428: 2.5638605202994614e-06
Position 1472: 1.8347977185586735e-06
Position 118: 3.4615581370480757e-07
Position 101: 3.2376575529100664e-07
Position 963: 3.1353630939292836e-07
Position 6: 1.6721076553196017e-07
Position 874: 9.878730531193251e-08
Position 750: 9.624021710074173e-08
Position 279: 1.8999751167103753e-08
Position 122: 2.3951862839348997e-09
Position 108: 2.0931828289858038e-09
Position 168: 8.607142576901536e-10
Position 103: 2.2120104470188354e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 23354: 0.987211345285901
Position 7192: 0.5460480310838619
Position 7157: 0.452738684200982
Position 14079: 0.003078976821970094
Position 10736: 0.00224834861913417
Position 13307: 0.0019625838888396377
Position 11726: 0.0016951301475646623
Position 9726: 0.0005882093688408896
Position 10103: 0.0005787103828457322
Position 10707: 0.0004174561700682637
Position 8282: 0.00035402632411636955
Position 9337: 0.00032662782001769477
Position 9064: 0.00029797093233791666
Position 7850: 0.0002859331490914246
Position 6440: 0.00025504371454327035
Position 899: 0.00013906872289395753
Position 6635: 0.00012772348573397032
Position 3963: 0.00011356739390064397
Position 1347: 6.241612724822008e-05
Position 5320: 5.8564010385785714e-05
Position 7415: 5.612319742982107e-05
Position 733: 5.560478193552309e-05
Position 860: 5.545120695709092e-05
Position 1106: 5.179266502834737e-05
Position 1277: 4.367978891819927e-05
Position 3312: 2.081625173752846e-05
Position 1230: 1.80441688041539e-05
Position 1562: 1.2725473108624903e-05
Position 1164: 8.193155151298778e-06
Position 1393: 7.605533156906264e-06
Position 3817: 7.51298814149892e-06
Position 805: 7.247950605941759e-06
Position 766: 6.495872598871925e-06
Position 1300: 6.456548471505476e-06
Position 2769: 6.2238228084245365e-06
Position 1006: 5.720214428535346e-06
Position 1746: 4.261769176037194e-06
Position 2715: 4.1719840251496275e-06
Position 646: 4.035302751308972e-06
Position 790: 2.9900080127321376e-06
Position 769: 2.5291787393108144e-06
Position 1142: 2.3409025357483653e-06
Position 1285: 2.093487596766459e-06
Position 1633: 8.98171085152357e-07
Position 882: 7.230363239149932e-07
Position 685: 2.89490064907517e-07
Position 814: 2.3262138238087605e-07
Position 743: 1.7949938538012272e-07
Position 352: 1.3404084190963412e-07
Position 903: 1.1238890574037756e-07
Position 391: 9.422837420348395e-08
Position 480: 4.5029011267271776e-08
Position 540: 3.9854095712246515e-08
Position 832: 3.6424683315527335e-08
Position 906: 2.7175555460582604e-08
Position 679: 2.6901621729950958e-08
Position 320: 7.731830761573404e-09
Position 356: 3.4959743013384097e-09
Position 245: 3.2271969597838944e-09
Position 550: 2.8272249996380035e-09
Position 331: 1.8273716859245024e-09
