Gene = Cytl1
index = 313
Annotated 5SS: [ 191 1888 2192]
Annotated 3SS: [1842 2062 3692]
SMsplice 5SS: [ 191 2192]
SMsplice 3SS: [2062 3692]
top_k =  100
Partition function (log Z): 1.0984361300673375

Sorted 5' Splice Sites (High to Low Probability):
Position 2192: 0.999992073627577
Position 191: 0.9999598620493936
Position 1906: 0.17837603809832944
Position 3805: 0.12027036597183588
Position 1888: 0.10471100184443831
Position 1910: 0.06610082970525588
Position 600: 0.05338389949662957
Position 1857: 0.04387559360226877
Position 1919: 0.033847064361335555
Position 1197: 0.032203600024691
Position 749: 0.028947363196107155
Position 3781: 0.02748286061075782
Position 682: 0.021471423806671806
Position 3568: 0.015847939908799513
Position 3857: 0.012905498644250314
Position 624: 0.010952008689569874
Position 3371: 0.007678789176018159
Position 3272: 0.0068877226395522816
Position 3428: 0.0061163371500518315
Position 2404: 0.005538001195097502
Position 1914: 0.0047981998863991
Position 3512: 0.004635681324426991
Position 144: 3.43557014508654e-05
Position 2196: 7.926372422677409e-06
Position 375: 2.574123227076661e-06
Position 74: 1.6525823927222454e-06
Position 388: 1.5555435341456358e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 3692: 0.8094824584803867
Position 2062: 0.7896595620074456
Position 1842: 0.35828200323456266
Position 3949: 0.15591119203799425
Position 2039: 0.11486952464720888
Position 2110: 0.0910494740687759
Position 497: 0.0637584249410779
Position 1654: 0.06080985883946512
Position 4132: 0.05098033561922569
Position 3711: 0.0462526203589775
Position 3325: 0.03431423204667877
Position 4195: 0.023633568691104043
Position 2330: 0.022348818728074628
Position 1095: 0.020293262608711872
Position 3402: 0.017834239535873462
Position 3068: 0.014400708746244452
Position 463: 0.013648595731515166
Position 4266: 0.012240732346974157
Position 522: 0.011871036425174392
Position 562: 0.010818298616287239
Position 1126: 0.010491828730162972
Position 649: 0.00909022412174756
Position 1782: 0.008985393397330482
Position 3899: 0.005792401853142431
Position 3586: 0.005116615189595197
Position 446: 0.004554624073142015
Position 1732: 0.004506277844425291
Position 3565: 0.0034462035433688396
Position 2083: 0.0033985714504574747
Position 3644: 0.0019692738283610275
Position 3132: 0.0012948532607374992
Position 1053: 0.001219286393377491
Position 3300: 0.0010082271759886444
Position 3183: 0.0007088288045078929
Position 2277: 0.0006278863735549576
Position 652: 0.00033733264056736486
Position 575: 0.0003158653061461591
Position 1159: 0.00019922229243865973
Position 296: 0.00016311114528486911
Position 694: 0.0001594483229086018
Position 1578: 0.00014520750434956285
Position 609: 2.3654037172172178e-05
Position 568: 6.212548943272717e-06
Position 728: 2.89870172818165e-06
Position 2187: 2.8545040049704605e-06
Position 433: 2.7144257438985094e-06
Position 583: 1.155695497816466e-06
Position 345: 1.09845604180769e-06
