Gene = Clns1a
index = 270
Annotated 5SS: [  236  9092 15165 16101 17447 19906]
Annotated 3SS: [ 8954 15065 15992 17272 19816 21584]
SMsplice 5SS: [  236  7910 13817 13978 15165 16101 17447 19906]
SMsplice 3SS: [ 7711 13670 13919 15065 15992 17138 19816 21584]
top_k =  100
Partition function (log Z): 1.8898641899944288

Sorted 5' Splice Sites (High to Low Probability):
Position 7910: 0.9999999999999992
Position 236: 0.9922329049172605
Position 16101: 0.9920986053405852
Position 19906: 0.9899661608040928
Position 15165: 0.9897083658971999
Position 17447: 0.768886057470136
Position 9092: 0.4857216970371003
Position 421: 0.43472614226602213
Position 5840: 0.3312097213586406
Position 21748: 0.237407541053076
Position 15461: 0.1308636300954799
Position 19754: 0.05722705094075952
Position 17431: 0.029965208534492836
Position 20966: 0.028966670938354956
Position 15295: 0.024925613401025823
Position 21765: 0.023752630710978592
Position 19552: 0.022872754523249522
Position 15381: 0.013300268684480414
Position 241: 0.007463088499579807
Position 16081: 0.0028252555897903273
Position 16538: 0.0019074352676059511
Position 16105: 0.001611926422990395
Position 16182: 0.0004907816680245941
Position 82: 0.00015039203538859728
Position 66: 0.00013100795546865457
Position 143: 8.25639106184621e-06
Position 48: 5.934143736335219e-06
Position 286: 5.182605826219039e-06
Position 275: 1.6516417798923933e-06
Position 186: 8.580385705807753e-07
Position 88: 7.237713266796226e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 7711: 0.9999999999999992
Position 19816: 0.9899468164746855
Position 15065: 0.9897083658972
Position 15992: 0.9305988264722568
Position 22108: 0.45683994922719035
Position 21584: 0.45218773847988364
Position 328: 0.42881182610097596
Position 17138: 0.402700816577827
Position 8954: 0.36793591636315437
Position 5736: 0.3312097213586406
Position 17272: 0.3299126494333502
Position 8971: 0.1177857806739459
Position 15267: 0.10123390999184634
Position 19462: 0.08644287158826669
Position 17335: 0.06875467101402244
Position 15313: 0.06785560218913983
Position 20872: 0.0677561460047048
Position 21631: 0.06094267616403531
Position 20111: 0.052539045778439736
Position 20257: 0.04516107671986009
Position 16010: 0.04144734228276396
Position 22156: 0.03685750178903685
Position 21603: 0.03129456980032557
Position 21852: 0.029885094361685974
Position 15997: 0.023361801262221624
Position 20472: 0.01787238811209458
Position 21792: 0.01031002184516399
Position 20916: 0.008361972817301624
Position 21039: 0.005993826432056054
Position 377: 0.0059143161650461505
Position 20536: 0.0052842423552089905
Position 16495: 0.0019074352676059511
Position 15865: 0.0016185990041479646
