Gene = Nenf
index = 743
Annotated 5SS: [ 276 6735 8276]
Annotated 3SS: [ 6673  8171 11104]
SMsplice 5SS: [ 276 6735 8276]
SMsplice 3SS: [ 6673  8171 11104]
top_k =  100
Partition function (log Z): -5.745283185469894

Sorted 5' Splice Sites (High to Low Probability):
Position 6735: 0.9880030175957288
Position 276: 0.9793729349749155
Position 8276: 0.9180533812539469
Position 1649: 0.5462119589204356
Position 2860: 0.3279674970317291
Position 4791: 0.32316433142265955
Position 5301: 0.27811840219019096
Position 2059: 0.1277917165443192
Position 9757: 0.12163844024984892
Position 5272: 0.09253550792850934
Position 5001: 0.07416984623558318
Position 1416: 0.06152769411590824
Position 2685: 0.051959686805758805
Position 10846: 0.0354816783544284
Position 5257: 0.0301661786713235
Position 452: 0.014420774683864246
Position 7061: 0.011184788467925285
Position 6775: 0.010973588116223117
Position 2729: 0.004893956612080738
Position 2023: 0.003873260222985168
Position 228: 0.0037062979631663725
Position 2680: 0.0019992818415126793
Position 2656: 0.0014316565315193942
Position 2823: 0.0013757318380446127
Position 405: 0.0008794805003323711
Position 2134: 0.0005857980053884705
Position 446: 0.0005129313763794425
Position 622: 0.0003532712666113491
Position 409: 0.0002426693661708668
Position 665: 0.00023062234724129815
Position 503: 0.00022028089812998244
Position 415: 2.0439444835619056e-05
Position 150: 2.022215698653089e-05
Position 344: 2.006001814586998e-05
Position 946: 1.4136388975587303e-05
Position 1098: 7.787139477416313e-06
Position 791: 7.608391736260179e-06
Position 319: 4.620535532388184e-09
Position 357: 4.524924606524729e-09
Position 304: 2.4913066308916377e-09
Position 700: 2.403933047034494e-09
Position 399: 5.914779487843999e-10
Position 168: 3.710432630401748e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 6673: 0.9989766057119523
Position 8171: 0.9421904725997515
Position 11104: 0.6941558247107936
Position 1341: 0.5045631692483439
Position 5083: 0.4008200887900238
Position 4585: 0.32381288288901455
Position 2572: 0.31895762108637626
Position 10980: 0.13603140537012076
Position 9580: 0.07664773744944318
Position 4890: 0.07435849554113641
Position 1468: 0.07230089838634783
Position 9661: 0.04656248848289297
Position 10776: 0.04170802624329159
Position 11068: 0.041288256618630705
Position 1904: 0.03941485755364278
Position 1910: 0.037489002181455025
Position 1907: 0.031523658779273336
Position 8730: 0.031100271402694595
Position 2794: 0.029977079507792444
Position 9605: 0.028953743921486048
Position 2761: 0.020775688190448772
Position 1571: 0.020252245451088814
Position 2728: 0.020023152689296487
Position 1901: 0.01870754416462716
Position 6833: 0.01323762231842083
Position 11151: 0.013093543402412037
Position 8700: 0.0101434621435189
Position 1913: 0.004591280169201553
Position 10432: 0.004222573307820399
Position 10217: 0.003921384674271999
Position 1472: 0.003503569952834213
Position 1533: 0.003480662953004192
Position 8809: 0.002078081392552233
Position 1313: 0.0014415858455865897
Position 1601: 0.0011304090959311846
Position 1592: 0.0006105452400456913
Position 1898: 0.0005244319244929972
Position 1400: 0.00031087040247738793
Position 1421: 9.845932604432931e-05
Position 1221: 7.182048792326082e-05
Position 762: 4.663038595744376e-05
Position 1357: 3.130988341090743e-05
Position 730: 3.274394325448282e-06
Position 905: 2.271163572377563e-06
Position 987: 1.9254425113300696e-06
