Gene = Il31
index = 574
Annotated 5SS: [ 68 400]
Annotated 3SS: [ 247 1358]
SMsplice 5SS: [ 68 400]
SMsplice 3SS: [ 247 1358]
top_k =  100
Partition function (log Z): -4.90734958915676

Sorted 5' Splice Sites (High to Low Probability):
Position 400: 0.9360921702545425
Position 68: 0.8927673956112044
Position 157: 0.0932303146924549
Position 909: 0.028706737499034192
Position 1251: 0.02804404830981738
Position 1145: 0.005341093924269942
Position 560: 0.004581627957166978
Position 124: 0.003842427331037837
Position 1512: 0.0031825732712337748
Position 1497: 0.0031407140240059125
Position 1141: 0.0028407475442775157
Position 1229: 0.0025443389510208286
Position 160: 0.0017140100918930767
Position 1481: 0.0015732950270678711
Position 375: 0.0011742372483765017
Position 1449: 0.0011630581815848758
Position 639: 0.0008546875580245104
Position 1203: 0.0007959234024496844
Position 180: 0.0007818931215156395
Position 177: 0.000178357655380554
Position 228: 0.00011240370747236857
Position 46: 2.5433299945829694e-05
Position 320: 1.0441519604818191e-05
Position 404: 9.03897622444134e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 247: 0.8564456162132495
Position 1358: 0.7656358764393417
Position 286: 0.1090196159820957
Position 1035: 0.06015587643196504
Position 1843: 0.05231040640514748
Position 1417: 0.03505044225158988
Position 1389: 0.01755685859398979
Position 844: 0.013156997008828103
Position 1162: 0.012507233307046608
Position 635: 0.011323898557962057
Position 1403: 0.008740089405907953
Position 682: 0.00814219313417065
Position 308: 0.007200478707939599
Position 490: 0.006230900078581848
Position 464: 0.006073338933105624
Position 962: 0.0043570265153465865
Position 712: 0.0043552517142747835
Position 1056: 0.003079773318696039
Position 1458: 0.0029128167506468233
Position 723: 0.002770703650279446
Position 556: 0.00244025834301658
Position 1628: 0.00233854682207363
Position 469: 0.002173229968177642
Position 220: 0.0021147208214296544
Position 1650: 0.0020900798757713113
Position 1360: 0.002048780090177519
Position 896: 0.0020159276986916512
Position 868: 0.001969685631683325
Position 618: 0.0019665442871077874
Position 1631: 0.0014888511719359173
Position 1195: 0.0014714272268193207
Position 1367: 0.0009441783090160372
Position 1605: 0.0007598357706261649
Position 258: 0.0005888394529917745
Position 744: 0.0003964049792336257
Position 795: 0.00034967283129295595
Position 756: 0.0003469867822595882
Position 189: 0.0001430125814442754
Position 734: 1.1450808067455084e-05
Position 156: 1.1101229991777074e-05
Position 171: 3.8336089463378874e-06
Position 336: 3.1294812076371547e-06
Position 202: 2.8321123680834517e-06
Position 340: 2.1416149600436896e-06
Position 134: 4.070509051512159e-08
Position 173: 2.242760528041342e-08
Position 373: 2.189866923473455e-08
Position 137: 1.9228786940336933e-08
