Gene = Resp18
index = 896
Annotated 5SS: [ 214 2803 4019 4248 4459]
Annotated 3SS: [2697 3885 4204 4368 6053]
SMsplice 5SS: [  87 2803 4019 4248 4459]
SMsplice 3SS: [2697 3885 4204 4368 6053]
top_k =  100
Partition function (log Z): 1.4033679938249108

Sorted 5' Splice Sites (High to Low Probability):
Position 2803: 0.9795957530122568
Position 4459: 0.943703314080902
Position 87: 0.8767222873039199
Position 4019: 0.7362102892071993
Position 4248: 0.6255774162134092
Position 4827: 0.276147413916626
Position 214: 0.21991126961017013
Position 4014: 0.16358678050496342
Position 3143: 0.11827073279091667
Position 422: 0.06423058295895807
Position 4034: 0.03370890799864188
Position 4310: 0.030100920560639503
Position 4749: 0.02480469395779843
Position 4065: 0.016191383759503776
Position 2827: 0.0113493852660385
Position 3279: 0.00985208549128454
Position 3205: 0.009648627470825434
Position 4500: 0.008182548610977588
Position 2476: 0.004980059082065988
Position 4054: 0.004169734439658229
Position 115: 0.003995309970132554
Position 3962: 0.003900346595765416
Position 156: 0.0035069827435768278
Position 232: 0.0034163430441221344
Position 2178: 0.0028340233447271147
Position 2980: 0.002456955727699067
Position 3291: 0.002313445511451344
Position 2392: 0.0021868499282553713
Position 2838: 0.002114934788301482
Position 238: 0.0020155726595993345
Position 3602: 0.0017396409122314026
Position 3201: 0.0016415170999390825
Position 281: 0.0014435260428928027
Position 3990: 0.0007203562336690376
Position 3933: 0.0006613976600262796
Position 91: 8.361444993731022e-06
Position 14: 6.153761667780482e-06
Position 21: 5.927538785748498e-07
Position 52: 5.614684604333622e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 2697: 0.9874125410080861
Position 3885: 0.9629833618262745
Position 4368: 0.7971099612042445
Position 4204: 0.7753593407457195
Position 6053: 0.7659302971883293
Position 4589: 0.32245569725929063
Position 178: 0.17258989465317362
Position 3043: 0.06944495036199626
Position 4622: 0.0611126333357674
Position 2923: 0.05345213350436746
Position 4965: 0.039826593391570624
Position 4884: 0.03796337528017512
Position 4247: 0.026042145356477846
Position 4852: 0.02022559701512799
Position 4663: 0.020045528628473506
Position 2907: 0.013184560294078189
Position 5687: 0.007523591035653779
Position 5019: 0.0067988504646025
Position 4151: 0.005197161711042242
Position 3011: 0.005163383973749373
Position 2361: 0.00498307667751378
Position 2678: 0.003825616977817705
Position 5808: 0.003463448973622658
Position 4685: 0.003372434743334232
Position 4414: 0.003127055705289407
Position 4630: 0.002531994624253149
Position 5170: 0.0018823260022229127
Position 2015: 0.001881031478584043
Position 3186: 0.0018011411143570766
Position 3573: 0.0017396409122314009
Position 295: 0.0015949717806096407
Position 4207: 0.0015402639735866293
Position 3900: 0.0014876890752413886
Position 2232: 0.0011857087314308223
Position 3865: 0.0010729348076288425
Position 2242: 0.0010011411968245492
Position 2742: 0.000963368352458443
Position 2107: 0.0009529918661430707
Position 149: 0.0007915355660492971
Position 2789: 0.000535142130130071
Position 2957: 0.00045352534177426035
Position 3045: 0.0003749374133563022
Position 3932: 0.00035689510520308363
Position 2765: 0.0003203870026563809
Position 3204: 0.000308732088437193
Position 325: 0.0002811417625393972
Position 3962: 0.0002563262866491364
