Gene = Zpr1
index = 1206
Annotated 5SS: [ 304  576 1083 1664 2387 2790 3184 3415 3799 4672 5351 6692 6918]
Annotated 3SS: [ 413  991 1592 2299 2666 3135 3347 3727 4581 5239 6604 6851 7973]
SMsplice 5SS: [ 304  576 1083 2387 2790 3184 3799 4672 5351 6692 6918]
SMsplice 3SS: [ 413  991 2299 2666 3135 3727 4581 5239 6604 6807 7973]
top_k =  100
Partition function (log Z): 22.544784185760765

Sorted 5' Splice Sites (High to Low Probability):
Position 304: 0.9990661849392874
Position 2790: 0.9874226547555409
Position 5351: 0.983215720139226
Position 6692: 0.971560200063807
Position 6918: 0.9650350433482613
Position 1083: 0.9361341756531657
Position 576: 0.843459675596357
Position 3799: 0.7375651632338107
Position 3184: 0.7170496042466904
Position 1664: 0.6915235251263374
Position 2387: 0.6687047091908984
Position 4672: 0.6642129139754877
Position 3523: 0.49424912638010615
Position 4532: 0.3321751464142916
Position 2489: 0.2787649615994284
Position 596: 0.1316087184485674
Position 3228: 0.09825232202528471
Position 4490: 0.08552755974292324
Position 1100: 0.041086579602924
Position 3594: 0.02759327749956811
Position 2534: 0.019735457990399996
Position 7045: 0.018998997027500585
Position 1109: 0.018986077307554295
Position 561: 0.017844823427140243
Position 4031: 0.017478409552716744
Position 2182: 0.016967971752015327
Position 3415: 0.014851172199260222
Position 7395: 0.013755030588816958
Position 3582: 0.012945518021867998
Position 8018: 0.012808169513969646
Position 1464: 0.01231747084639737
Position 1991: 0.011372256822243893
Position 4913: 0.010691958468810945
Position 3249: 0.010096378219133242
Position 8236: 0.010034256561928453
Position 2419: 0.007290602301004302
Position 3275: 0.00695307442049973
Position 3224: 0.005802745528282907
Position 7367: 0.0054339394920421
Position 2460: 0.0053508705381326875
Position 1225: 0.004784518734274053
Position 7417: 0.0040042742074966895
Position 1860: 0.0038448261000101594
Position 4105: 0.0016864849072732746
Position 3309: 0.0013154361253503357
Position 543: 0.001294927167775165
Position 1773: 0.0010389810395366914
Position 465: 0.0010016772926213753
Position 628: 0.00099103903926375
Position 3221: 0.0006807470124505361
Position 801: 0.00047491804681747693
Position 76: 0.00044664348636126624
Position 2931: 0.00034370133816470096
Position 928: 0.0002683395674995917
Position 741: 0.00025311334698533637
Position 607: 0.0002453837315202248
Position 723: 0.000224493359681227
Position 1167: 0.00020937204341722098
Position 708: 0.00020324225952517963
Position 282: 0.00014323904068847147
Position 906: 0.0001426959749097676
Position 1113: 0.00013868565489672693
Position 825: 0.00010298882389745267
Position 125: 9.371857439271204e-05
Position 308: 8.636438080679643e-05
Position 276: 8.133769060894884e-05
Position 769: 6.498229189897564e-05
Position 7258: 6.0059218352834276e-05
Position 747: 5.729874498234273e-05
Position 81: 4.937296122406449e-05
Position 31: 4.191717509496618e-05
Position 805: 3.757522917206837e-05
Position 2736: 3.3367795612844244e-05
Position 151: 3.278338585100858e-05
Position 135: 3.137608119129782e-05
