Gene = Slx1b
index = 987
Annotated 5SS: [ 360 3032 3464 3857 4046]
Annotated 3SS: [2979 3124 3728 3960 4128]
SMsplice 5SS: [ 360 2640 3032 3464 3857 4046]
SMsplice 3SS: [2423 2979 3124 3728 3960 4128]
top_k =  1000
Partition function (log Z): -3.4516013222586928

Sorted 5' Splice Sites (High to Low Probability):
Position 360: 0.9801006055743751
Position 3032: 0.7791733711750007
Position 3464: 0.7711431367586368
Position 3857: 0.766425934787076
Position 4046: 0.6876112104795576
Position 2640: 0.5264602129255302
Position 4349: 0.37873791241858207
Position 3254: 0.05810677406730482
Position 3598: 0.049937998886281136
Position 2789: 0.046734486415953964
Position 92: 0.02505701166323979
Position 1098: 0.018538299107614054
Position 2939: 0.0183676370018632
Position 2603: 0.017778639250838505
Position 4246: 0.017134070443248963
Position 126: 0.014774044368807202
Position 3250: 0.012867467925390036
Position 326: 0.011229720469369736
Position 6011: 0.010001003798160324
Position 631: 0.007933845645759597
Position 2868: 0.006340762048394881
Position 4199: 0.00510284740752417
Position 3423: 0.004681523024455735
Position 1976: 0.004635624807977652
Position 2553: 0.004561781445227757
Position 2616: 0.00437895253377556
Position 599: 0.004268193631036439
Position 2858: 0.004146562155095193
Position 2500: 0.003940969504180047
Position 5684: 0.0036217019451087345
Position 5756: 0.00359234669720578
Position 3613: 0.003200924482176916
Position 3892: 0.003178562723598384
Position 396: 0.003051023968709177
Position 133: 0.002509950653628395
Position 2282: 0.002415148503082821
Position 295: 0.002399061864397352
Position 5767: 0.0023393268970461198
Position 3043: 0.002251545474704802
Position 3386: 0.002178875598477297
Position 6222: 0.002079350600251303
Position 3642: 0.0018090959204383758
Position 1684: 0.0016690990373448805
Position 3041: 0.0013914049830634127
Position 928: 0.0012845795784968733
Position 614: 0.0012370391638988417
Position 3686: 0.0012078861784740158
Position 3640: 0.0011345380259228798
Position 4465: 0.000990279397811493
Position 569: 0.0009185380078349492
Position 2495: 0.0008263532023638998
Position 381: 0.0008167880113139127
Position 1859: 0.0007655836504045049
Position 29: 0.0007335064175298127
Position 1605: 0.0006791057212368269
Position 2844: 0.0005921930169734303
Position 4053: 0.0005474899442379504
