Gene = Pmf1
index = 826
Annotated 5SS: [  176 10621 11197 14427]
Annotated 3SS: [10514 11095 14230 15760]
SMsplice 5SS: [  176  5877 10621 11197 14427]
SMsplice 3SS: [ 5771 10514 11095 14230 15946]
top_k =  1000
Partition function (log Z): -6.137639186580078

Sorted 5' Splice Sites (High to Low Probability):
Position 10621: 0.9264619565664486
Position 5877: 0.8370317058314048
Position 176: 0.7829698665411339
Position 14400: 0.7253533142523655
Position 11197: 0.6239418545683996
Position 14618: 0.441436960959113
Position 8181: 0.3300490940559477
Position 9881: 0.1858513342739838
Position 7074: 0.12774107733642315
Position 225: 0.10538882146867903
Position 14379: 0.09947324755239194
Position 33: 0.09121097706687536
Position 2188: 0.08017599797968798
Position 10748: 0.07763223211133523
Position 10901: 0.06452157830435984
Position 11214: 0.05446906956567356
Position 15438: 0.052549012236407656
Position 3976: 0.04080980696133762
Position 11520: 0.03841848754121813
Position 2264: 0.03391769522867184
Position 2808: 0.02858879234074029
Position 8435: 0.023232034660893255
Position 14431: 0.01792213952647562
Position 6962: 0.01654082479540546
Position 1868: 0.01296491609916313
Position 10567: 0.012334085882231848
Position 6788: 0.01053420158284475
Position 9499: 0.01053351999708529
Position 335: 0.009946789527736468
Position 2812: 0.009882905895437754
Position 14316: 0.009798893985936707
Position 3054: 0.009083211366436613
Position 1688: 0.008749877009840883
Position 14929: 0.008046977311303423
Position 15696: 0.007355298327388931
Position 4706: 0.007256500262318641
Position 1710: 0.007025774345647221
Position 685: 0.00664061183418572
Position 783: 0.006353040792870306
Position 3163: 0.005970338015638361
Position 210: 0.005881588025107204
Position 7292: 0.0053622734936950795
Position 7837: 0.005066512733274756
Position 12537: 0.00486899820445454
Position 15867: 0.004397238530561228
Position 180: 0.004345300111078478
Position 6856: 0.0042867925158929275
Position 2755: 0.003588777878521795
Position 2215: 0.0032666039114811157
Position 8372: 0.00318995317281813
Position 5666: 0.002978057967453934
Position 3117: 0.002766734133932634
