Gene = Rps3a1
index = 933
Annotated 5SS: [ 195 1005 1464 3663 4220]
Annotated 3SS: [ 900 1275 3453 4109 4591]
SMsplice 5SS: [ 195 1005 1464 3663 4266]
SMsplice 3SS: [ 900 1275 3453 4109 4591]
top_k =  1000
Partition function (log Z): 0.19674052113603047

Sorted 5' Splice Sites (High to Low Probability):
Position 1005: 0.9220287599405487
Position 195: 0.8912132231781039
Position 3663: 0.6886574255918779
Position 1464: 0.669535692308654
Position 4266: 0.491888480437149
Position 4220: 0.42158720064059974
Position 3625: 0.15600475830499302
Position 1485: 0.08440620622344805
Position 1231: 0.0744385337960405
Position 1414: 0.03296704886344656
Position 331: 0.0324681568289739
Position 167: 0.03225749538025047
Position 805: 0.016378214286036284
Position 1986: 0.015551348656987325
Position 619: 0.011574742796199803
Position 1704: 0.011541351256758429
Position 1534: 0.011040247293184053
Position 280: 0.010823065901343193
Position 3667: 0.008573013300975395
Position 3928: 0.008052259395618724
Position 215: 0.005721379717100218
Position 1212: 0.005415801276106629
Position 756: 0.004873759454468972
Position 815: 0.0047158728139543695
Position 2335: 0.004703452812783689
Position 2257: 0.003924675450127831
Position 4500: 0.0035207692367448355
Position 628: 0.0034767266689548822
Position 3649: 0.0034238340674729957
Position 193: 0.0026777762479940296
Position 245: 0.0026013767310692376
Position 3262: 0.002453391578876482
Position 928: 0.002240222156708495
Position 3436: 0.002234614383019578
Position 791: 0.0021371593957836116
Position 261: 0.0016914656048726692
Position 124: 0.0016698805875837517
Position 1009: 0.001641815456321257
Position 487: 0.0015606419509913761
Position 139: 0.0013679300493444015
Position 2493: 0.001206710713644712
Position 4514: 0.0010949217322681777
Position 1530: 0.0009551278015366998
Position 1522: 0.0007194432226152311
Position 3652: 0.000711059714652764
Position 765: 0.0007074217214825061
Position 4308: 0.0006411109583639029
Position 4189: 0.0006261085730517246
Position 841: 0.0005751603893177583
Position 1503: 0.0005357437911541317
Position 2064: 0.00046900463871841293
Position 199: 0.0004422638931347074
Position 760: 0.0004229932419828357
Position 844: 0.0004226347973438097
Position 4252: 0.0004132015658766003
Position 881: 0.00039875806318354496
Position 639: 0.0003380727513730415
Position 770: 0.0003342112801729342
Position 1014: 0.00028876492651375455
Position 4520: 0.0002640799501885147
Position 4212: 0.00025907890239164913
Position 458: 0.0002278291213687189
Position 3580: 0.00022297408252747858
Position 241: 0.00021418620130097011
Position 833: 0.00019968143764214082
Position 1257: 0.000189403734616661
Position 1203: 0.00018481971006428064
Position 509: 0.0001467437733424733
Position 3849: 0.00014310200765929663
Position 4224: 0.00014099835801134955
Position 1114: 0.00013735529132957706
Position 1050: 0.0001332025721136785
Position 253: 0.00013014564549178445
Position 1223: 0.000126424476959061
Position 586: 0.00012554299306927186
Position 4289: 0.00011965278899295718
Position 1072: 0.00010881652900512663
Position 3495: 0.00010470047908887721
Position 3920: 9.977702077778473e-05
Position 3931: 9.921458435834535e-05
Position 52: 8.913901758897448e-05
Position 2542: 8.203332851103923e-05
Position 79: 8.093096441144738e-05
Position 1102: 7.550524321637941e-05
Position 96: 7.29179174618836e-05
Position 308: 6.118361340255282e-05
Position 4060: 5.8105547606500415e-05
Position 1235: 5.784055498600976e-05
Position 4270: 5.5892478259054185e-05
Position 595: 5.499688580791413e-05
Position 422: 5.281084011832459e-05
Position 4314: 5.0088767893653204e-05
Position 736: 4.729770416543317e-05
Position 385: 3.9666393277510156e-05
Position 371: 3.905314211331125e-05
Position 225: 3.765535915504621e-05
Position 369: 3.751227052949167e-05
