Gene = Slc51b
index = 984
Annotated 5SS: [ 209 7789 9032]
Annotated 3SS: [7667 8940 9953]
SMsplice 5SS: [ 209 7803 9032]
SMsplice 3SS: [7667 8940 9953]
top_k =  1000
Partition function (log Z): -5.279563984993389

Sorted 5' Splice Sites (High to Low Probability):
Position 209: 0.970443392853576
Position 9032: 0.8218720683276628
Position 7803: 0.4965304978788743
Position 7789: 0.39783894191169217
Position 422: 0.317851502891521
Position 5129: 0.29936314856410157
Position 1852: 0.21125221545637582
Position 7564: 0.10029002848537762
Position 9380: 0.03744209511690974
Position 3149: 0.037152561304555715
Position 3878: 0.030232662964241867
Position 7793: 0.02230767147457955
Position 2551: 0.02147167729122872
Position 3663: 0.021168471168405513
Position 619: 0.02053362406800735
Position 1867: 0.016365880999736366
Position 3986: 0.015230980312588165
Position 9580: 0.015225709673267624
Position 10039: 0.014942007572356315
Position 411: 0.014698092049404747
Position 2997: 0.012036498484700888
Position 3441: 0.00973457700307784
Position 8778: 0.008356483623269472
Position 7631: 0.007544199956123207
Position 7875: 0.007025150295977515
Position 7769: 0.006550469190430523
Position 9230: 0.006048793348948779
Position 5927: 0.005898291660900756
Position 7737: 0.0053159156316039775
Position 9359: 0.0038006673763183387
Position 9115: 0.0031333475473258286
Position 9063: 0.0031152218845310257
Position 9426: 0.0025666285241227505
Position 8336: 0.002448744145441346
Position 5936: 0.0024055677223557945
Position 6282: 0.002374458489065655
Position 37: 0.00188395479289323
Position 3030: 0.0018392328230244844
Position 3591: 0.0017039371354329506
Position 9481: 0.0013259972997962948
Position 9543: 0.0012384274026324246
Position 2908: 0.0010920880983938265
Position 5912: 0.0010386806779202052
Position 5016: 0.0009959152830712424
Position 1236: 0.000974183390483005
Position 3232: 0.0009111614692840498
Position 9566: 0.0007972135044213463
Position 1524: 0.0006954195837647237
Position 134: 0.0006486245399078262
Position 9249: 0.0006397211004289046
Position 9048: 0.0006179220736268902
Position 9043: 0.000580109203642494
Position 202: 0.0005524388224530962
Position 9834: 0.0005247921851668811
Position 88: 0.0005203933567008086
Position 603: 0.000430313075229756
Position 1242: 0.00037061053942301044
Position 213: 0.00036208941009669614
Position 234: 0.00032535371457306886
Position 9050: 0.0002747109021703189
Position 639: 0.00027316052567641396
Position 659: 0.00024790798591313955
Position 2564: 0.0002462138486284333
Position 2560: 0.0002187141343515298
Position 8280: 0.00021747749600021284
Position 7847: 0.00020438609610646326
Position 517: 0.00017337999061446517
Position 947: 0.00017153298581176846
Position 1351: 0.00016266684593605342
Position 1121: 0.00016004485598401232
Position 79: 0.00014899613591731593
Position 1440: 0.00012473180918405057
Position 77: 0.00010157989958375555
Position 1844: 6.863781312793567e-05
Position 92: 4.8485696604294865e-05
Position 5910: 3.0226613777292722e-05
