Gene = Sbds
index = 945
Annotated 5SS: [ 321 1592 4717 7245]
Annotated 3SS: [1461 4515 7079 9068]
SMsplice 5SS: [ 321 1592 4717 7245 8553]
SMsplice 3SS: [1461 4515 7079 8406 9068]
top_k =  1000
Partition function (log Z): -1.1466343659538838

Sorted 5' Splice Sites (High to Low Probability):
Position 1592: 0.9644553227019463
Position 4717: 0.9246458316173171
Position 321: 0.7764136408091301
Position 7245: 0.7431161514461441
Position 8553: 0.6522681505951237
Position 3023: 0.2585896193963893
Position 9330: 0.21284816664452127
Position 80: 0.18703569278290566
Position 6408: 0.1247260483182488
Position 7270: 0.09589018242064756
Position 244: 0.07756863336722733
Position 7206: 0.06593086079351847
Position 7422: 0.06405864915963352
Position 7216: 0.040346522594120346
Position 298: 0.03406930960401191
Position 7675: 0.033159122807699566
Position 4346: 0.03088271591355696
Position 387: 0.02691694011414577
Position 6421: 0.021337597798170994
Position 7961: 0.020633484210344732
Position 1162: 0.01949741955767563
Position 7919: 0.018910191526848814
Position 2107: 0.01864758231706876
Position 6439: 0.016939041221258166
Position 7637: 0.01626284117465729
Position 7284: 0.01473190133195723
Position 5322: 0.014280202680551576
Position 1606: 0.013641974703750526
Position 9573: 0.013208657751067467
Position 1004: 0.01219885008928355
Position 1326: 0.011868064479058412
Position 2074: 0.01140337149071735
Position 1632: 0.011028120022355339
Position 572: 0.005502490176619958
Position 120: 0.004982795003181255
Position 4408: 0.00446326775378612
Position 9472: 0.004216370757649071
Position 325: 0.00400317452748437
Position 6939: 0.00398015633520565
Position 6586: 0.00368649183396073
Position 4164: 0.003678684931100314
Position 5337: 0.003453453555384786
Position 4370: 0.0031783810935938806
Position 9524: 0.0030518040477522964
Position 1401: 0.0029981142400727053
Position 1185: 0.002722603149467262
Position 5342: 0.002701951162490102
Position 65: 0.0024887175661891313
Position 789: 0.0024079915631250643
Position 486: 0.0023573702811953913
Position 7256: 0.002278599664463619
Position 584: 0.0018025909776055145
Position 6812: 0.0017377561536533925
Position 235: 0.0016995089898770605
Position 7451: 0.0015695803650148062
Position 7455: 0.0015172022180276648
Position 8959: 0.0014272252437651177
Position 6755: 0.0012491990899433326
Position 5632: 0.0012260071077432374
Position 3706: 0.0011340864322406182
Position 1521: 0.0011069355819465685
Position 6455: 0.0010339971971954904
Position 590: 0.000986424735736925
Position 7459: 0.0009652209089842628
Position 8684: 0.0008888736642601977
Position 22: 0.0008495270337079423
Position 7744: 0.0008080222851875292
Position 6467: 0.0007147491034654708
Position 8530: 0.0007108927972753504
Position 574: 0.0006544767704556279
Position 8140: 0.0006509116597527882
Position 45: 0.0005910042935305729
Position 9338: 0.0005071912738517279
Position 84: 0.0005024881397571281
Position 8902: 0.0004527595989740981
Position 6672: 0.00043410576867553057
Position 4611: 0.00042867457465229275
Position 441: 0.00041111436245523176
Position 6957: 0.00040318490726116095
Position 195: 0.00039341042268655136
Position 508: 0.0003853356562892928
