Gene = Nhej1
index = 746
Annotated 5SS: [  139  1331 77845 78471]
Annotated 3SS: [ 1271 77726 78363 78870]
SMsplice 5SS: [  139 69191 77845 78471]
SMsplice 3SS: [69085 77694 78363 78870]
top_k =  1000
Partition function (log Z): -41.55467724231199

Sorted 5' Splice Sites (High to Low Probability):
Position 139: 0.9777742009224648
Position 1331: 0.45647285529943354
Position 7999: 0.30105389286999656
Position 1595: 0.10058192741541398
Position 7742: 0.06575944214385174
Position 13607: 0.05688317065513467
Position 11127: 0.04437961641985664
Position 4918: 0.03458859894834367
Position 1553: 0.02250250541191112
Position 2201: 0.021888552862335434
Position 1336: 0.020048063870425833
Position 1515: 0.009105243180093689
Position 342: 0.008070118096716063
Position 8506: 0.0071486615642255774
Position 1494: 0.006801348398360548
Position 165: 0.006664878952514773
Position 949: 0.003260778075718027
Position 8599: 0.0028068670560623264
Position 57: 0.0015190649866342585
Position 5036: 0.0015056624502638534
Position 2967: 0.0012249313044481749
Position 1213: 0.0011987612178162447
Position 246: 0.0011376485001065263
Position 2973: 0.0007493779128053417
Position 2995: 0.00068163040251555
Position 1560: 0.0006098438601301685
Position 1521: 0.0004928606504481319
Position 3421: 0.00031757037810624866
Position 4960: 0.0003032158244032768
Position 33: 0.0002440879894424961
Position 118: 0.00022274183464140594
Position 356: 0.0002048358678405775
Position 1481: 0.00011711957457268412
Position 997: 9.809205781547648e-05
Position 379: 9.361518644184309e-05
Position 126: 8.189393375105312e-05
Position 409: 7.704569482042479e-05
Position 4378: 6.628980630769382e-05
Position 391: 6.612990721232115e-05
Position 1272: 5.740287160814655e-05
Position 31: 5.291112388860047e-05
Position 5251: 5.2879450479114975e-05
Position 3590: 5.2695346293513975e-05
Position 180: 4.962255351798493e-05
Position 1345: 3.983478968712906e-05
Position 172: 3.46510028150567e-05
Position 1318: 2.5384410204535774e-05
Position 205: 2.3295683498541294e-05
Position 242: 2.3049435528033406e-05
Position 280: 2.2486424800020516e-05
Position 1411: 1.9596932470293373e-05
Position 234: 1.7638383412979618e-05
Position 303: 1.4197133472662713e-05
Position 1506: 1.3692240548166739e-05
Position 251: 1.1187910565553337e-05
Position 1020: 9.720877868663058e-06
Position 1342: 5.396333706524127e-06
Position 2572: 4.88752164859975e-06
Position 470: 4.822677093500376e-06
Position 1093: 4.2936580459314595e-06
Position 1219: 3.6228915017882947e-06
Position 1165: 3.270778301137483e-06
Position 52: 2.931000793694659e-06
Position 555: 1.8900236977073428e-06
Position 1423: 1.6816241461260674e-06
Position 1038: 1.6706739010152784e-06
Position 311: 1.6592865624543583e-06
Position 888: 1.6575219373216712e-06
Position 905: 1.4795231836047423e-06
Position 925: 1.464639913906068e-06
Position 603: 1.3795577620215472e-06
Position 1448: 1.3475964552743565e-06
Position 1472: 1.1382118210567755e-06
Position 698: 1.1240746371986686e-06
Position 1462: 1.1000995981710908e-06
Position 1083: 9.973332742396715e-07
Position 1485: 9.204466196959902e-07
Position 915: 8.890759694618482e-07
Position 423: 8.208060410547369e-07
Position 746: 7.81525738216671e-07
Position 794: 6.930735154704519e-07
Position 1006: 6.345832123866505e-07
Position 564: 3.741407358077332e-07
Position 225: 3.11417694779982e-07
Position 651: 2.953926937099487e-07
Position 1159: 2.9486210619207584e-07
Position 612: 2.7943397984992894e-07
Position 1100: 2.7661234388004284e-07
Position 659: 2.5763538164230116e-07
Position 842: 2.5392798945414975e-07
Position 508: 2.482013121858105e-07
Position 707: 2.4805918467864996e-07
Position 516: 2.073311236893842e-07
Position 755: 1.4381686772390746e-07
Position 1113: 1.4504018305977483e-08
Position 1036: 6.411041945904049e-09
Position 1041: 5.8187520481756054e-09
Position 803: 7.401197488026863e-11
Position 881: 5.717792777593199e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1271: 0.4360040186582809
Position 7910: 0.2952811486145553
Position 16215: 0.20496731241030494
Position 1410: 0.1249841134370178
Position 7466: 0.11853750231162716
Position 13501: 0.10932673364972016
Position 8661: 0.09766857487108842
Position 11716: 0.06457314582447175
Position 1190: 0.06124751181563649
Position 7659: 0.046511562351300634
Position 9875: 0.04378768566230685
Position 13662: 0.04158696844806959
Position 11009: 0.03795693678837593
Position 11891: 0.033238692782963465
Position 7601: 0.02718551932944447
