Gene = Hrc
index = 546
Annotated 5SS: [2085 2242 2666 2919 3436]
Annotated 3SS: [2170 2596 2863 3398 3590]
SMsplice 5SS: [ 336 2364 2666 2919 3507]
SMsplice 3SS: [2170 2596 2863 3398 3590]
top_k =  1000
Partition function (log Z): -2.811920265996121

Sorted 5' Splice Sites (High to Low Probability):
Position 2666: 0.7376624807379693
Position 2919: 0.7226722514197483
Position 336: 0.7017557761703447
Position 2364: 0.5212250216623034
Position 2085: 0.42801079992554375
Position 3507: 0.4019777440251983
Position 2242: 0.39879308873584224
Position 109: 0.27672899654316013
Position 1337: 0.19027130747187382
Position 588: 0.15578646505091334
Position 412: 0.13857097629778398
Position 945: 0.10947716324888646
Position 1889: 0.06831996472869434
Position 3436: 0.0560880300737873
Position 3210: 0.03543304108167467
Position 716: 0.02950105282686102
Position 954: 0.027655276468057505
Position 1409: 0.025692980291904075
Position 1707: 0.025586431988174594
Position 2350: 0.014125020294709016
Position 1392: 0.012522201484817023
Position 1208: 0.010755636217218967
Position 2106: 0.00999479330882447
Position 428: 0.007923501786919232
Position 1761: 0.007337710492911578
Position 683: 0.006630839347923106
Position 3128: 0.005000326554337525
Position 3107: 0.004765461700429721
Position 2246: 0.004478338820792534
Position 2328: 0.004134200203927778
Position 2356: 0.0037052159953387663
Position 677: 0.0036338923877986835
Position 1420: 0.0035843839075421213
Position 2696: 0.0028130996326104244
Position 366: 0.002792397107218228
Position 3145: 0.002391833156004277
Position 3185: 0.0017283000448215272
Position 2472: 0.0016227198781997014
Position 2039: 0.00152227946522787
Position 2894: 0.0013274003546232252
Position 723: 0.00121347258584253
Position 2280: 0.0011872588429408285
Position 2052: 0.0011502858499264177
Position 3116: 0.0010469984434515998
Position 212: 0.0009886913998478181
Position 1127: 0.0008908518408883545
Position 2389: 0.00087159708153327
Position 237: 0.0007993370579092341
Position 1105: 0.0007294122292342916
Position 2073: 0.000712689266565943
Position 168: 0.0005726116699436578
Position 131: 0.000566447079315285
Position 455: 0.0005126062243301119
Position 2973: 0.00040910471503468666
Position 200: 0.00038833091135944965
Position 3050: 0.0003784560508409545
Position 813: 0.00032698566883847805
Position 3537: 0.00031945676010897796
Position 223: 0.0002994949583364842
Position 592: 0.0002972456811295747
Position 2411: 0.0002970606985984349
Position 2397: 0.0002861359007302531
Position 908: 0.00024144408434624985
Position 3084: 0.00020263268235031938
Position 581: 0.0001917291945522351
Position 3150: 0.0001909421250748744
Position 1360: 0.0001873685609775236
Position 1398: 0.00018543168493870504
Position 3229: 0.00017222771364124896
Position 3496: 0.00017079410313749387
Position 3511: 0.00016742426533563313
Position 157: 0.00015693396596343502
Position 792: 0.00015135034428853469
Position 3440: 0.00012129226013755202
Position 57: 0.00012004592456085362
Position 3100: 0.00010096097849894864
