Gene = Ube2cbp
index = 1157
Annotated 5SS: [  210 13137 16188 24365 29667 37583 39689 42110 92610]
Annotated 3SS: [ 12939  16096  24195  29596  37512  39579  41945  92470 157073]
SMsplice 5SS: [   210   1445  13137  16188  17252  17405  19380  24365  24537  29667
  39689  42110  50440  73003  92610 129514 144662 150719]
SMsplice 3SS: [  1368  12939  16096  17101  17322  19257  24195  24453  29596  39579
  41945  50296  72944  92470 129429 144570 150629 157073]
top_k =  1000
Partition function (log Z): -52.568612343572056

Sorted 5' Splice Sites (High to Low Probability):
Position 1445: 0.9992445871427643
Position 24365: 0.9980484000345673
Position 16188: 0.981548077949693
Position 210: 0.9048661941381229
Position 39689: 0.8912227216076188
Position 17252: 0.7890893009962787
Position 42110: 0.7845954757187723
Position 29667: 0.7637856610897004
Position 15046: 0.6126310190013352
Position 19380: 0.595715792493559
Position 13137: 0.5724235614721941
Position 17405: 0.5511197713419245
Position 24537: 0.5264200161137107
Position 20374: 0.4300489714899496
Position 35516: 0.41847149250360527
Position 25009: 0.2868167337305913
Position 16854: 0.2782839976821646
Position 16806: 0.2631554990173322
Position 37583: 0.25576304473044503
Position 31431: 0.23086287840442937
Position 29639: 0.22498509407017275
Position 17492: 0.1489671465403575
Position 18519: 0.13883497574702422
Position 21844: 0.11348282085261104
Position 21792: 0.10372547780062445
Position 23601: 0.09026833323425933
Position 17782: 0.08327133450787959
Position 39663: 0.07894123321355422
Position 22428: 0.06729349711279277
Position 25883: 0.06698376999330455
Position 37539: 0.04926516657580428
Position 228: 0.039684860767657176
Position 19591: 0.038537198565647704
Position 20340: 0.03074418050291348
Position 17711: 0.029754459852139207
Position 21850: 0.028473126262983733
Position 25890: 0.028111461709012162
Position 42430: 0.0279343499446007
Position 191: 0.015812096042219417
Position 28163: 0.013888188985161167
Position 26236: 0.012459013215822063
Position 24598: 0.012277654897057145
Position 21510: 0.011291155245268273
Position 26586: 0.011195242444843306
Position 25265: 0.009846264941938073
Position 18272: 0.009776451549726043
Position 481: 0.009173350687509596
Position 32595: 0.009044445935404337
Position 16708: 0.007941511792491057
Position 28199: 0.006385913439340463
Position 17132: 0.005950729432643449
Position 16941: 0.005897830721330966
Position 24789: 0.005828352131883081
Position 25837: 0.005746170246591994
Position 22034: 0.005496856825924274
Position 30242: 0.005257829044114694
Position 25733: 0.00483704562200138
Position 6547: 0.003706124668806171
Position 17206: 0.0033010748329161737
Position 365: 0.003028588545483558
Position 172: 0.0029222350239136697
Position 359: 0.0029097602103510486
Position 114: 0.0028062621387255336
Position 274: 0.0026895414603595523
Position 345: 0.002655162819893559
Position 18316: 0.0026507497547009905
Position 40350: 0.0024988962102402037
Position 22581: 0.0022956187816504064
Position 30626: 0.0021671656231540236
Position 30290: 0.0021247543478808005
Position 29737: 0.0020499457304477713
Position 25531: 0.0019258514214329058
Position 35715: 0.001902724210135448
Position 30565: 0.0018593413787037663
Position 92: 0.0016908777902901486
Position 505: 0.0015508101114683488
Position 86: 0.001517955198351249
Position 26217: 0.001121440168730906
Position 80: 0.0010935322412434611
Position 282: 0.001073386854620118
Position 883: 0.0009703137286511087
Position 521: 0.0008893049500965661
