Gene = A330070K13Rik
index = 77
Annotated 5SS: [ 215 3447]
Annotated 3SS: [3304 5504]
SMsplice 5SS: [215]
SMsplice 3SS: [2316]
top_k =  1000
Partition function (log Z): -10.711953602066833

Sorted 5' Splice Sites (High to Low Probability):
Position 215: 0.6101185332856419
Position 3447: 0.4461104851767686
Position 286: 0.16651440668465042
Position 107: 0.11107070031359721
Position 2406: 0.10201318151326391
Position 2412: 0.09260844838921402
Position 193: 0.07355378077194394
Position 1098: 0.03845035646912058
Position 5607: 0.01708156831752223
Position 2845: 0.01410075264241894
Position 5422: 0.013721138811789728
Position 5410: 0.009015476976184432
Position 1082: 0.005508770674144806
Position 4015: 0.00534968939442663
Position 174: 0.004632204450990858
Position 334: 0.004250235911863908
Position 2087: 0.003624798645396351
Position 5173: 0.0034722211437701986
Position 1553: 0.0027491245142568
Position 1670: 0.0025624041915449287
Position 2451: 0.001659463449386309
Position 5100: 0.0016419591692220425
Position 3676: 0.0015998584003745963
Position 1376: 0.0015104556334691913
Position 1935: 0.0013634716292869166
Position 5603: 0.0005859438956403169
Position 3469: 0.0004869954052111445
Position 219: 0.0003404730502259415
Position 227: 0.0003242877182332095
Position 1992: 0.0003065669510807258
Position 2208: 0.000275852083619671
Position 3294: 0.0002306630242085938
Position 3165: 0.00022600424701229918
Position 5616: 0.00020164188641088235
Position 157: 0.00016440283659157717
Position 3413: 0.00016113250399248872
Position 1748: 0.0001449065381748943
Position 849: 0.00013830898918025584
Position 1999: 0.00012745319925420922
Position 239: 0.00011381424651254118
Position 101: 9.238533695892214e-05
Position 1079: 8.654127045159261e-05
Position 1699: 8.07744413824653e-05
Position 594: 7.894310178752606e-05
Position 146: 7.595366017102427e-05
Position 854: 6.735838530293515e-05
Position 1796: 6.560328404342471e-05
Position 2320: 5.4672251224165204e-05
Position 2398: 4.4683205841843366e-05
Position 385: 3.932366070816042e-05
Position 804: 3.111205167145421e-05
Position 1350: 1.7148593221571125e-05
Position 813: 1.674277757337368e-05
Position 1653: 1.6495495062167107e-05
Position 150: 1.645734809737243e-05
Position 768: 1.6258061453799466e-05
Position 354: 1.5255839901576342e-05
Position 1178: 1.4708139336197459e-05
Position 910: 1.4158435935662208e-05
Position 550: 1.402435616641255e-05
