Gene = Mei4
index = 669
Annotated 5SS: [   248  26698  63964 115588]
Annotated 3SS: [ 26451  63427 115455 161848]
SMsplice 5SS: [   248   5975  28003  35701  71823  86908  90806 101676 115588 133356
 144540 145496 153283]
SMsplice 3SS: [  5842  27908  35565  71733  86733  90647 101451 115482 133259 144407
 145331 153117 161848]
top_k =  1000
Partition function (log Z): -76.48025546503818

Sorted 5' Splice Sites (High to Low Probability):
Position 248: 0.9172248112043742
Position 5975: 0.7447731760206056
Position 9706: 0.30638718703719114
Position 1882: 0.2435138138401914
Position 6202: 0.21116903717609053
Position 6216: 0.12560506930147639
Position 11802: 0.12182439038185354
Position 6186: 0.09171308272719131
Position 12361: 0.06188293071799881
Position 6440: 0.05756471530526421
Position 8396: 0.05371519004871991
Position 4261: 0.0426834793956831
Position 208: 0.042508212432136296
Position 13156: 0.02840625734222605
Position 1736: 0.02595195692813613
Position 4277: 0.024978166322465353
Position 8552: 0.024163390395317907
Position 6048: 0.02046316020673897
Position 9259: 0.018087895570304532
Position 1055: 0.017071520108723554
Position 8356: 0.014139182230436757
Position 9482: 0.011655462680314779
Position 572: 0.00855448992213522
Position 1732: 0.008041031371281919
Position 3426: 0.0076627550422512765
Position 2415: 0.00765709619443122
Position 528: 0.006928863949288083
Position 677: 0.00626941179910427
Position 688: 0.0055587506518714495
Position 293: 0.0054470382657298005
Position 5516: 0.004801042469290577
Position 9447: 0.004641739875237507
Position 8457: 0.004257575516449486
Position 12517: 0.004154902492987275
Position 5308: 0.00361492956225871
Position 11395: 0.0029410462216570106
Position 3256: 0.0027899054913363116
Position 563: 0.002330241067938038
Position 7039: 0.0021362187783680524
Position 610: 0.0018628087585749091
Position 4754: 0.0016453677732354763
Position 6524: 0.0015530526874401895
Position 683: 0.0014565836040364823
Position 347: 0.0013252690213798682
Position 2977: 0.0011576782282539816
Position 8598: 0.0011224529138631858
Position 5022: 0.0009910158586615815
Position 4759: 0.0009247316099562453
Position 395: 0.0008658150008162044
Position 708: 0.0008066675328761591
