Gene = Colca2
index = 283
Annotated 5SS: [ 221  974 4689 6242]
Annotated 3SS: [ 878 4633 6011 7643]
SMsplice 5SS: [ 230  974 4689]
SMsplice 3SS: [ 878 4633 6011]
top_k =  1000
Partition function (log Z): -3.5871212024180172

Sorted 5' Splice Sites (High to Low Probability):
Position 974: 0.9876031454637704
Position 230: 0.8498836116356241
Position 4689: 0.601829750830059
Position 6242: 0.43622186397615087
Position 7346: 0.21405206009228597
Position 1753: 0.14664827426740168
Position 3788: 0.13484030895434226
Position 3938: 0.13070613805489645
Position 2273: 0.09287567262576413
Position 221: 0.07895954447857342
Position 5113: 0.0764854572898749
Position 4814: 0.06368384806754722
Position 143: 0.05203309271153297
Position 420: 0.04201708381365329
Position 3755: 0.03507603067534234
Position 1597: 0.021631925692757882
Position 554: 0.020063474097797348
Position 4225: 0.016804134596287955
Position 7361: 0.01639020871407362
Position 4453: 0.013992659235313959
Position 331: 0.009867358847424894
Position 3635: 0.008477139481524985
Position 772: 0.007208361784656739
Position 7297: 0.006997116207260902
Position 6290: 0.006701225451263275
Position 1452: 0.006508478752855506
Position 2869: 0.0059831727037362665
Position 674: 0.0055880213896224535
Position 4221: 0.0048840687266492174
Position 425: 0.004588282913873476
Position 5196: 0.00425912571092855
Position 5604: 0.004239195177526755
Position 7399: 0.003908878278118005
Position 1245: 0.0037852169872822756
Position 1583: 0.0036607137371142576
Position 2840: 0.003222127253866613
Position 497: 0.0027585255741124637
Position 6325: 0.002700867904805354
Position 678: 0.0021969432304606985
Position 4353: 0.002132318333036775
Position 4269: 0.0019733243826603806
Position 6212: 0.001714832669584779
Position 3078: 0.0014903848547379573
Position 91: 0.0012674444790611386
Position 6127: 0.0009060096514271109
Position 790: 0.0005687110657148559
Position 376: 0.00013447754572748496
Position 2998: 0.00013192491666044284
Position 4580: 0.00012132163106844315
Position 4693: 0.00011189416042286321
Position 1593: 0.00010945790041423501
Position 1111: 9.21952855843444e-05
Position 118: 8.841677107068403e-05
Position 559: 7.992622487661518e-05
Position 1575: 6.917289244609286e-05
Position 1518: 5.45984595194597e-05
Position 690: 5.3907211876193555e-05
Position 225: 5.295493778930775e-05
Position 334: 5.199234045968123e-05
Position 234: 5.05155326003765e-05
Position 1493: 4.4461704507393944e-05
Position 1607: 4.408812398963468e-05
Position 1603: 4.297584779404157e-05
Position 2124: 4.2378399107044444e-05
Position 821: 4.099772064706955e-05
Position 890: 3.074929808758528e-05
Position 646: 2.995522952638191e-05
Position 2609: 2.5797769631280758e-05
Position 1952: 2.419260709845497e-05
Position 616: 2.0056643550887716e-05
Position 1762: 1.554623617919344e-05
Position 1024: 1.553120082730094e-05
