Gene = Srd5a3
index = 1024
Annotated 5SS: [  278  7558  8968  9680 13388]
Annotated 3SS: [ 7414  8931  9481 13252 14251]
SMsplice 5SS: [  278  7558  8968  9680 10807 14301]
SMsplice 3SS: [ 7414  8931  9481 10686 14251 14513]
top_k =  1000
Partition function (log Z): 3.0830668954500413

Sorted 5' Splice Sites (High to Low Probability):
Position 278: 0.9831993504784305
Position 8968: 0.9596001009846601
Position 9680: 0.8541628486661271
Position 10807: 0.7774505268601856
Position 14301: 0.6807680393140997
Position 7558: 0.6063192034025062
Position 598: 0.5586467974500434
Position 12303: 0.5452478236030562
Position 13388: 0.44743167345817797
Position 9219: 0.3812192695154244
Position 13035: 0.3786480929542075
Position 12479: 0.36899556803955663
Position 7630: 0.3366292382287086
Position 4151: 0.1758522962317333
Position 14400: 0.15301445322016477
Position 10032: 0.09049395878333036
Position 1944: 0.06912884284847684
Position 619: 0.06204939303915281
Position 1333: 0.0584426489366068
Position 2133: 0.05729963625558165
Position 10600: 0.047980107460907945
Position 1358: 0.04669886709506447
Position 3725: 0.04221415672843386
Position 14539: 0.04115089956124438
Position 6490: 0.03863895234240807
Position 1472: 0.033546758715677735
Position 13393: 0.03276824083530655
Position 13181: 0.03197684054234962
Position 13686: 0.029336355031489642
Position 9920: 0.026131613237741037
Position 7272: 0.02268519330902164
Position 2943: 0.020262464558847684
Position 1078: 0.019997522387673262
Position 9404: 0.018424155726882042
Position 9230: 0.01759940447050846
Position 653: 0.017047250351943842
Position 1462: 0.016605353726436567
Position 9565: 0.013688045898969025
Position 333: 0.013650356445970582
Position 4570: 0.012861061300264303
Position 4872: 0.011255399178509411
Position 9696: 0.010980575682474594
Position 4614: 0.010091834685706774
Position 713: 0.009992712174861775
Position 1034: 0.0098888886541291
Position 687: 0.009659611838401588
Position 2740: 0.009209485131710802
Position 7838: 0.009143519769682923
Position 7658: 0.008752304426025882
Position 549: 0.007843209064835426
Position 14741: 0.007189119127223204
Position 1823: 0.007164818301689109
Position 4: 0.00709147722931688
Position 661: 0.006515951981608376
Position 1596: 0.006481252910458007
Position 10246: 0.005751165651465712
Position 5031: 0.005733278248453906
Position 7776: 0.004986964129894542
Position 8189: 0.00459962424629155
Position 12771: 0.0038743557056990126
Position 10617: 0.0038672842524829585
Position 14295: 0.003377639032350697
Position 13825: 0.0032649626736220537
Position 3340: 0.002641966192973974
Position 2878: 0.002481724347213979
Position 9730: 0.0023687067782941574
Position 12986: 0.0021087426424195193
Position 14525: 0.002066319586731558
Position 13819: 0.00205593206258195
Position 65: 0.002020493166846048
Position 542: 0.0018861716790944895
Position 10898: 0.0018736438107682628
Position 2457: 0.001808910764614966
Position 14395: 0.0016792164059600007
