Gene = Gtf2a2
index = 524
Annotated 5SS: [ 112 2861 4374 6966]
Annotated 3SS: [2741 4268 6838 9886]
SMsplice 5SS: [ 112 2861 4374 6966]
SMsplice 3SS: [2741 4237 6838 9886]
top_k =  1000
Partition function (log Z): -4.638515538368642

Sorted 5' Splice Sites (High to Low Probability):
Position 112: 0.9476233444184186
Position 6966: 0.8699787355308984
Position 2861: 0.7606561101139019
Position 4374: 0.6329978297213248
Position 4642: 0.495544600678777
Position 2466: 0.35195222867490855
Position 4424: 0.23889267538683412
Position 3388: 0.20447620034143288
Position 6269: 0.12170240231862177
Position 681: 0.10430533359502975
Position 7994: 0.1033890245410138
Position 1420: 0.06329688087547752
Position 8798: 0.051634549979803934
Position 4457: 0.042750044191433745
Position 6960: 0.02691502292385498
Position 2473: 0.02427210339153301
Position 774: 0.020979826571141856
Position 8780: 0.020914549939254932
Position 9241: 0.020191398891587605
Position 579: 0.016574273008555684
Position 1569: 0.014812964843245228
Position 2456: 0.011847643065839917
Position 6563: 0.011375546048227565
Position 160: 0.00992045094786664
Position 7148: 0.008441683551323223
Position 8052: 0.008136400441535338
Position 5136: 0.007139989192266646
Position 403: 0.006205946107902934
Position 4702: 0.0061502288778906246
Position 6911: 0.005795776992717672
Position 310: 0.005701402833411425
Position 599: 0.005515098401341827
Position 5974: 0.005198131899217328
Position 3293: 0.00379021557785237
Position 3776: 0.003654733533288393
Position 6687: 0.0032935295658905674
Position 397: 0.003224376240664781
Position 2583: 0.0029792408405884072
Position 3239: 0.002780896747184183
Position 7729: 0.002768131870163927
Position 9245: 0.0023824383159473618
Position 3361: 0.0022660315520029077
Position 1330: 0.0018638790134498967
Position 2428: 0.0015032125592080408
Position 8548: 0.001482345970225266
Position 50: 0.001131411449829737
Position 572: 0.0009683805873029449
Position 1942: 0.0008864533615211102
Position 5119: 0.0008781585609691101
Position 609: 0.000870266243354354
Position 2889: 0.0008541214481585003
Position 1043: 0.0008003766972992068
Position 3194: 0.0007844621267148108
Position 699: 0.0007775228695346622
Position 391: 0.000669246830656054
Position 6438: 0.0006549904553011053
Position 9642: 0.0006234983646952201
