Gene = G0s2
index = 419
Annotated 5SS: [229]
Annotated 3SS: [414]
SMsplice 5SS: [229]
SMsplice 3SS: [414]
top_k =  1000
Partition function (log Z): -7.880865635341514

Sorted 5' Splice Sites (High to Low Probability):
Position 229: 0.9817345531942818
Position 256: 0.009236802705820652
Position 200: 0.005783860792182333
Position 798: 0.0036487654757061116
Position 49: 0.0020947987708624253
Position 552: 0.0020108223781929156
Position 578: 0.001798650834296362
Position 319: 0.0006969699492423258
Position 524: 0.00045322664682203505
Position 828: 0.00031871699347309044
Position 512: 0.0002337890363300028
Position 760: 0.00018302799775270242
Position 310: 0.00017503083864636336
Position 651: 0.00014852424337788228
Position 117: 0.00014046963312894066
Position 569: 0.00011662221401185205
Position 534: 0.00010288949604536953
Position 557: 7.86197022192682e-05
Position 450: 7.362879977509833e-05
Position 166: 4.624823643865068e-05
Position 342: 4.1331298111779567e-05
Position 33: 2.6016306469991928e-05
Position 119: 1.800640114794811e-05
Position 536: 1.6367526567021016e-05
Position 349: 1.3960915402292582e-05
Position 340: 9.676078758591056e-06
Position 649: 6.2041674176626395e-06
Position 632: 6.094142272381269e-06
Position 92: 5.4172510423187985e-06
Position 452: 5.324017759230857e-06
Position 661: 4.315621778162405e-06
Position 554: 2.716060231086563e-06
Position 629: 2.2206008685812875e-06
Position 715: 1.2840863145455267e-06
Position 606: 1.2058101957956053e-06
Position 580: 1.1648990400321195e-06
Position 730: 3.248841057500606e-07
Position 356: 1.6378365600129918e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 414: 0.9107334497812013
Position 347: 0.05506705136971253
Position 596: 0.00882497515936855
Position 920: 0.006569699384267994
Position 827: 0.0037409083261039817
Position 478: 0.0037113480803065463
Position 742: 0.0034965303160501395
Position 569: 0.0030277362878268913
Position 430: 0.002887608601972921
Position 898: 0.0025689563513137084
Position 603: 0.0016418920372946887
Position 420: 0.001084628950535906
Position 676: 0.0006497952848816625
Position 435: 0.0005510656188012236
Position 534: 0.0005164821578308407
Position 689: 0.0005053050678333679
Position 859: 0.00042249873346652145
Position 481: 0.0003659477494295505
Position 131: 0.0003451677777144645
Position 228: 0.00021306524422145292
Position 720: 0.00017871290109280257
Position 136: 0.00015683605579834334
Position 620: 0.00014588259939643023
Position 437: 0.00014334017297921477
Position 585: 0.00013335716455684877
Position 755: 0.0001275553989323623
Position 770: 0.00012516784324744743
Position 843: 0.00010983791362680526
Position 958: 0.00010870889944271798
Position 457: 0.00010422237999293726
Position 574: 9.09715411393738e-05
Position 629: 8.162453477724698e-05
Position 310: 7.840887330161097e-05
Position 442: 6.63326824776893e-05
Position 808: 5.776235608629158e-05
Position 622: 5.6446766747050584e-05
Position 797: 4.884563192216089e-05
Position 139: 4.794683848830556e-05
Position 673: 4.678086285289072e-05
Position 658: 4.470994322461005e-05
Position 319: 3.996030917441121e-05
Position 697: 3.7311984285666294e-05
Position 661: 3.311336855554828e-05
Position 493: 2.9499619403138616e-05
Position 983: 2.7819529592290095e-05
Position 196: 2.6438920497096376e-05
Position 869: 1.952454063701222e-05
Position 503: 1.7884894185669845e-05
Position 99: 1.7675203249094935e-05
Position 775: 1.3921136306225839e-05
Position 785: 1.072307053506826e-05
Position 133: 9.038529586140131e-06
Position 496: 8.916334700015291e-06
Position 692: 8.164408905823515e-06
Position 460: 6.554708674679067e-06
Position 287: 6.515983751873419e-06
Position 703: 6.0222243925764755e-06
Position 960: 5.537457435011193e-06
Position 963: 4.762367908028324e-06
Position 966: 4.345013596866964e-06
Position 512: 4.255645481799698e-06
Position 326: 4.020792499885963e-06
Position 508: 2.505644482514113e-06
Position 810: 2.4156178022463326e-06
Position 938: 2.129528756729196e-06
Position 450: 1.8987580778108636e-06
Position 200: 1.8900791210117467e-06
Position 323: 1.4408212014062304e-06
Position 772: 1.3034004319981687e-06
Position 779: 8.752781814341284e-07
Position 517: 6.280306404795359e-07
Position 647: 6.268991753226776e-07
Position 109: 5.284004188777272e-07
Position 706: 4.259560907891939e-07
Position 637: 3.777339490794094e-07
Position 144: 3.648031526693754e-07
Position 177: 2.6242037095095485e-07
Position 162: 1.312051201479319e-07
Position 152: 1.1662009579366948e-07
Position 166: 6.531700875420603e-08
Position 101: 3.651262028897017e-08
Position 117: 3.483039386108439e-08
Position 149: 1.572339997101535e-08
Position 240: 3.239067266805543e-09
Position 233: 1.279271394677947e-09
Position 254: 2.285617031382806e-10
Position 266: 6.121814024151784e-11
Position 273: 5.677725355127433e-11
Position 264: 4.091449786791927e-11
