Gene = Hinfp
index = 539
Annotated 5SS: [  56 3262 6109 6459 6799 7338 7548 7773 7979]
Annotated 3SS: [3083 5878 6346 6645 7259 7426 7633 7853 9090]
SMsplice 5SS: [ 537 3084 6109 6459 7338 7548 7773 7979]
SMsplice 3SS: [2898 5904 6319 7259 7426 7633 7853 9090]
top_k =  1000
Partition function (log Z): 14.293629779393408

Sorted 5' Splice Sites (High to Low Probability):
Position 7548: 0.9954354093919289
Position 7338: 0.9881358433184042
Position 7979: 0.9542617763955171
Position 6459: 0.8903163676579209
Position 6109: 0.827272718831963
Position 3084: 0.7591302240121134
Position 7773: 0.7262038744553775
Position 9491: 0.6295746729036497
Position 9136: 0.5599663712612744
Position 537: 0.5426240282450973
Position 9288: 0.3362119623212295
Position 6799: 0.3132377077193476
Position 3262: 0.30540402138320344
Position 7777: 0.2469671596301877
Position 4324: 0.213974403756022
Position 56: 0.20980862689518687
Position 400: 0.17539360813265184
Position 890: 0.16017867321310214
Position 7100: 0.14088589236582869
Position 6218: 0.06599742710637978
Position 145: 0.05447766636259942
Position 10218: 0.05235161948462791
Position 6850: 0.04277632122060585
Position 9751: 0.04001488176142885
Position 6714: 0.037840972044278935
Position 1410: 0.03670387288710529
Position 2669: 0.028803989597030764
Position 9872: 0.02824738227019506
Position 7130: 0.025934037328081534
Position 5077: 0.02422144908587649
Position 10320: 0.024052703916542042
Position 3338: 0.023329833926091604
Position 3142: 0.020643105777467936
Position 152: 0.02050096768780327
Position 10279: 0.019226644623517496
Position 10830: 0.0173527152461082
Position 19: 0.01716381967174864
Position 6862: 0.016309741735533977
Position 2102: 0.015640228615003228
Position 7018: 0.015514214985796916
Position 2739: 0.01054711417298996
Position 7697: 0.008711929652170356
Position 880: 0.008268850880127441
Position 396: 0.007066634640275332
Position 7730: 0.007030833738282951
Position 8697: 0.006269494367795698
Position 4626: 0.00617003751023321
Position 9091: 0.005896293059908134
Position 8714: 0.005753409520844646
Position 2732: 0.00571578971807696
Position 10554: 0.005625174574034119
Position 1437: 0.004780474800566678
Position 1374: 0.003814158271452112
Position 5668: 0.0036055610796329783
Position 4339: 0.0031624866456516497
Position 5781: 0.002832018744984145
Position 3290: 0.0027616274038143153
Position 3004: 0.0026794882863343094
Position 878: 0.0026547845594919375
Position 6673: 0.0023454761386149142
Position 1402: 0.0021771901722269357
Position 10477: 0.0021418677426365625
Position 7818: 0.0019527039721919286
Position 7871: 0.001877994741536993
Position 9690: 0.001825422298421613
Position 5329: 0.00171673771203748
