Gene = Mgarp
index = 677
Annotated 5SS: [ 122 4724 5323]
Annotated 3SS: [4619 5228 7224]
SMsplice 5SS: [ 122 4724 5323]
SMsplice 3SS: [4619 5228 7224]
top_k =  1000
Partition function (log Z): -7.215893536136477

Sorted 5' Splice Sites (High to Low Probability):
Position 122: 0.9701858973672206
Position 4724: 0.8188588745882099
Position 5323: 0.7267253601640301
Position 483: 0.07190049781584835
Position 516: 0.06511830420265434
Position 2282: 0.05812015687295874
Position 4531: 0.026036841933944736
Position 600: 0.024983113150600287
Position 6161: 0.020718902193682023
Position 2576: 0.017543696909144472
Position 6214: 0.015262015393342784
Position 4695: 0.01075045075960107
Position 467: 0.010599248412600895
Position 4703: 0.01038168362618138
Position 613: 0.009705820872615718
Position 1569: 0.009273139627736423
Position 5126: 0.008949361106498263
Position 195: 0.008565846326528443
Position 6977: 0.007629773921795125
Position 4691: 0.007412566701913794
Position 4557: 0.006406056394673804
Position 7104: 0.005944448541832262
Position 672: 0.005717978613576916
Position 755: 0.004915952698277395
Position 4890: 0.004317772504964227
Position 4874: 0.003948253928470879
Position 6971: 0.003217244488114319
Position 1971: 0.0030339755983306987
Position 4515: 0.0019585423677496608
Position 2275: 0.0019378610549046964
Position 5011: 0.0018505697039150784
Position 2884: 0.0016308999895603051
Position 556: 0.001618959468805416
Position 325: 0.0016032369923695575
Position 4845: 0.0012785615646454058
Position 4970: 0.0011387256790897833
Position 5328: 0.0010373201634042678
Position 747: 0.0008645478457924527
Position 6000: 0.00084988179303413
Position 4125: 0.0006421579763472449
Position 649: 0.0005532108907826188
Position 6300: 0.0004894308342506805
Position 1896: 0.0004501872510044053
Position 1917: 0.00044964358018790564
Position 2678: 0.00039200979744173176
Position 4982: 0.00032565726852964647
Position 7305: 0.00031358221652255636
Position 5632: 0.0002680467570920943
Position 7648: 0.0002160245938314395
Position 7494: 0.00019480168550510256
Position 98: 0.00010108003219083463
Position 5693: 9.192107524429185e-05
Position 1132: 4.083581845024779e-05
Position 534: 3.767447925827796e-05
Position 4688: 3.75939444581202e-05
Position 42: 3.520285511310398e-05
Position 1096: 2.871065525785397e-05
Position 184: 2.8481385847056095e-05
Position 487: 2.7598875072465233e-05
Position 1410: 2.380005374883285e-05
Position 126: 2.1562573324573988e-05
Position 355: 1.9754620812195858e-05
Position 5995: 1.728370342211244e-05
Position 205: 1.7141916311650594e-05
Position 538: 1.2854386801815567e-05
Position 4728: 1.0745978939680921e-05
Position 1892: 1.0029134276924227e-05
Position 2375: 9.864415388721994e-06
Position 430: 8.825884957391951e-06
Position 1073: 8.152747282595578e-06
Position 147: 6.906243043868914e-06
Position 58: 6.849898208097897e-06
Position 5256: 5.818066936041864e-06
Position 404: 5.7008981319894565e-06
Position 4707: 5.486214935766325e-06
Position 2267: 5.16200065978909e-06
Position 1913: 4.4562416362268e-06
Position 626: 4.2997443221015425e-06
Position 508: 4.1428316038621245e-06
Position 349: 3.738044677205291e-06
Position 128: 3.120137839807593e-06
Position 5621: 2.838173802312158e-06
Position 2771: 2.8049678317499157e-06
Position 60: 2.7096089479366772e-06
Position 5665: 2.1436373146595957e-06
Position 822: 1.9783370312646075e-06
Position 2671: 1.9609271988564426e-06
Position 2152: 1.828532352793434e-06
Position 294: 1.8240358115212332e-06
Position 2211: 1.5951743126561606e-06
Position 2371: 1.583526739165337e-06
Position 1432: 1.5353266893797538e-06
Position 493: 1.2684999341655788e-06
Position 1428: 1.2067770842182335e-06
Position 532: 1.164959919947419e-06
Position 2284: 9.761066429598959e-07
Position 2394: 9.474628860903192e-07
Position 2524: 7.563154583231555e-07
Position 330: 4.043999038583156e-07
Position 2580: 3.803324355885418e-07
Position 300: 3.757945527615596e-07
Position 369: 2.1276539777436022e-07
Position 2539: 2.1105677724590112e-07
Position 422: 2.0521586219466506e-07
Position 5421: 9.605888769057933e-08
Position 453: 9.597830436116865e-08
Position 359: 8.586126172080869e-08
Position 506: 3.368534784226752e-08
Position 380: 2.8935752431431284e-08
Position 498: 2.102733925738934e-08
Position 5738: 7.756172836390859e-09
Position 500: 6.682103920587916e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 4619: 0.740775146317641
Position 5228: 0.6349577583185075
Position 7224: 0.19604746389799266
Position 5910: 0.1704553840713926
Position 5505: 0.10534874921289891
Position 4644: 0.0946235762266331
Position 6796: 0.07936464315350843
Position 5109: 0.07046840038270775
Position 2203: 0.06939249087431999
Position 349: 0.06628142898389738
Position 420: 0.054503508878881224
Position 4963: 0.051504961031503746
Position 6070: 0.04985215210541878
Position 4426: 0.0493251106566752
Position 515: 0.04214462763187863
Position 6122: 0.041931650665244645
Position 7955: 0.032661988551432035
Position 5690: 0.03212215188880284
Position 7376: 0.029551313922836504
Position 2483: 0.028340879219824613
Position 8009: 0.02302375830495542
Position 5575: 0.021483599699669155
Position 4771: 0.018496449055723483
Position 5194: 0.01797681428106437
Position 7347: 0.015712431884406654
Position 6322: 0.014805277716867035
Position 6151: 0.011197665485920199
Position 4818: 0.009691498345151258
Position 5252: 0.009671538701629704
Position 6462: 0.009229367746564935
Position 6808: 0.00872598802304758
Position 6108: 0.007218281752813569
Position 5237: 0.0070154299384622585
Position 2761: 0.006906455533661808
Position 6067: 0.006144025122940339
Position 4568: 0.005297490054311944
Position 6815: 0.004965632113035253
Position 5546: 0.004748317601561356
Position 6584: 0.004109088325954413
Position 6628: 0.003967645589512139
Position 372: 0.003965930723693753
Position 6268: 0.003961045789656805
Position 5349: 0.0036083324734917837
Position 5859: 0.0035642552579438517
Position 7616: 0.003171510096565702
Position 5978: 0.0029429340766764555
Position 453: 0.0028779154220132017
Position 369: 0.002516234011489183
Position 7682: 0.0023326233162599317
Position 5551: 0.002304974232185755
Position 7894: 0.0023036180254934727
Position 5438: 0.0022935889989099015
Position 1356: 0.0022183074210865832
Position 6896: 0.0022098545821642238
Position 1778: 0.001992329863322197
Position 7831: 0.0018846630419952293
Position 7350: 0.0018501696816384985
Position 1470: 0.0018021037193527876
Position 5383: 0.0018006976412168663
Position 6023: 0.0017100332035735958
Position 7853: 0.0016254135143102403
Position 600: 0.0015592989613565599
Position 7389: 0.001556603738004053
Position 2171: 0.0015525865131172972
Position 1361: 0.001473293695227322
Position 6500: 0.0014615956873513453
Position 300: 0.0014517443938628105
Position 8081: 0.0014301017775067504
Position 8125: 0.0013462470595538116
Position 2224: 0.0012822181101375325
Position 1544: 0.0012412427140693807
Position 7622: 0.0012294307865355852
Position 4694: 0.0012134857136634324
Position 7490: 0.0012055435113944113
Position 4263: 0.001090225098888495
Position 1414: 0.0010125820215776413
Position 284: 0.001009938147410564
Position 7308: 0.0009711280212482652
Position 7358: 0.0009608971368512743
Position 5157: 0.0008965133943591198
Position 4870: 0.0008746210828421371
Position 1656: 0.0008672206153796164
Position 5587: 0.0008505972487486177
Position 6051: 0.0008309200599848272
Position 400: 0.0008150897282727037
Position 2724: 0.0008001519337586865
Position 5171: 0.0007797745515662503
Position 2063: 0.0007251620230329695
Position 5150: 0.0007198348460179011
Position 4024: 0.0007145402094519753
Position 5692: 0.0006905384869660485
Position 1409: 0.0006297242114970071
Position 3753: 0.0006292221905164353
Position 7716: 0.0006150511875071686
Position 4592: 0.0005890434223639379
Position 6132: 0.0005482993663706483
Position 6416: 0.0005298784392192178
Position 6174: 0.0005145532022329327
Position 7296: 0.00048486674606554905
Position 1750: 0.00048084959841776406
Position 249: 0.0004676487216059462
Position 422: 0.00046605037728631555
Position 261: 0.0004649572929965058
Position 4433: 0.00046350777878955053
Position 7422: 0.0004620515611278049
Position 7156: 0.000461806639812227
Position 7352: 0.00045733157243181604
Position 464: 0.0004550737848396834
Position 7236: 0.00043859876812136816
Position 325: 0.00043694627395749505
Position 3695: 0.00042476781070149
Position 4512: 0.00042069425123311796
Position 6188: 0.0004056905107907583
Position 5846: 0.0003937832246421167
Position 637: 0.0003474773292187585
Position 1225: 0.00034110227942127624
Position 7570: 0.00032909850211324784
Position 1840: 0.0003228230922438584
Position 1735: 0.0003219691105330246
Position 7097: 0.0003213319118348661
Position 754: 0.0003164488881757168
Position 7549: 0.0002893548142894916
Position 6286: 0.0002869215109355976
Position 7647: 0.00027794323168862825
Position 1450: 0.0002493792655112427
Position 4039: 0.00024792056216577546
Position 5256: 0.0002440866286458218
Position 644: 0.0002188696996656603
Position 1489: 0.00021157862224596921
Position 1390: 0.00021020831049837303
Position 5125: 0.0002040973003593736
Position 6820: 0.00020347833236479272
Position 3931: 0.00019806979827573267
Position 7996: 0.00019138979819084722
Position 3222: 0.0001906545749929602
Position 526: 0.00018930392389736187
Position 6554: 0.00018809459656100795
Position 664: 0.00018032280137087055
Position 2674: 0.00015373825433230752
Position 1970: 0.00014923428477392296
Position 4458: 0.00014876479537479764
Position 2517: 0.0001357743354471033
Position 988: 0.00013520627909173203
Position 211: 0.00013456050530824082
Position 868: 0.00013378687560760205
Position 2960: 0.00012523477128275405
Position 1953: 0.0001233320384417459
Position 5651: 0.00011837373031593922
Position 5605: 0.00011540132860771642
Position 704: 0.00011446329975002937
Position 2133: 0.00011378259306395521
Position 2764: 0.000113565001572572
Position 5612: 0.00011115689258686648
Position 2210: 0.00010842885908778435
Position 5916: 0.00010436244164181833
Position 3428: 9.896138404280376e-05
Position 5577: 9.790688718711505e-05
Position 963: 9.650338970354167e-05
Position 3780: 9.372803443169242e-05
Position 1188: 8.934235775605917e-05
Position 1783: 7.875310513563748e-05
Position 5380: 7.821301405523173e-05
Position 2623: 7.478122074446915e-05
Position 4465: 7.331350169979099e-05
Position 3168: 7.327272227157821e-05
Position 466: 7.036589319827944e-05
Position 1800: 6.996810027942039e-05
Position 2964: 6.278833629366751e-05
Position 472: 5.326705198363442e-05
Position 4372: 5.125718711160789e-05
Position 804: 4.634918320816632e-05
Position 1932: 4.433738201915842e-05
Position 184: 4.374655418663161e-05
Position 1458: 4.12823536834261e-05
Position 2156: 3.627213932983393e-05
Position 1802: 3.5792784377420206e-05
Position 3919: 3.578927909655202e-05
Position 1438: 3.564317036736886e-05
Position 3636: 3.5573106597234654e-05
Position 4016: 3.455332371165373e-05
Position 3897: 3.410179921824173e-05
Position 864: 3.112988744319862e-05
Position 766: 3.0968341027478615e-05
Position 604: 2.9497463022989012e-05
Position 3210: 2.843829323811993e-05
Position 2267: 2.7702015684322046e-05
Position 3178: 2.7121808713182284e-05
Position 3188: 2.392718339943089e-05
Position 3197: 2.3665975633594822e-05
Position 2855: 2.2773412076633003e-05
Position 4443: 2.251459432373224e-05
Position 2770: 2.101446594351471e-05
Position 1061: 1.293183806957243e-05
Position 818: 8.808466172039142e-06
Position 1731: 2.7535410477280328e-06
Position 387: 1.8831101229976304e-06
Position 1690: 1.7143220432838976e-06
Position 653: 1.3724083347876739e-06
Position 216: 1.2952334260900002e-06
Position 402: 1.031053340967418e-06
Position 195: 9.231506011829719e-07
Position 1428: 8.90503863746982e-07
Position 529: 6.259658571133236e-07
Position 707: 6.152091463486402e-07
Position 482: 5.914167922656977e-07
Position 1058: 4.300222738932684e-07
Position 189: 3.7225475698942703e-07
Position 1424: 3.571071837568782e-07
Position 1367: 3.339678072342974e-07
Position 2492: 2.0928749546193544e-07
Position 380: 2.2644781347162957e-08
Position 1129: 1.8768420379926968e-08
Position 1016: 1.670945427698058e-08
Position 1115: 1.6396554394873417e-08
Position 877: 9.359365499838402e-09
Position 152: 8.548174299433619e-09
Position 1073: 7.836477537095168e-09
Position 710: 7.418030147105328e-09
Position 532: 6.537936823360894e-09
Position 897: 4.453112162058268e-09
Position 486: 4.035369550121857e-09
Position 1022: 3.635893349948176e-09
Position 1079: 2.5428168012767515e-09
Position 203: 5.926619049704337e-10
Position 199: 1.2080546970602573e-10
Position 164: 5.25495876134446e-11
Position 117: 2.0955933281766034e-11
