Gene = Trim30b
index = 1141
Annotated 5SS: [  98 4026]
Annotated 3SS: [3468 5984]
SMsplice 5SS: [  98 3639 6081]
SMsplice 3SS: [3468 5984 7520]
top_k =  1000
Partition function (log Z): -7.341158848602088

Sorted 5' Splice Sites (High to Low Probability):
Position 98: 0.8742811436786921
Position 3639: 0.8400339530736302
Position 4026: 0.21844855911676553
Position 6170: 0.13398545388807567
Position 6085: 0.1333298223138178
Position 7076: 0.12506108694495655
Position 2496: 0.07529902540120763
Position 3163: 0.0733454756062996
Position 243: 0.06807730560001025
Position 3678: 0.05995659904352016
Position 5093: 0.05563522517168621
Position 376: 0.05062121941038753
Position 4274: 0.04125687997209385
Position 1709: 0.032542768451669486
Position 1195: 0.023669597746211857
Position 837: 0.023265886917650812
Position 880: 0.01672636213115838
Position 669: 0.014327516463073366
Position 4100: 0.014231840196461096
Position 3143: 0.01363536589264182
Position 817: 0.012489913080481784
Position 1190: 0.007203120755394582
Position 629: 0.00507326092713344
Position 5246: 0.004848028597163523
Position 5589: 0.004741160640302875
Position 4201: 0.00470756656201286
Position 35: 0.00419811970596349
Position 574: 0.003645999102108545
Position 4437: 0.0035970356497596763
Position 340: 0.0035250821611475355
Position 1100: 0.0028274066565474112
Position 3182: 0.0027015741311714335
Position 860: 0.00264651212545742
Position 5713: 0.002177278098955631
Position 4041: 0.0021394463805462565
Position 5766: 0.001982622823348502
Position 589: 0.0018290852746663286
Position 3154: 0.0018024375616360834
Position 2006: 0.0017573161820527165
Position 3342: 0.0017360806244745535
Position 827: 0.0015154624666575526
Position 1531: 0.0014266690505127713
Position 5085: 0.0013299460586587769
Position 5509: 0.00122464676653953
Position 5292: 0.0011619397647344844
Position 1380: 0.0010497454896733528
Position 3174: 0.001038531700938808
Position 920: 0.0009413410643740685
Position 3255: 0.0008536268740091549
Position 3315: 0.0008172557000441559
Position 187: 0.0007986532748801299
Position 4490: 0.0007713265830824084
Position 1696: 0.0007637061319877318
Position 2930: 0.0007118499541479832
Position 2637: 0.0006783131272847594
Position 5702: 0.0006701159048264666
Position 52: 0.0006281216453616247
Position 5105: 0.000616254561364933
Position 354: 0.0005864776737963215
Position 2982: 0.0005399957009419765
Position 3305: 0.000506665009995719
Position 2250: 0.000489524500232441
Position 6034: 0.00047169034351372363
Position 3043: 0.00039999157331418154
Position 2702: 0.00038090489436258524
Position 4244: 0.00037776782302008355
Position 559: 0.0003623766438103169
Position 2163: 0.0003577637794075606
Position 2628: 0.0003213065048576731
Position 7365: 0.000304452587288232
Position 4462: 0.0002874625992987321
Position 3008: 0.00026827207759915904
Position 787: 0.0002471954411131192
Position 4974: 0.00024355095393714606
Position 162: 0.00023951333903251068
Position 3783: 0.00020912260687530514
Position 3691: 0.0001908876130635445
Position 223: 0.00017515336080507727
Position 1249: 0.00017337274581747444
Position 386: 0.0001586754631379175
Position 2743: 0.00014242713535657828
Position 389: 0.00011869180782585217
Position 2504: 0.00011765988251392254
Position 1538: 0.00010902807136983941
Position 3646: 0.00010848655433556205
Position 392: 9.834353825671889e-05
Position 2514: 8.698556584884506e-05
Position 1046: 8.3574915436217e-05
Position 19: 8.216855372382209e-05
Position 2610: 7.315565724881746e-05
Position 441: 6.984633038587133e-05
Position 486: 6.885815282769635e-05
Position 647: 6.782771750110219e-05
Position 2767: 6.703231366369446e-05
Position 969: 6.425012837776223e-05
Position 3706: 2.2540147835083182e-05
Position 159: 1.2085189985959e-05
Position 108: 7.95687479686485e-06
Position 102: 6.737025577077018e-06
Position 683: 3.1240485457745543e-06
Position 730: 3.104300958862116e-06
Position 11: 2.5281713658095445e-06
Position 166: 2.4529855945791136e-06
Position 59: 2.4099372286607394e-06
Position 384: 1.3285539808281784e-06
Position 1205: 1.2457028176872702e-06
Position 5: 1.0869349380845763e-06
Position 23: 9.610330884632037e-07
Position 356: 7.913011561497434e-07
Position 86: 6.524695933293493e-07
Position 285: 6.49874129058203e-07
Position 539: 5.410804827037244e-07
Position 451: 4.897208604373645e-07
Position 1272: 4.739205611910848e-07
Position 228: 4.442239489975365e-07
Position 578: 1.6842779338105516e-07
Position 25: 1.3439981945313205e-07
Position 781: 4.56186976667392e-08
Position 1144: 2.5266155326618137e-08
Position 1062: 2.0482356043951946e-08
Position 562: 1.3707003144474758e-08
Position 510: 1.5956417520707596e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 5984: 0.8385559568946267
Position 3468: 0.7751859637981726
Position 3561: 0.14365750180476186
Position 6844: 0.0952407501507052
Position 3932: 0.06513991270091953
Position 6811: 0.06038557306524579
Position 2382: 0.05724483831664048
Position 242: 0.056684528382717224
Position 7520: 0.04739172067258256
Position 3082: 0.04731989146765258
Position 4835: 0.043435477334769046
Position 7688: 0.041948151939804335
Position 7453: 0.03917597496606541
Position 3929: 0.03607828763961068
Position 5049: 0.03300112838141317
Position 4165: 0.02863677545124753
Position 7819: 0.026026541474764204
Position 6744: 0.02563066514762954
Position 3867: 0.02476105809038192
Position 3993: 0.024272930429402803
Position 3878: 0.02357138017192669
Position 468: 0.02220007732353181
Position 7729: 0.01775244270174317
Position 5930: 0.01712502665705352
Position 5469: 0.017091770999228404
Position 4199: 0.016438456760318982
Position 3834: 0.015421777881988692
Position 5987: 0.014778194103282735
Position 1030: 0.014207551590778467
Position 8110: 0.013755074183818536
Position 3142: 0.013659181942854154
Position 1434: 0.012375060908876856
Position 7271: 0.011661408952803728
Position 2896: 0.011562276442756324
Position 1605: 0.011553937011928089
Position 1644: 0.011452631516493703
Position 981: 0.010336170834302329
Position 2414: 0.010252146329924893
Position 7644: 0.010150526961203249
Position 5051: 0.010149621224503804
Position 2827: 0.009792242452707526
Position 7168: 0.009677034698224566
Position 3917: 0.00855960701827504
Position 761: 0.008207441832831435
Position 7941: 0.008004671672318716
Position 3481: 0.007051926976379053
Position 6530: 0.006577332043565124
Position 3964: 0.0058027357504786764
Position 4273: 0.00579429164771536
Position 7487: 0.005742587562274098
Position 5365: 0.005300040238616592
Position 3118: 0.004734167329956793
Position 2438: 0.004527793038536886
Position 3739: 0.004391496561208392
Position 4936: 0.004005674988762482
Position 2990: 0.0035237920811731
Position 5933: 0.003236476816288776
Position 3029: 0.0028550025092612336
Position 3906: 0.0027478954147152485
Position 7554: 0.0027054216284691547
Position 5990: 0.0026865918572617524
Position 6692: 0.002680423249472367
Position 4120: 0.0025951793675245112
Position 7193: 0.002476981904065691
Position 6414: 0.0024265274670517145
Position 2386: 0.0023390257024298988
Position 2328: 0.0021500987615767565
Position 3700: 0.0020961688221275993
Position 8224: 0.002072544234107864
Position 334: 0.001996197879970421
Position 6774: 0.0018975865094389276
Position 5273: 0.001894489682802198
Position 719: 0.0018480595637742636
Position 5526: 0.001826480542882365
Position 5662: 0.0018050342278326495
Position 766: 0.0018038364221138737
Position 7075: 0.0017498276162124656
Position 1785: 0.0017265727891337488
Position 6668: 0.0017062858650032412
Position 1032: 0.0015319353899323534
Position 2907: 0.0014772952809287802
Position 3962: 0.001320391723841131
Position 2941: 0.0012861383930745855
Position 3857: 0.001259892064231305
Position 5190: 0.0012532057895300011
Position 4005: 0.0012490564682744554
Position 3008: 0.0012046506343468104
Position 1080: 0.0011889266037509172
Position 5996: 0.0011216367010467346
Position 3808: 0.0011079616799616553
Position 2719: 0.0010760932230862016
Position 3783: 0.000935342344440476
Position 4268: 0.000917852229367767
Position 3589: 0.0009177679937424024
Position 1058: 0.0008895265719160271
Position 4099: 0.0008869848142510825
Position 6452: 0.000839785393115331
Position 5506: 0.0008260133907937461
Position 1244: 0.0008186952193440062
Position 172: 0.0007030338530779043
Position 6394: 0.0007018236332108428
Position 3971: 0.0006584343896459469
Position 1927: 0.0006385872816793096
Position 3848: 0.0006382578643468398
Position 3711: 0.0006378721953557004
Position 2536: 0.0006328090655839123
Position 3745: 0.0006172871595798481
Position 4687: 0.0006040034938119846
Position 7425: 0.0005918678127395274
Position 4536: 0.0005851912445397472
Position 7276: 0.0005621340257117679
Position 816: 0.0005618589826441523
Position 6368: 0.0005368296504392912
Position 2948: 0.0005187139686354912
Position 499: 0.0005173800308830597
Position 6221: 0.00048499522351949046
Position 3748: 0.0004602096800639133
Position 4387: 0.00042195913953394247
Position 1387: 0.00035735242598273895
Position 4175: 0.0003543576410597685
Position 3597: 0.0003531252831557762
Position 2513: 0.00034063453259487617
Position 7823: 0.000300872037290864
Position 804: 0.00027983447564502236
Position 7849: 0.0002597615149827578
Position 6101: 0.00025638849230064857
Position 4593: 0.00024532595203703624
Position 851: 0.00023668059589647996
Position 2167: 0.0002269274408432493
Position 1052: 0.00022215801485977327
Position 1566: 0.00022103815986994848
Position 4007: 0.0002163447313329997
Position 5058: 0.00021125192595726337
Position 1607: 0.00021038920295613333
Position 1272: 0.0002056044897844453
Position 3573: 0.0002031453238464522
Position 3756: 0.00019613422588264876
Position 6227: 0.00018372151584050686
Position 1708: 0.00013973172920002052
Position 1149: 0.00013771365199803195
Position 2001: 0.0001363630178000641
Position 6047: 0.0001362691809548821
Position 913: 0.00013164620868954272
Position 2036: 0.0001271138303037745
Position 5935: 0.00012448064811999469
Position 1086: 0.00012348956346210153
Position 2290: 0.0001205056651899313
Position 4557: 0.00011636543249557814
Position 3570: 0.00010892357925792949
Position 2295: 0.00010767961445737616
Position 451: 0.00010435413875432945
Position 5907: 0.00010389207686398633
Position 1384: 0.0001000514676748531
Position 688: 9.791782006211144e-05
