Gene = Cxcl15
index = 309
Annotated 5SS: [  95  795 3493]
Annotated 3SS: [ 664 3408 6715]
SMsplice 5SS: [  95  431  795 3493]
SMsplice 3SS: [ 331  664 3408 8190]
top_k =  1000
Partition function (log Z): -3.100056011368383

Sorted 5' Splice Sites (High to Low Probability):
Position 95: 0.9298712410596417
Position 795: 0.8466750132593879
Position 3493: 0.8200402658098945
Position 431: 0.7662727948308604
Position 4266: 0.11308361673160211
Position 5493: 0.08438200655925455
Position 5852: 0.0708326577077172
Position 8063: 0.062264442796370424
Position 7029: 0.04727168038275308
Position 259: 0.028916553294243134
Position 820: 0.024289725989946772
Position 990: 0.02300864237869193
Position 8068: 0.022439587880068473
Position 891: 0.013840809222164813
Position 3782: 0.013018420856920319
Position 5765: 0.010997790009932763
Position 129: 0.010891476857339955
Position 2702: 0.00838856903813557
Position 475: 0.008239862995451007
Position 1123: 0.007622514908574855
Position 4404: 0.0074210651616482114
Position 7117: 0.005716451197399951
Position 6777: 0.005137154922126801
Position 5611: 0.004433947459968935
Position 5997: 0.003612175500374433
Position 1072: 0.003216477758862009
Position 5777: 0.0031813127546489336
Position 1398: 0.002782941270705234
Position 6770: 0.0027265044952207093
Position 8264: 0.002686098240734432
Position 6921: 0.0022575044980001763
Position 5270: 0.0022045446223679524
Position 754: 0.0021269515084181884
Position 5497: 0.0019190487163875166
Position 168: 0.001860964071145127
Position 7040: 0.0017639097605934438
Position 4037: 0.0016949337666975048
Position 4134: 0.0016893049922290491
Position 8268: 0.0016359640307374846
Position 4856: 0.0015082341348834085
Position 1995: 0.0014664382283502207
Position 5407: 0.0013986390236333998
Position 6623: 0.001356775777598562
Position 985: 0.0013293504400666632
Position 6889: 0.001266140024808036
Position 790: 0.00126462072270347
Position 2798: 0.0012203857737980556
Position 848: 0.0010734021970474615
Position 2229: 0.0009167442754088251
Position 5860: 0.0009056456835633228
Position 5597: 0.000823347629893743
Position 6576: 0.0008034903110044202
Position 460: 0.0007597076922990509
Position 2896: 0.0007575138939176898
Position 1402: 0.0007328731939015924
Position 5581: 0.0006630485432825862
Position 5810: 0.0006193502849023452
Position 799: 0.0005485911377514077
Position 54: 0.0004805898879042126
Position 895: 0.0003791817042435749
Position 1406: 0.00034577642396457065
Position 515: 0.00033698787118512503
Position 3141: 0.00032676970444145
Position 2055: 0.0003213286563419761
Position 3312: 0.00031320856718679535
Position 6664: 0.00030011718213342897
Position 2005: 0.0002654167078145257
Position 6937: 0.00024826306308905647
Position 8401: 0.0002441931211425432
Position 3934: 0.00024039457781364543
Position 435: 0.00023736801906190392
Position 1067: 0.00022830305929403833
Position 1410: 0.0001806822903342309
Position 171: 0.00017864264732948143
Position 4608: 0.00015727002083024401
Position 3585: 0.00015380439940760948
Position 5757: 0.00011404760554702157
Position 8248: 0.00011152994797607955
Position 562: 8.806597273519505e-05
Position 3461: 6.36471552171774e-05
Position 263: 6.308210897424027e-05
Position 450: 5.8641315052914926e-05
Position 340: 5.484782157758127e-05
Position 4462: 4.744394760239159e-05
Position 369: 4.5510765700974674e-05
Position 4557: 4.529692213780405e-05
Position 73: 3.726950920272359e-05
Position 603: 3.502830165749933e-05
Position 268: 2.7777615557255747e-05
Position 253: 2.218641443844644e-05
Position 19: 2.204450088729777e-05
Position 481: 2.102543329299026e-05
Position 802: 1.9591522276367336e-05
Position 583: 1.5117684246572814e-05
Position 566: 1.1785393457284264e-05
Position 233: 1.1519709723162941e-05
Position 530: 8.943547888544186e-06
Position 237: 7.595726568005434e-06
Position 242: 7.3988496049931505e-06
Position 319: 6.0278645645152325e-06
Position 571: 5.26228894754071e-06
Position 597: 3.893028159461721e-06
Position 532: 3.6242932289583095e-06
Position 701: 2.707399073836001e-06
Position 573: 1.9117752220366877e-06
Position 500: 1.1823282769118352e-06
Position 877: 9.456190817821838e-07
Position 840: 7.17816993912207e-07
Position 2821: 7.089552151804754e-07
Position 2758: 5.849688298025627e-07
Position 560: 5.597601661321201e-07
Position 664: 4.8612209449495e-07
Position 695: 2.7599033222389597e-07
Position 2253: 1.7461929112135648e-07
Position 2623: 1.2242221849918132e-07
Position 2233: 9.595359320088994e-08
Position 1084: 9.40253238887754e-08
Position 699: 7.435719759440427e-09
Position 668: 3.0091732612994978e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 664: 0.850121550876165
Position 331: 0.6953656944565716
Position 3408: 0.6576374395364509
Position 8190: 0.6019276878387838
Position 6715: 0.3891714808330413
Position 3395: 0.09486308773957464
Position 5639: 0.0884252626907062
Position 5378: 0.0761881143133508
Position 4074: 0.07247995881223383
Position 7976: 0.061749937437886454
Position 293: 0.04260829858313044
Position 5334: 0.03746132975071507
Position 3332: 0.03674724384207083
Position 708: 0.0316028720172783
Position 4010: 0.0250330452513504
Position 7954: 0.016624701288134366
Position 894: 0.015750340259192138
Position 865: 0.011850379955249365
Position 8509: 0.010139841730524552
Position 361: 0.00834535738337434
Position 3869: 0.007764197495937334
Position 6249: 0.007478634374704935
Position 3370: 0.006773795606957525
Position 7926: 0.006440726807459589
Position 3413: 0.00639526809036813
Position 4374: 0.006288598417932817
Position 914: 0.006270081813899064
Position 5688: 0.006103092512350007
Position 2428: 0.004951525809838934
Position 5130: 0.0047996227132011135
Position 3573: 0.004473601269715833
Position 5800: 0.004456267947839661
Position 4119: 0.004226451812526405
Position 3981: 0.0037821292518118907
Position 3756: 0.0037225555091023673
Position 3312: 0.0037046728591569127
Position 3375: 0.0036572823972772354
Position 2964: 0.0034474198102165464
Position 4334: 0.003247924108098466
Position 3547: 0.0030214751676818654
Position 4088: 0.002107069138429745
Position 3284: 0.002095855819462019
Position 547: 0.002092562095736423
Position 3141: 0.0020826824211162102
Position 500: 0.0020289007105516645
Position 6556: 0.001982377864888816
Position 3934: 0.0019334564675018914
Position 5851: 0.0018152280702589923
Position 3230: 0.001811264314489591
Position 877: 0.0017184440409717381
Position 2701: 0.0016790996051812986
Position 2652: 0.0016767374592610157
Position 195: 0.001672649668568727
Position 3410: 0.0016356155936628613
Position 5305: 0.001577472175822407
Position 4198: 0.0015276248144208565
Position 3047: 0.0013815549102821668
Position 1056: 0.0013758875786288667
Position 1895: 0.0013630527225726827
Position 7804: 0.0013455633923175054
Position 6139: 0.0013330774085406562
Position 7254: 0.001308547675501509
Position 1191: 0.0012360475761168121
Position 1182: 0.0012341466241662146
Position 8341: 0.0012267889833082661
Position 6879: 0.0012028796285746858
Position 685: 0.0011921806956743423
Position 3256: 0.0011755278374208848
Position 4561: 0.0010501851363749512
Position 3660: 0.0010491240660360482
Position 4855: 0.0009421378512854449
Position 3584: 0.0009366076880497239
Position 4124: 0.0008922571785370005
Position 6100: 0.000866225853587014
Position 782: 0.0008426970455510263
Position 4225: 0.0008211506228745845
Position 2592: 0.0008097195847867373
Position 7625: 0.0007913818332933501
Position 6033: 0.0007733509802356867
Position 2433: 0.0007726333580796147
Position 3656: 0.0007565819245284572
Position 3696: 0.0007008148403959856
Position 7696: 0.0006681470848238375
Position 597: 0.0006492539946594908
Position 4781: 0.0006355601138245533
Position 5257: 0.0005770138217455869
Position 7103: 0.0005596971165612596
Position 3341: 0.000532981650881979
Position 3854: 0.00048590708544207686
Position 1950: 0.0003957373647518525
Position 6916: 0.00039211372736001237
Position 6293: 0.0003687830578286527
Position 3626: 0.00035710985255895224
Position 1891: 0.0003492603901401027
Position 7223: 0.00033901698728361666
Position 1317: 0.00032170785878579054
Position 299: 0.000319985623895685
Position 2725: 0.00031015030100699003
Position 2369: 0.0002894178686854612
Position 6253: 0.00027105274283985016
Position 2543: 0.000255810560111733
Position 982: 0.00025553652107862263
Position 367: 0.0002511379751952687
Position 1932: 0.00025034991726332766
Position 641: 0.00022819368980796836
Position 3466: 0.00019900097098992425
Position 639: 0.00019812825870593525
Position 968: 0.00019068677902456352
Position 2085: 0.00018502684435993137
Position 621: 0.00017066880295939858
Position 2480: 0.00016093710003764724
Position 242: 0.00015662764634585743
Position 128: 0.0001371756671641063
Position 4244: 0.000132774049234464
Position 5076: 0.0001271574249746841
Position 2145: 0.000126486893634155
Position 2055: 0.00011842917203875875
Position 2158: 0.00011803856659290185
Position 1280: 0.00011495143368939306
Position 4683: 0.00011269848752759281
Position 566: 0.00010696694756477447
Position 161: 0.00010295084842330821
Position 5549: 0.00010110507731646981
Position 1959: 9.789831651165775e-05
Position 8452: 9.216631532433804e-05
Position 167: 8.67292220260929e-05
Position 518: 8.064780164035726e-05
Position 1265: 7.817891991167607e-05
Position 221: 7.808133880039406e-05
Position 2894: 7.605561731748218e-05
Position 2046: 7.581274344216726e-05
Position 1777: 7.425437116115132e-05
Position 515: 6.449304160254187e-05
Position 7271: 6.332171337295107e-05
Position 7300: 6.19071398886832e-05
Position 7116: 6.0656321205063175e-05
Position 1047: 6.0653311403529174e-05
Position 338: 5.8996527755929143e-05
Position 7336: 5.753333603798619e-05
Position 1023: 5.415087959802087e-05
Position 971: 5.3419432100722293e-05
Position 6121: 4.9165180899194524e-05
Position 268: 4.614694253287258e-05
Position 4968: 4.6143245125336155e-05
Position 1344: 4.4596704751313966e-05
Position 253: 4.403960798105042e-05
Position 4524: 4.395010064812675e-05
Position 6764: 4.208705093808154e-05
Position 6743: 4.0801247475187184e-05
Position 4591: 3.531214256172515e-05
Position 4379: 3.1860033109067866e-05
Position 5441: 3.0129142313536487e-05
Position 2603: 2.8943006444999557e-05
Position 3693: 2.5880108965273314e-05
Position 1821: 2.55872036398627e-05
Position 212: 2.498630265380183e-05
Position 1277: 2.3903015606465035e-05
Position 989: 2.350869094518777e-05
Position 2170: 2.2747356283901556e-05
Position 4876: 2.1643787038920997e-05
Position 2117: 2.1296715406255443e-05
Position 687: 2.0783034266752495e-05
Position 2910: 2.0674382463119645e-05
Position 1269: 1.784946172926926e-05
Position 4710: 1.7506008378811647e-05
Position 3492: 1.6923560068790018e-05
Position 310: 1.5908092494048398e-05
Position 428: 1.5577726363449592e-05
Position 4266: 1.488447925661042e-05
Position 1329: 1.4319721376759678e-05
Position 1747: 1.2543970150472378e-05
Position 4754: 9.686763888611003e-06
Position 4808: 8.863360351180168e-06
Position 4054: 8.538394427439318e-06
Position 233: 7.159835890562471e-06
Position 3234: 6.688973757538465e-06
Position 3712: 5.038319299784199e-06
Position 3699: 4.310368686198293e-06
Position 369: 3.986196449838824e-06
Position 3723: 3.849012549972129e-06
Position 3611: 3.441652824792129e-06
Position 340: 3.3408420322442943e-06
Position 218: 2.7281569501717477e-06
Position 450: 2.57583335002668e-06
Position 470: 2.501947249095022e-06
Position 346: 2.2278048969041095e-06
Position 226: 1.3736261280269388e-06
Position 4037: 9.853615524600187e-07
Position 263: 8.59047042745931e-07
Position 3985: 8.275409284934878e-07
Position 765: 4.878202602118922e-07
Position 603: 2.8474099596508054e-07
Position 608: 2.6434331259451045e-07
Position 3071: 2.5923593833810534e-07
Position 474: 2.2101040187371342e-07
Position 786: 2.1459310501481773e-07
Position 521: 1.808206311006146e-07
Position 3150: 1.4911467936305735e-07
Position 1062: 1.3662405269623937e-07
Position 615: 9.372775932765036e-08
Position 148: 9.284821010133405e-08
Position 1144: 7.866058990579837e-08
Position 927: 7.178118568076273e-08
Position 435: 5.4564721148109984e-08
Position 145: 4.847872249258253e-08
Position 790: 4.437247868619578e-08
Position 85: 3.221325528094698e-08
Position 1289: 2.207141019124284e-08
Position 1096: 1.9921040129529122e-08
Position 1985: 1.810289246858489e-08
Position 1147: 1.3538977542858637e-08
Position 934: 1.3180966795624054e-08
Position 993: 4.611067078316887e-09
Position 943: 3.2678591033408882e-09
Position 481: 3.1559196530729014e-09
Position 530: 3.066416238938537e-09
Position 1050: 2.8133325858692263e-09
Position 840: 1.8983567560927488e-09
Position 802: 9.25935258628897e-10
Position 99: 4.302857907367782e-10
Position 807: 1.8980003136952736e-10
Position 819: 1.765688740232692e-10
