Gene = Mfsd13b
index = 676
Annotated 5SS: [  222  3885  6627  9402 13026 16476 17709]
Annotated 3SS: [ 3752  6450  8678 12870 16391 17585 32010]
SMsplice 5SS: [  185  9402 16476 17709]
SMsplice 3SS: [ 9278 16391 17585 31825]
top_k =  1000
Partition function (log Z): -16.39810121120559

Sorted 5' Splice Sites (High to Low Probability):
Position 9402: 0.8797359513853452
Position 16476: 0.8490422692425358
Position 6627: 0.7471112838423208
Position 17709: 0.6894296505855327
Position 12807: 0.571929790179925
Position 4037: 0.3539325770286866
Position 13026: 0.28276179896295534
Position 2657: 0.27204770120070204
Position 185: 0.27105985148525985
Position 1316: 0.24792910120232986
Position 161: 0.24646426543007333
Position 15771: 0.20972298337528422
Position 5854: 0.18033494457560373
Position 1120: 0.17080358157286915
Position 222: 0.12390290858475161
Position 940: 0.07972754159578979
Position 12655: 0.06810050824735779
Position 3885: 0.061348956214457094
Position 4010: 0.060609157499442005
Position 21204: 0.059708682935127586
Position 4020: 0.04611895610163197
Position 4659: 0.043929187883235826
Position 71: 0.042679179554560895
Position 711: 0.03848684713461759
Position 51: 0.03824343934922568
Position 11687: 0.03638719469772732
Position 6683: 0.03522354646277152
Position 17382: 0.03372453422205456
Position 18265: 0.029514588021805458
Position 10756: 0.023094610373591017
Position 8538: 0.020453846267390097
Position 21233: 0.018351771397107648
Position 549: 0.018333947985749575
Position 16864: 0.017097708811900914
Position 6164: 0.013360617070189151
Position 100: 0.012786928746321272
Position 6124: 0.011111044666475816
Position 122: 0.009417058274364487
Position 2274: 0.009178986291707828
Position 390: 0.00896323333479624
Position 9360: 0.008513364604044362
Position 20976: 0.008383917446025384
Position 2995: 0.008162739255715144
Position 473: 0.008155351905714378
Position 10573: 0.006165831485161859
Position 2302: 0.00572138816981938
Position 10002: 0.005343521578262786
Position 12284: 0.004979553942901385
Position 2919: 0.004740584569463065
Position 2985: 0.0046560566633974225
Position 197: 0.00464037021658672
Position 3470: 0.003990200435589897
Position 6065: 0.003969364142303073
Position 1124: 0.003872981851276319
Position 3536: 0.003531262268411531
Position 1115: 0.0031291398191558586
Position 21951: 0.0030161821511160546
Position 20: 0.002659189731145777
Position 1095: 0.002588952141486741
Position 11186: 0.0024447526513166396
Position 513: 0.002132745997494459
Position 1765: 0.00197748634776629
Position 3221: 0.001848349726243915
Position 11573: 0.0017191417245876006
Position 358: 0.0016430602329757765
Position 1332: 0.0014341823632520777
Position 3577: 0.001115979373023775
Position 2176: 0.0010574050399043237
Position 19784: 0.0010501916028436253
Position 189: 0.000826852703435766
Position 2661: 0.000703473907776527
Position 11: 0.0006915645995260957
Position 2393: 0.0006045807788732258
