Gene = Glrp1
index = 438
Annotated 5SS: [ 276 6925]
Annotated 3SS: [6515 8923]
SMsplice 5SS: [276]
SMsplice 3SS: [9774]
top_k =  1000
Partition function (log Z): -9.089060182409549

Sorted 5' Splice Sites (High to Low Probability):
Position 276: 0.5047413320233652
Position 4287: 0.4714742829315397
Position 5273: 0.21499699922769333
Position 374: 0.20941103421412097
Position 50: 0.1731822137484343
Position 2694: 0.1424096142282214
Position 337: 0.132666725927388
Position 2931: 0.1236084338783388
Position 3411: 0.10132007209203323
Position 678: 0.08761808626424944
Position 4212: 0.05398773669640937
Position 1061: 0.05012266865897791
Position 311: 0.04991381320958259
Position 3302: 0.046988431709326296
Position 964: 0.04507167153847861
Position 289: 0.03558594077878945
Position 8984: 0.03516050875542722
Position 1954: 0.03191201939843715
Position 5847: 0.021041100908830053
Position 3454: 0.017075283410118887
Position 4188: 0.015216295584842245
Position 4840: 0.014819436502119738
Position 7397: 0.014596710947940931
Position 5532: 0.014228331284193782
Position 5899: 0.01085780650096623
Position 4058: 0.007253196253568673
Position 32: 0.006087156921134091
Position 2759: 0.00520948310668253
Position 4046: 0.0045840152810531125
Position 8536: 0.004113949948369772
Position 662: 0.002743204729267845
Position 9077: 0.002668190462712489
Position 9063: 0.00248418647548426
Position 3000: 0.0014472820007635806
Position 2351: 0.001300065481224964
Position 5017: 0.0012570487355585236
Position 86: 0.0011144784036677242
Position 626: 0.0010382372055998072
Position 6124: 0.0007587558752052824
Position 12: 0.0007570964151585243
Position 3325: 0.0006961998530988601
Position 969: 0.0004793003740419579
Position 62: 0.0004667146363564527
Position 3604: 0.00043424103183804227
Position 3394: 0.00038943872815939696
Position 2833: 0.000277045512657063
Position 2805: 0.00027347741902604774
Position 73: 0.0001236486731089467
Position 648: 0.0001209134389979772
Position 223: 7.050402779907973e-05
Position 2450: 6.998143894170299e-05
Position 293: 6.629638846828379e-05
Position 7378: 5.84319614477154e-05
Position 595: 5.127279315339608e-05
Position 99: 4.182161443594792e-05
Position 207: 3.973322609427919e-05
Position 363: 2.9004896633275506e-05
Position 103: 2.1152592075016473e-05
Position 708: 1.8402996806255072e-05
Position 381: 1.1840154347144457e-05
Position 145: 9.479697356451617e-06
Position 411: 9.289419367551467e-06
Position 466: 1.9977636072462053e-06
Position 478: 1.164469406453679e-06
Position 416: 8.755540118738588e-07
Position 603: 7.287057711073277e-07
Position 341: 5.452922471047661e-07
Position 163: 5.293942678265089e-07
Position 113: 5.146160187859181e-07
Position 1007: 3.2447354775274166e-07
Position 2232: 3.0639904514255455e-07
Position 397: 2.4718771404680423e-07
Position 2613: 1.9557596709085846e-07
Position 841: 1.4568453202303143e-08
Position 469: 1.8276772065243165e-09
Position 480: 6.025795267723887e-12
Position 664: 1.455724425634463e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 4130: 0.560875324165297
Position 9774: 0.4669789927204763
Position 8923: 0.3056259183871562
Position 5132: 0.2445763950627517
Position 119: 0.1764764434431399
Position 7924: 0.09362212900042034
Position 2786: 0.08397291111127189
Position 2560: 0.07477871527561719
Position 3301: 0.062379629657857774
Position 884: 0.05798924250116681
Position 3113: 0.056663879895758475
Position 2643: 0.03917306960003446
Position 5725: 0.035200349783620036
Position 2557: 0.03468666500307863
Position 2733: 0.030795935776192662
Position 3183: 0.027526692555458115
Position 8456: 0.02154991708531356
Position 7269: 0.020767080402514706
Position 8021: 0.020737344235150838
Position 477: 0.016013020282406684
Position 517: 0.015305220504911236
Position 1837: 0.014834777115451744
Position 7963: 0.014056414467505728
Position 4525: 0.010290569143322225
Position 3163: 0.00957289474755014
Position 4646: 0.008990963188159421
Position 3934: 0.008288802142090167
Position 5461: 0.008056380544461148
Position 1867: 0.007992546444251698
Position 701: 0.007466173205133886
Position 2694: 0.006354013411218319
Position 3242: 0.006306117960391544
Position 747: 0.005709741845842073
Position 5237: 0.0046865783482036745
Position 2573: 0.0046634145014957055
Position 5531: 0.004399881754399101
Position 9153: 0.004143000412090497
Position 6518: 0.004085016257854432
Position 5384: 0.003943949845895256
Position 945: 0.003751099176967694
Position 4246: 0.003682892391216604
Position 3066: 0.003676796487356814
Position 3879: 0.003512979446929952
Position 2302: 0.003127301526181327
Position 548: 0.003071884242460356
Position 529: 0.0028483815077368652
Position 3227: 0.0028038591856797968
Position 1792: 0.0026168556307574558
Position 4385: 0.0026157361355155697
Position 500: 0.00250471535467558
Position 1870: 0.0024080083791024665
Position 6515: 0.0023436129894653978
Position 1910: 0.002214793894167361
Position 9716: 0.001972162636584157
Position 9735: 0.001842359873666343
Position 4465: 0.0016862920594594864
Position 4909: 0.001650690148837629
Position 913: 0.001650036422102701
Position 869: 0.001600463393220274
Position 5957: 0.0015110287000927663
Position 5707: 0.001507981000238053
Position 8402: 0.0014431785331560066
Position 951: 0.00132278930844119
Position 9194: 0.0012859789749039034
Position 9134: 0.0012270354142721663
Position 5135: 0.00114373181649683
Position 573: 0.001107183785815547
Position 8635: 0.0010269468237138792
Position 6527: 0.0009721448776363165
Position 4175: 0.0009138221201321587
Position 4444: 0.000885442183288538
Position 8672: 0.0008828090791972868
Position 647: 0.0008649119766632523
Position 2577: 0.0008632371391105234
Position 8600: 0.0007670384744982351
Position 2884: 0.0007411669389804885
Position 1919: 0.0006941261360878819
Position 9527: 0.0006632385187277559
Position 125: 0.0006488595443396252
Position 8381: 0.0006335350102456112
Position 202: 0.000588627245532595
Position 8278: 0.0005866780497013207
Position 305: 0.0005857634972699573
Position 4543: 0.0005770801867187827
Position 3994: 0.0005601088879496152
Position 4311: 0.0005543060089240111
Position 839: 0.0005299457060595303
Position 825: 0.0004997467076249086
Position 3507: 0.0004250817314042716
Position 898: 0.00041072517547198945
Position 555: 0.0003934073030977202
Position 2996: 0.00038758484084189395
Position 750: 0.00035415205946626155
Position 2904: 0.0003103607649305817
Position 622: 0.00030841136112147693
Position 5055: 0.00030309355109544894
Position 1856: 0.00029843839609349626
Position 3680: 0.00029297514147792845
Position 187: 0.00025162031508435263
Position 6487: 0.0002497328833743988
Position 381: 0.00024615738125443134
Position 6545: 0.00024369853977269346
Position 2143: 0.0002326399687173712
