Gene = Sdhc
index = 958
Annotated 5SS: [   45  4848  7046 11910 14611]
Annotated 3SS: [ 4790  6943 11847 14446 20697]
SMsplice 5SS: [   45  4848  7046 14611]
SMsplice 3SS: [ 4790  6943 14446 20697]
top_k =  1000
Partition function (log Z): -11.05030215831061

Sorted 5' Splice Sites (High to Low Probability):
Position 7046: 0.9967385723099509
Position 4848: 0.9140103922994468
Position 45: 0.6616583384526317
Position 14611: 0.5291730878389821
Position 11910: 0.23935972768197875
Position 12187: 0.18827033470069324
Position 4644: 0.1836864054550925
Position 3318: 0.15709405362447687
Position 12206: 0.09418516523387961
Position 124: 0.08877645188545599
Position 520: 0.07398908557703257
Position 501: 0.07325442226441764
Position 5652: 0.05683238087378161
Position 14906: 0.046169995924772805
Position 15328: 0.042646058962179635
Position 160: 0.04194286461648692
Position 2695: 0.03549109670759443
Position 12036: 0.0326787879624186
Position 21468: 0.03199198171779477
Position 7651: 0.03157869244694618
Position 12637: 0.028647466740602177
Position 4463: 0.027475612416857722
Position 4403: 0.024671826009483772
Position 13937: 0.016798139863326764
Position 9635: 0.016599404519277956
Position 8730: 0.015730028003996643
Position 8114: 0.015103852846447198
Position 6235: 0.012802989596699978
Position 915: 0.010476513437518993
Position 4916: 0.010157154985347652
Position 595: 0.008134492880452107
Position 6819: 0.007989071657094563
Position 115: 0.007676442099563207
Position 335: 0.007659568298702422
Position 591: 0.007507130777511381
Position 4026: 0.006385164252007762
Position 1709: 0.006091816553940853
Position 6159: 0.005434447020976917
Position 3208: 0.005430587192845953
Position 11346: 0.005009044690849187
Position 10696: 0.004801551818877375
Position 234: 0.004790903893770782
Position 1000: 0.00452578348784245
Position 4394: 0.003962151567837863
Position 2334: 0.003933735882438424
Position 4362: 0.0038263521948328186
Position 10168: 0.003824750969626003
Position 7896: 0.0029878614018640165
Position 1100: 0.002838243834755698
Position 5669: 0.0027335658921143814
Position 11691: 0.0022297525934691837
Position 9204: 0.002214970032617514
Position 5319: 0.0021394011465097344
Position 9630: 0.0019180049259049038
Position 10892: 0.0018906690951462793
Position 3289: 0.0018673484345319603
Position 4944: 0.0018387194348076323
Position 3019: 0.001731977331523962
Position 10048: 0.0016238667461939637
Position 711: 0.0015721100814004706
Position 733: 0.0013518542926931006
Position 1079: 0.0013217436214986009
Position 1013: 0.001095562190144689
Position 5063: 0.0010937896291519837
Position 242: 0.0010257712991905915
Position 4564: 0.0010145102626885867
Position 5414: 0.0010036157644378765
Position 1311: 0.0007506453936712107
Position 1415: 0.0007288913570557015
Position 2182: 0.0006691847397966195
Position 2208: 0.0006271252822080674
Position 3197: 0.0006142629482468718
Position 1307: 0.0006078155291474042
Position 1333: 0.0005142448505700617
Position 3195: 0.0004947023597752177
Position 4864: 0.0004811956357826232
Position 3001: 0.0004713078287836236
Position 3023: 0.0004287245917751122
Position 84: 0.0004066201145826644
Position 524: 0.00039293642169656653
Position 68: 0.00037837937594869197
Position 4838: 0.000326194834799167
Position 5029: 0.00031951704462787524
Position 4210: 0.0003157880911869038
Position 3212: 0.00031357398670372013
Position 5378: 0.00028850642565448264
Position 6022: 0.00028451362517775046
Position 5249: 0.00025357645741230724
Position 534: 0.00025277539509776175
Position 391: 0.0002284903173507091
Position 3448: 0.00021879296204188478
Position 11041: 0.0002158925864936067
Position 793: 0.00020714673451390482
Position 4051: 0.00020172179318677985
Position 3112: 0.0001924332061988762
Position 8259: 0.00019060871678734236
Position 4474: 0.00018981014750013542
Position 8796: 0.00018963674475645868
Position 6: 0.00018748731820773226
Position 369: 0.00017096413319845865
Position 4635: 0.00014006584538399573
Position 3128: 0.00010976453871062338
Position 5137: 5.8891536961821574e-05
