Gene = 3110082J24Rik
index = 46
Annotated 5SS: [  80 1024]
Annotated 3SS: [ 671 2167]
SMsplice 5SS: [  80 2085]
SMsplice 3SS: [1910 2167]
top_k =  1000
Partition function (log Z): -7.761241352299267

Sorted 5' Splice Sites (High to Low Probability):
Position 80: 0.6292560829965969
Position 2085: 0.6072593792391473
Position 307: 0.3365712049328075
Position 296: 0.12199008215849041
Position 602: 0.0554019508528839
Position 1574: 0.03293098796388412
Position 262: 0.03025421445858495
Position 1024: 0.027288578077584797
Position 120: 0.019419265442488027
Position 236: 0.011147336187331554
Position 1262: 0.008535203926830662
Position 339: 0.007379335714842364
Position 225: 0.007331247118322622
Position 679: 0.0067681854741329485
Position 1750: 0.006671990464417521
Position 1639: 0.006350100976346841
Position 2058: 0.005617457753957134
Position 1365: 0.0038434242279349854
Position 814: 0.0031371969252984525
Position 1737: 0.0028147838381165128
Position 1995: 0.0018116926588507617
Position 1090: 0.0015996265135629394
Position 1069: 0.0015806538330832964
Position 732: 0.0015282733430383767
Position 97: 0.0010707241363430073
Position 2068: 0.001025043472010222
Position 583: 0.0008485631898426711
Position 2097: 0.0005463927517945296
Position 523: 0.00028220567104022734
Position 1246: 0.00021913833367952692
Position 481: 0.00021761884486518586
Position 686: 0.00021590487568710082
Position 2007: 0.00016955215583932442
Position 122: 0.00012417910169978299
Position 934: 0.00012095350440222903
Position 1050: 0.00011613305228762667
Position 1550: 0.00010646907809685067
Position 124: 0.00010294576864226499
Position 1692: 0.00010219554185708282
Position 821: 9.179344581284327e-05
Position 462: 8.004797181833512e-05
Position 842: 7.983624907361995e-05
Position 126: 4.6628127237550785e-05
Position 1584: 4.209422591451366e-05
Position 1595: 3.878764269042472e-05
Position 2045: 3.545394581087112e-05
Position 1629: 3.422400351347441e-05
Position 33: 1.6434110195099318e-05
Position 380: 5.579310017390595e-06
Position 444: 2.7256233043695813e-06
Position 279: 2.4145913164862198e-06
Position 474: 2.3009957580542416e-06
Position 1032: 1.7528054327256957e-06
Position 141: 1.296469870633396e-06
Position 586: 9.718895558326917e-07
Position 282: 5.911325362303005e-07
Position 128: 5.859171681873389e-07
Position 214: 4.7098957810355636e-07
Position 5: 4.690968168106623e-07
Position 606: 4.5828227125814613e-07
Position 130: 4.505932264186886e-07
Position 1617: 8.410224252423663e-08
Position 148: 3.737874644627718e-08
Position 526: 5.503995979858934e-09
Position 185: 2.831731480471577e-09
Position 193: 1.500637665436061e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2167: 0.7236800630350726
Position 1910: 0.47992326408878266
Position 168: 0.1778926108130486
Position 1995: 0.16880056339044738
Position 671: 0.08422749012894169
Position 1861: 0.08123712477602456
Position 1465: 0.03994851065493435
Position 1956: 0.03351336645447911
Position 203: 0.019601654768572663
Position 1573: 0.019529328761193333
Position 1121: 0.013275821956997495
Position 2229: 0.012532653933721527
Position 210: 0.011870027429560785
Position 1331: 0.006311227554952721
Position 2238: 0.00622327588315206
Position 427: 0.004813875164260395
Position 403: 0.004760138738613533
Position 2268: 0.004346298208447211
Position 532: 0.003913888514910578
Position 462: 0.0035919266583462135
Position 180: 0.0029646321063567767
Position 577: 0.0026055776668458437
Position 1676: 0.0025250532458047396
Position 230: 0.002353592331495047
Position 185: 0.0018980156814376605
Position 1885: 0.0018599927007812418
Position 1744: 0.0017812435932474877
Position 2382: 0.0017159879152702554
Position 1143: 0.0013020238919098117
Position 890: 0.0012913251046921138
Position 391: 0.00129014912403055
Position 2134: 0.00116675663032999
Position 910: 0.0010422224002006536
Position 1534: 0.0010312384587283258
Position 764: 0.0009576857423999631
Position 2172: 0.000871399381475791
Position 2208: 0.0008501570994218393
Position 2188: 0.0008229580438273625
Position 487: 0.0008091310276903276
Position 759: 0.0007021679157794812
Position 538: 0.0006416637666010544
Position 962: 0.0006070677482513177
Position 1961: 0.0005782543506369216
Position 852: 0.0005641468456027995
Position 785: 0.0005540517111555792
Position 535: 0.0005438732115034542
Position 508: 0.0004912440423928157
Position 842: 0.0004860872748162991
Position 1023: 0.00048511018755673893
Position 1749: 0.00044728594013323023
Position 2029: 0.00041333481277730337
Position 2088: 0.0003953379884082605
Position 2244: 0.0003699017882886113
Position 696: 0.00035766052841541883
Position 1550: 0.0003528499063048948
Position 363: 0.00034525712497976256
Position 2281: 0.00033678655963019066
Position 1480: 0.0003108598816891051
Position 1176: 0.0002530526711201817
Position 495: 0.00024818117358856604
Position 1624: 0.0002249160256524777
Position 773: 0.00022275650655505485
Position 1915: 0.00022241453786441912
Position 624: 0.00019864021030585477
Position 737: 0.0001940451343592516
Position 2146: 0.00019158699114356874
Position 220: 0.00017392230406577903
Position 2004: 0.00017057698244426792
Position 235: 0.00015070684845919295
Position 2007: 0.00014940270875158626
Position 544: 0.0001410013004622398
Position 1655: 0.00012985795994903456
Position 353: 0.0001231705667006521
Position 2111: 0.00011987030818326927
Position 253: 0.00010816711099492127
Position 288: 9.725658492457357e-05
Position 2397: 9.209236936653992e-05
Position 606: 8.856958322031315e-05
Position 2185: 7.898152227263803e-05
Position 498: 7.483345350601577e-05
Position 1485: 7.128011738465874e-05
Position 1488: 6.273677208278271e-05
Position 1794: 6.23458589307001e-05
Position 1498: 5.381533454075551e-05
Position 731: 5.2821490137258194e-05
Position 375: 4.490977905182257e-05
Position 306: 4.313150092566323e-05
Position 1102: 4.2308359770203994e-05
Position 915: 3.9239133969453595e-05
Position 393: 3.268177685248949e-05
Position 2199: 2.3533439453957846e-05
Position 265: 2.220492642739464e-05
Position 246: 2.2107372862166124e-05
Position 941: 2.1634017320172846e-05
Position 2265: 1.8408617223063364e-05
Position 1579: 1.799201099119287e-05
Position 717: 1.0221889535653268e-05
Position 615: 1.0027602067469214e-05
Position 290: 4.002124722702933e-06
Position 581: 3.256919566088573e-06
Position 1181: 2.6264987546635145e-06
Position 547: 2.162815361551234e-06
Position 1266: 1.5138914771176301e-06
Position 1246: 1.4265971732496478e-06
Position 271: 1.229248100290876e-06
Position 313: 1.0868186289832474e-06
Position 1132: 9.222628212316495e-07
Position 409: 7.599217823615662e-07
Position 692: 6.310030724072934e-07
Position 335: 4.3088042865886386e-07
Position 557: 3.82917646256883e-07
Position 552: 2.467983442652247e-07
Position 586: 1.3853631371927686e-07
Position 1473: 1.0967991679263208e-07
Position 327: 1.0683222013587756e-07
Position 311: 8.114411109159451e-08
Position 321: 2.6879520584418835e-08
Position 631: 1.6814812586618913e-08
Position 626: 1.6412674547582046e-08
Position 113: 6.624154652199729e-10
Position 136: 8.576812432273122e-11
Position 710: 2.618104166963572e-11
Position 118: 1.7559220244607722e-11
Position 109: 3.0244841982537725e-12
Position 71: 1.7131532940414777e-12
Position 79: 3.281024532270097e-14
Position 88: 2.7265501777364343e-15
Position 77: 1.505144368694482e-15
