Gene = Icos
index = 558
Annotated 5SS: [   90 16114 16790 17682]
Annotated 3SS: [15774 16682 17596 19773]
SMsplice 5SS: [   90  5978 16790 17682]
SMsplice 3SS: [ 5897 16682 17596 19773]
top_k =  1000
Partition function (log Z): -6.5359814016718305

Sorted 5' Splice Sites (High to Low Probability):
Position 90: 0.9915380992318451
Position 16790: 0.9021029443442874
Position 5978: 0.8673484654326937
Position 14131: 0.7394652336588868
Position 17682: 0.6424971877317339
Position 19451: 0.4541115575209069
Position 847: 0.34249635799086225
Position 3691: 0.33407437824916936
Position 16114: 0.28833705549393357
Position 6297: 0.17029432806056166
Position 13592: 0.1240154836238111
Position 16965: 0.10039805829861688
Position 5324: 0.10007930941005014
Position 11755: 0.09714912956164082
Position 13574: 0.09441750087202107
Position 2728: 0.08369587305239776
Position 14417: 0.07630642751410202
Position 5637: 0.06086871537809482
Position 1379: 0.053558144215995175
Position 8416: 0.052925810589860414
Position 18041: 0.04468284280448804
Position 2450: 0.024449865645045088
Position 2985: 0.02134849341018705
Position 1491: 0.019597038695857605
Position 7156: 0.019283100849782277
Position 13178: 0.019050859233353607
Position 8563: 0.01448207000810932
Position 1504: 0.012876608317352512
Position 547: 0.012297221090598495
Position 21487: 0.011011481499746359
Position 3851: 0.010858043648923035
Position 20997: 0.010717463751928108
Position 19976: 0.008437430162316064
Position 20992: 0.007481680597645608
Position 22046: 0.007083090935203421
Position 2099: 0.007068526027738036
Position 331: 0.006018878742508206
Position 4940: 0.005215612110434149
Position 280: 0.004950510133753715
Position 21627: 0.0045444844473324685
Position 2021: 0.004308159301601907
Position 3280: 0.0037609590132171187
Position 2875: 0.0036626476901925917
Position 4623: 0.0030035602283073385
Position 851: 0.0027515227416698104
Position 5670: 0.001115683692674501
Position 292: 0.0008750410095554995
Position 20306: 0.0006562830504672443
Position 395: 0.0005587917045529159
Position 3033: 0.0004797859922448024
Position 17198: 0.0002278124612380285
Position 1665: 0.00020898765545740468
Position 1824: 0.0001928370678352504
Position 166: 0.00018912452619539164
Position 792: 0.0001743911309725726
Position 2109: 0.00015510900426881824
Position 2698: 8.594846332314843e-05
Position 796: 8.462075860639672e-05
Position 584: 7.486996787233735e-05
Position 19936: 5.74751478012402e-05
Position 20149: 5.697671211874542e-05
Position 153: 4.763146541863333e-05
Position 567: 4.5907469698413816e-05
Position 296: 3.3995947732929904e-05
Position 40: 2.741464176304972e-05
Position 315: 2.177698309101988e-05
Position 2882: 1.722924158669774e-05
Position 503: 1.5696073480782958e-05
Position 1173: 1.453078352354758e-05
Position 558: 1.3263179191170762e-05
Position 711: 1.2498830148482318e-05
Position 1853: 1.11662964838788e-05
Position 286: 9.05644495585843e-06
Position 840: 8.79437327129061e-06
Position 313: 8.169871450738046e-06
Position 94: 7.739129602439171e-06
Position 388: 7.668174148053745e-06
Position 118: 6.560089918956491e-06
Position 403: 5.730364944871751e-06
Position 491: 5.465309691104551e-06
Position 551: 5.331117482392118e-06
Position 3309: 4.961266405326971e-06
Position 2041: 4.472143122284021e-06
Position 2752: 3.7892826397033005e-06
Position 51: 3.2083964079674254e-06
Position 375: 3.173236595532501e-06
Position 59: 3.151974965769834e-06
Position 368: 3.070582042595541e-06
Position 986: 2.228590554730427e-06
Position 835: 1.796837212703785e-06
Position 53: 1.7252052750531214e-06
Position 824: 1.5789814871325398e-06
Position 1199: 1.37234111371318e-06
Position 4191: 1.1570022322753062e-06
Position 386: 7.095981626571706e-07
Position 1021: 6.323511595173941e-07
Position 572: 5.295839066066691e-07
Position 940: 2.9988469797808054e-07
Position 237: 1.3192941768617276e-07
Position 588: 1.3177879896842893e-07
Position 748: 1.3028980408130687e-07
Position 270: 2.946760987659536e-09
Position 217: 5.6771215612874004e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 16682: 0.902513300497844
Position 5897: 0.8493523091826324
Position 14026: 0.7398053258189342
Position 17596: 0.5734592609948733
Position 19773: 0.358514287379523
Position 19373: 0.3194743771528537
Position 15774: 0.2899858934820057
Position 3589: 0.24152487847826035
Position 641: 0.20139007592287322
Position 21794: 0.19673938279022113
Position 20889: 0.1773942807442529
Position 13407: 0.16737358123787305
Position 6188: 0.1636495845249297
Position 19330: 0.13711688249806925
Position 645: 0.11805658936567366
Position 20206: 0.095470039981597
Position 5210: 0.09410115189412577
Position 16829: 0.08707342364766157
Position 3545: 0.08404851147895478
Position 21412: 0.0780208150323891
Position 14256: 0.07648116921581813
Position 5564: 0.06925957309246715
Position 11654: 0.06164163727410937
Position 8339: 0.05896399748761074
Position 21509: 0.05838767324447504
Position 17523: 0.051863972858149414
Position 13480: 0.05116436128971394
Position 2555: 0.04275753866145674
Position 2642: 0.030910709266672946
Position 11585: 0.030488103817433165
Position 1221: 0.028543344708932817
Position 17880: 0.026852783271131008
Position 17348: 0.02279833931722801
Position 22029: 0.020331707815565776
Position 12938: 0.019318304698321794
Position 6991: 0.019287570750958365
Position 21893: 0.018484993136313473
Position 2300: 0.01772867962101102
Position 16857: 0.015578992578597182
Position 17949: 0.014251608078247291
Position 2782: 0.014129821974090842
Position 675: 0.014042336811121055
Position 1346: 0.012549000697270586
Position 1111: 0.011271468864935843
Position 3768: 0.010922865768760932
Position 1242: 0.01092013006491376
Position 1279: 0.008703172323445097
Position 8514: 0.008512666886614392
Position 233: 0.0077550942909396505
Position 5769: 0.007481272978144419
Position 1376: 0.0066993505079198075
Position 3474: 0.006608596254092417
Position 1933: 0.0064855516735327565
Position 5910: 0.006142650812781912
Position 228: 0.006091400104681206
Position 22149: 0.005887294769133014
Position 2361: 0.0056947381621390465
Position 19875: 0.0056531741533280035
Position 18958: 0.005105805853580496
Position 11735: 0.0050262968208785305
Position 2538: 0.004698934114053088
Position 20362: 0.004609728720765068
Position 2863: 0.004538878510939464
Position 4782: 0.004324004324897674
Position 17846: 0.004004491725170052
Position 3166: 0.003974102234524724
Position 5014: 0.003608317689455849
Position 1916: 0.003517566163750524
Position 22273: 0.0033245968774660685
Position 420: 0.003050415748330888
Position 4497: 0.002941187376123359
Position 17767: 0.0028027032271792617
Position 757: 0.0024927369870123366
Position 5100: 0.0023708960947511747
Position 2558: 0.0023013185643239223
Position 6114: 0.0022842072093534867
Position 1133: 0.002158385851360722
Position 2844: 0.001735003359886725
Position 683: 0.0016378059042891002
Position 2978: 0.0015875599265979766
Position 2646: 0.0015754209899823094
Position 3522: 0.001318643426188991
Position 1170: 0.0011899773401795354
Position 2567: 0.0011461112811953012
Position 1416: 0.0010712246612516612
Position 2927: 0.0010288419476597692
Position 17033: 0.0009630660343458753
Position 718: 0.0008972360724588366
Position 20088: 0.0008954736906948858
Position 1902: 0.000819847529003119
Position 6144: 0.0008159578997552614
Position 748: 0.0007980733206638897
Position 4456: 0.0007496549050328354
Position 15303: 0.0007274444719120733
Position 426: 0.0007175448515053303
Position 647: 0.0007053150937322834
Position 1250: 0.0006604510906829423
Position 455: 0.0006585022740569945
Position 1130: 0.0005950188256080461
Position 266: 0.0005930670291120729
Position 2850: 0.0005529089932582819
Position 809: 0.0005493492557852176
Position 19809: 0.0005467162621066288
Position 6207: 0.0005409758321225035
Position 386: 0.0005152154318659528
Position 2284: 0.0004917818215841174
Position 1093: 0.0004909653999811584
Position 2739: 0.0004735280856126617
