Gene = Ick
index = 557
Annotated 5SS: [  141 18257 22336 26783 27959 37347 40422 42202 44638 47245 47497 51345
 53718]
Annotated 3SS: [17979 22280 26660 27878 37213 40249 42033 44325 47053 47347 51215 53594
 54284]
SMsplice 5SS: [  141 18257 22336 26783 28651 37347 40422 42202 44638 47245 47497 48133
 51345 53718 55096 56679 57408]
SMsplice 3SS: [18100 22280 26660 28480 37213 40249 42033 44325 47053 47347 48056 51215
 53594 54992 56529 57289 58180]
top_k =  1000
Partition function (log Z): -30.19777797131948

Sorted 5' Splice Sites (High to Low Probability):
Position 141: 0.9578291108971155
Position 18257: 0.6059027886299254
Position 22336: 0.25572701252174296
Position 5156: 0.24062674055363054
Position 386: 0.04577865718303714
Position 5768: 0.03458040358966358
Position 4028: 0.024547353589412173
Position 1111: 0.015249257735601781
Position 2726: 0.012254641766522004
Position 3316: 0.012062140305834156
Position 2375: 0.010347799161248342
Position 10917: 0.007940876433086854
Position 1685: 0.007586835559468975
Position 9178: 0.006165842587033005
Position 6364: 0.005890404207330415
Position 877: 0.005768087183873541
Position 5280: 0.005460699626926662
Position 5782: 0.004749739787957953
Position 7784: 0.004487288696551725
Position 9333: 0.0038708411914078144
Position 895: 0.003003993657794185
Position 653: 0.0028658483954886863
Position 10541: 0.002283775936900045
Position 203: 0.0020389065330783866
Position 7929: 0.0016841939756606574
Position 1814: 0.0012245528165248578
Position 4801: 0.0010631326708637865
Position 5935: 0.0010233955409361863
Position 5043: 0.0009648167587321938
Position 325: 0.0009322303777926256
Position 390: 0.00051346876615777
Position 2730: 0.0004232233919049334
Position 1818: 0.000391257517043882
Position 4116: 0.0003690356966056895
Position 5865: 0.0003677978538224776
Position 3017: 0.00025481238429478337
Position 3568: 0.00020031145458412712
Position 4574: 0.0001344597773076926
Position 7853: 0.0001341971381923117
Position 109: 9.803366880259035e-05
Position 6020: 9.130141731384622e-05
Position 62: 8.909625789397988e-05
Position 5702: 7.722375542006267e-05
Position 1707: 5.376334495253156e-05
Position 2270: 4.9386902501603064e-05
Position 1399: 4.0037989496651624e-05
Position 2164: 3.606483992115642e-05
Position 47: 2.8238373047578356e-05
Position 5319: 2.5868952138695033e-05
Position 3899: 2.5746987344096364e-05
Position 1885: 2.4852181414601086e-05
Position 272: 1.9045473909023486e-05
Position 394: 1.8443803788031098e-05
Position 4872: 1.4159916975731086e-05
Position 5535: 1.3238633982259698e-05
Position 997: 9.160983442806644e-06
Position 281: 7.93106617086147e-06
Position 145: 6.144887255779056e-06
Position 591: 5.414835571629376e-06
Position 2277: 4.930562070015512e-06
Position 193: 4.484375173228518e-06
Position 406: 2.5294503950506643e-06
Position 559: 1.3465448352961842e-06
Position 463: 1.2411447367895668e-06
Position 1518: 1.2200129813039207e-06
Position 398: 9.482746065706619e-07
Position 620: 9.170127113665602e-07
Position 1001: 9.058529398443682e-07
Position 19: 7.440933195691202e-07
Position 605: 6.28317876669335e-07
Position 1302: 6.096990714718848e-07
Position 1537: 5.244991160668227e-07
Position 258: 4.5646124367398524e-07
Position 684: 4.517117409119565e-07
Position 247: 4.461540686709439e-07
Position 786: 4.19493018034613e-07
Position 185: 2.0057392944300388e-07
Position 1613: 1.9890695158123118e-07
Position 1936: 1.9620754580341612e-07
Position 1539: 1.5693211754872408e-07
Position 1022: 1.536929736021945e-07
Position 1509: 1.424890486154792e-07
Position 1189: 1.3535278448869247e-07
Position 448: 1.315593381590291e-07
Position 1370: 1.256465657601771e-07
Position 329: 1.25372640735741e-07
Position 1467: 1.249375082415081e-07
Position 545: 1.2109357097020667e-07
