Gene = Luzp2
index = 651
Annotated 5SS: [   406 217256 222502 227736 239474 331648 336644 371147 376272 413876
 428743]
Annotated 3SS: [217137 222430 227653 239410 331584 336580 371071 376106 413782 428664
 429646]
SMsplice 5SS: [   406    674  12480  21448  43383  43629  43885  51541  74682  76145
 123936 134764 142426 143845 165184 185742 186422 195712 217256 222502
 227736 239474 275343 331648 335632 362473 371147 376026 376272 378281
 381113 382445 413876]
SMsplice 3SS: [   584  12253  21366  43272  43479  43729  51389  74508  76034 123811
 134674 142263 143595 165027 185649 186331 195616 217137 222430 227653
 239410 275262 331584 335514 362361 371071 375902 376106 378141 380992
 382354 413782 418433]
top_k =  1000
Partition function (log Z): -194.99727972969524

Sorted 5' Splice Sites (High to Low Probability):
Position 406: 0.9946299302083021
Position 674: 0.43590687321966154
Position 12480: 0.2854197331165344
Position 7591: 0.26524195448932225
Position 693: 0.24424712572154442
Position 6312: 0.2268771470149341
Position 159: 0.1402065837566095
Position 9348: 0.07658850663208067
Position 4675: 0.05201027317726242
Position 896: 0.05150532535625223
Position 1898: 0.04553622447539483
Position 748: 0.04256233500805357
Position 3892: 0.04119628369323698
Position 5697: 0.029606578653345837
Position 8820: 0.01634070695337906
Position 112: 0.013330292709705276
Position 3801: 0.01164222386447146
Position 6318: 0.011052494569406714
Position 43: 0.006198058725173797
Position 647: 0.005885912725734289
Position 7784: 0.004273357974044851
Position 79: 0.002265301922427895
Position 23: 0.0013465672411957126
Position 191: 0.0012186453852522984
Position 7793: 0.000632133746722673
Position 4712: 0.0005956540142507184
Position 6564: 0.0005603941705186972
Position 6239: 0.0005253702456494062
Position 853: 0.0004880029814040535
Position 226: 0.00030842166133123155
Position 35: 0.0003002227834329999
Position 324: 0.00021649607727769018
Position 873: 0.0002082877950418428
Position 2033: 0.00019999312926779927
Position 2796: 0.00012961138898380222
Position 727: 0.0001054245701659109
Position 410: 9.31237488278748e-05
Position 492: 9.036025366270392e-05
Position 1121: 7.687283573523748e-05
Position 1697: 7.591341577490068e-05
Position 721: 5.694002952131966e-05
Position 392: 3.343739915969297e-05
Position 1032: 3.056992404006381e-05
Position 1716: 2.529339302007903e-05
Position 1851: 1.7086211571476273e-05
Position 218: 1.3571797344270217e-05
Position 2742: 1.1096292953001257e-05
Position 230: 1.0922465601534293e-05
Position 799: 1.0141413305531294e-05
Position 624: 8.47291033636945e-06
Position 2539: 8.250633282442093e-06
Position 311: 7.811025001950167e-06
Position 1128: 7.5698278293618076e-06
Position 3287: 7.170931084885525e-06
Position 1117: 7.06622643313576e-06
Position 1268: 6.892420883237761e-06
Position 197: 5.374829207539897e-06
Position 1419: 5.025583197353837e-06
Position 1081: 2.996527080848351e-06
Position 220: 2.9416607482262248e-06
Position 637: 5.893987271266032e-07
Position 753: 1.8031581680730543e-08
Position 859: 9.693926678895809e-09
Position 545: 5.0960996923409404e-09
Position 880: 3.941826353936767e-09
Position 833: 3.553849776183667e-09
Position 782: 2.9859614953978805e-09
Position 828: 1.089566297696284e-09
Position 836: 7.321715958722422e-10
Position 562: 3.8772136938246757e-10
Position 536: 1.1108067778993088e-10
Position 570: 5.783819559931328e-12
Position 889: 5.4829441553805215e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 584: 0.8270997965614449
Position 12253: 0.43554726591460297
Position 7565: 0.2970582463070888
Position 6164: 0.2295634478773124
Position 18944: 0.19343931416010637
Position 236: 0.1472826916758916
Position 8379: 0.11613188231642232
Position 3640: 0.06439092006090713
Position 7693: 0.06380634958894414
Position 4597: 0.053674370010220296
Position 9218: 0.04563985699864111
Position 1785: 0.0441276008078592
Position 9242: 0.039869095308609694
Position 7400: 0.036750256711974676
Position 11136: 0.03438858373863269
Position 7721: 0.026826130280587102
Position 7706: 0.024612474102606995
Position 14849: 0.024204238702255333
Position 14443: 0.02151631042625562
Position 15495: 0.020260077394078285
Position 9833: 0.020209184728424506
Position 13643: 0.016868856695281854
Position 5616: 0.016539555029185436
Position 7910: 0.015584338783439953
Position 5292: 0.01389237528022461
Position 2704: 0.010122765846668266
Position 5328: 0.009339630609203781
Position 9769: 0.008933691952865842
Position 1605: 0.00802341663205399
Position 10926: 0.007682679822283758
Position 764: 0.007611333873306781
Position 3705: 0.007165807380291811
Position 6183: 0.006598731568722224
Position 804: 0.0063856669276805954
Position 924: 0.005359865989412236
Position 13845: 0.004811048431589345
Position 6043: 0.004516336443475934
Position 773: 0.0043227860251822845
Position 13936: 0.004319887306963603
Position 1706: 0.0041125066376903096
Position 3684: 0.003954660792176149
Position 10397: 0.0037679255867292608
Position 3076: 0.003592491950813112
Position 6730: 0.003442258740742678
Position 304: 0.003389286963375278
Position 3681: 0.003172616324677462
Position 4726: 0.0031157055439942232
Position 3719: 0.003050557916524931
Position 2873: 0.0026565365393313844
Position 3933: 0.0025960271661745653
Position 1943: 0.0025302357072403353
Position 3140: 0.0023917556448697663
Position 6047: 0.002359973394146834
Position 1432: 0.0019036844881543675
Position 281: 0.0019026336112613648
Position 7068: 0.0017919232996868783
Position 298: 0.001596210760523454
Position 2967: 0.0015622451518207806
Position 2926: 0.0013846534952265993
Position 262: 0.0013532246593035405
Position 1013: 0.0013225461640909394
Position 4561: 0.0013210320083547817
Position 269: 0.0012631900275654228
Position 1149: 0.0012109427936860527
Position 1789: 0.0011538370477622577
Position 607: 0.0011279398008344009
Position 9347: 0.0010930349844671676
Position 294: 0.001065445783708445
Position 8089: 0.001054539268870486
Position 787: 0.0009954218634670295
Position 5093: 0.0009143937458189289
Position 4846: 0.0008866908882505768
Position 1266: 0.0007593673355910438
Position 1175: 0.0006791704879538124
Position 5261: 0.0006405232036873905
Position 2296: 0.0006209096161513379
Position 1475: 0.0005912584194664914
Position 239: 0.000557429339262839
Position 6363: 0.0005560663319571573
Position 208: 0.0005140884640421894
Position 6900: 0.0004676815682454474
Position 2787: 0.00040970599099004746
Position 3314: 0.0003973759383821403
Position 2713: 0.0003932172004654473
Position 241: 0.00037004623482394036
Position 1649: 0.00035871342862370725
Position 4916: 0.00035396216378680523
Position 1493: 0.0003526151570367501
Position 1802: 0.00033201324061829686
Position 2734: 0.0003244444520579603
Position 5403: 0.0003236025213149142
Position 264: 0.00031612653254707584
Position 5988: 0.0003155691218099441
Position 1817: 0.00030913393674655035
Position 7340: 0.00030845627481368757
Position 2737: 0.0002926211905251613
Position 1576: 0.000290963035740845
Position 895: 0.00027362355068053006
Position 2762: 0.0002587855319724877
Position 4050: 0.00024999115091300965
Position 4326: 0.0002478748375184923
Position 266: 0.00024568695198318044
Position 545: 0.00023515180680310402
Position 3644: 0.00023384965529923654
Position 1847: 0.0002314773666208077
Position 1448: 0.0002270727673807009
Position 3192: 0.0002153908614928603
Position 921: 0.0001929213720069234
Position 3474: 0.0001789698903168644
Position 2359: 0.00017781776214140167
Position 95: 0.0001678463136173167
Position 4627: 0.00016123477242820455
Position 613: 0.00015769387317964763
Position 399: 0.0001423679905590387
Position 4114: 0.00013735146863892117
Position 2413: 0.00013084041508954763
Position 5853: 0.00012886444297351441
Position 2620: 0.00011762210304125353
Position 5082: 0.00011249655791377748
Position 2240: 0.00010285416913195623
Position 311: 0.00010080272287148086
Position 1223: 9.033319713578151e-05
Position 4165: 8.373211132148216e-05
Position 5145: 8.268165036470524e-05
Position 1154: 7.215767550164535e-05
Position 309: 6.387148845136883e-05
Position 1670: 5.702013641257266e-05
Position 1632: 5.593439153672235e-05
Position 562: 5.450250643984609e-05
Position 3301: 5.420585035271514e-05
Position 592: 4.900040562814868e-05
Position 2877: 4.632974193268648e-05
Position 1026: 4.275028224755609e-05
Position 3602: 4.157234036060986e-05
Position 2543: 3.291485628473982e-05
Position 2262: 3.248823188597738e-05
Position 1629: 3.172816832995078e-05
Position 2441: 2.936055917762417e-05
Position 2165: 2.9275473040655905e-05
Position 2132: 2.8446772230412413e-05
Position 2114: 2.786084057477396e-05
Position 737: 2.6915175853524256e-05
Position 2632: 2.641277626925511e-05
Position 2310: 2.6355530441809442e-05
Position 2247: 2.247912280465625e-05
Position 1250: 1.9152656459352462e-05
Position 149: 1.5197308335670308e-05
Position 306: 1.1242393750318929e-05
Position 812: 8.594597871919804e-06
Position 316: 8.554114153720083e-06
Position 321: 4.777201670312953e-06
Position 654: 4.591636127228616e-06
Position 836: 2.228419350591677e-06
Position 332: 1.9699677831642667e-06
Position 808: 1.96830252189411e-06
Position 814: 1.862106985202163e-06
Position 642: 1.524703366336869e-06
Position 324: 1.357923183519299e-06
Position 872: 1.26551924042799e-06
Position 176: 1.235841765623474e-06
Position 519: 8.534882235808045e-07
Position 536: 7.873846895580595e-07
Position 1676: 2.9625713942185516e-07
Position 1814: 2.8867409329281487e-07
Position 476: 2.4761666512063254e-07
Position 961: 1.8457040664048572e-07
Position 594: 1.73615169606284e-07
Position 524: 1.6986255000266868e-07
Position 480: 8.994426430062014e-08
Position 931: 8.971826824660103e-08
Position 719: 7.273324525297901e-08
Position 526: 5.220665829163258e-08
Position 405: 4.188456091102546e-08
Position 506: 3.536217381473462e-08
Position 660: 2.255840628555796e-08
Position 1851: 1.5704320655413368e-08
Position 521: 1.4568866506539842e-08
Position 748: 1.0342912268521523e-08
Position 500: 9.134043053019352e-09
Position 833: 8.823044214957624e-09
Position 1109: 4.852426430084624e-09
Position 818: 3.963552567310942e-09
Position 1057: 3.90037086890267e-09
Position 487: 3.6305479201429094e-09
Position 721: 2.614532212052154e-09
Position 460: 8.129065568834211e-10
Position 439: 6.968139988550383e-10
Position 823: 5.882877084846078e-10
Position 671: 4.067585070554775e-10
Position 492: 3.106468880947176e-10
Position 662: 2.9475696954833076e-10
Position 668: 2.700458023773535e-10
Position 415: 2.4346839555266105e-10
Position 424: 2.2315066176142163e-10
Position 436: 1.6828481151622104e-10
Position 458: 5.992099078245523e-14
Position 432: 3.6357480930117665e-16
