Gene = Sept1
index = 965
Annotated 5SS: [   82 14506 14676 15028 15746]
Annotated 3SS: [14414 14588 14903 15610 15838]
SMsplice 5SS: [   82  8696 14240 14506 14676]
SMsplice 3SS: [ 8572 14115 14414 14588 14903]
top_k =  1000
Partition function (log Z): -2.502907500056196

Sorted 5' Splice Sites (High to Low Probability):
Position 8696: 0.9941822566130052
Position 14506: 0.9247350131168374
Position 82: 0.9150191102639217
Position 14240: 0.8376804732612089
Position 14676: 0.6225414303269029
Position 772: 0.546054888019841
Position 15028: 0.3559109439460559
Position 3120: 0.26250961924305616
Position 13835: 0.19544446059697113
Position 14660: 0.15649755418453928
Position 2918: 0.1456987755011066
Position 7233: 0.14112538037376146
Position 14322: 0.10211755559845871
Position 5741: 0.07930658780905865
Position 15083: 0.05356888398864812
Position 14961: 0.04707335891811255
Position 3372: 0.04668786825422207
Position 6560: 0.043512740524842386
Position 8448: 0.03669380981621821
Position 3115: 0.033920309324835564
Position 7098: 0.02997544471882376
Position 1864: 0.029547313992597937
Position 1155: 0.02892043334877015
Position 429: 0.027442481242623825
Position 14969: 0.02563785136665482
Position 14510: 0.020889096503083047
Position 14691: 0.020673492169810966
Position 251: 0.020316049934269973
Position 5138: 0.012736120201300565
Position 66: 0.006452054702328852
Position 14526: 0.006199496364509332
Position 2239: 0.004877418655933265
Position 15274: 0.004624810892019863
Position 15448: 0.004440858902826454
Position 1477: 0.0032188152237435756
Position 14480: 0.002358162490108924
Position 14465: 0.002014740181990065
Position 12352: 0.001960934456876519
Position 6433: 0.0017491399906095133
Position 10630: 0.0017454730946288805
Position 12540: 0.0017213113831079307
Position 5516: 0.0016907576692818576
Position 10641: 0.0015035039436965202
Position 15746: 0.0011823529386223634
Position 8639: 0.0008645397185607114
Position 14499: 0.0008198241494577521
Position 14720: 0.0007813428447507566
Position 10568: 0.0007309275723273953
Position 4752: 0.0006504805343724851
Position 10645: 0.0006326423628402661
Position 10652: 0.0005870955813656708
Position 595: 0.0005738832336729658
Position 14514: 0.0004910762999913457
Position 568: 0.0004286749268686371
Position 15142: 0.0004200775639939785
Position 6862: 0.00038386925164434724
Position 1026: 0.00037149945546613303
Position 102: 0.0003431674468248135
Position 58: 0.0002738781933028841
Position 8739: 0.00025756093446240513
Position 4606: 0.0002556271625944754
Position 4587: 0.0002283117269859355
Position 86: 0.00020470039517435644
Position 14531: 0.0001932044264531236
Position 576: 0.0001848631132105383
