Gene = Hcst
index = 535
Annotated 5SS: [ 151 1236 1767]
Annotated 3SS: [1211 1634 2007]
SMsplice 5SS: [151]
SMsplice 3SS: [1211]
top_k =  1000
Partition function (log Z): -10.149424277192129

Sorted 5' Splice Sites (High to Low Probability):
Position 151: 0.829619188218933
Position 1236: 0.19319069142953732
Position 488: 0.09404683608623449
Position 1767: 0.04768746008118407
Position 95: 0.0468216371337682
Position 653: 0.019016972034619772
Position 218: 0.01809576849755355
Position 577: 0.015021285334148008
Position 1351: 0.011055802452916668
Position 450: 0.0033649747731436556
Position 250: 0.0033239155110792694
Position 222: 0.002293316556290069
Position 12: 0.0020055046875638188
Position 318: 0.0016322426730424168
Position 385: 0.0015066988782052187
Position 1293: 0.0012930865152517236
Position 1520: 0.0011987475186800405
Position 168: 0.0011271422880652737
Position 240: 0.0007798687529565036
Position 1383: 0.000704030776219566
Position 21: 0.00042988188752159605
Position 1528: 0.00039018154767263676
Position 198: 0.00038267783754681423
Position 1264: 0.00036520676733626064
Position 303: 0.00032313076287534496
Position 719: 0.00029857722255101176
Position 1635: 0.00025257274726793254
Position 611: 0.00019224232375493792
Position 520: 0.00017904609939434956
Position 629: 0.0001593215649778808
Position 1422: 0.00013123925820856012
Position 160: 0.0001288878148874803
Position 74: 0.00012827667181791359
Position 373: 0.00012551811294925244
Position 949: 0.00012498249678236738
Position 230: 0.0001238031810530014
Position 1891: 0.00012228167584164934
Position 722: 0.00011973777203506355
Position 1407: 0.00011696275881089308
Position 280: 0.00011256834528694592
Position 1718: 0.00010259362832146217
Position 1797: 9.699434303858385e-05
Position 709: 9.558708782754624e-05
Position 49: 9.50568635292259e-05
Position 1733: 7.10780181633359e-05
Position 618: 6.785647905804548e-05
Position 1868: 5.652607562169853e-05
Position 1297: 4.319312286864075e-05
Position 1737: 4.301211937740291e-05
Position 1221: 4.065116926179498e-05
Position 412: 3.553739908361386e-05
Position 1700: 2.6517325417102428e-05
Position 777: 2.3871998123261494e-05
Position 522: 2.2528163867549858e-05
Position 415: 2.2506513068361143e-05
Position 343: 1.7311348887508497e-05
Position 1012: 1.298586478226971e-05
Position 1946: 1.1656907120186519e-05
Position 821: 6.05758557969597e-06
Position 363: 6.004004323901127e-06
Position 1320: 5.802399028786972e-06
Position 425: 4.58082522269687e-06
Position 1424: 4.542587697074887e-06
Position 368: 4.45131129874014e-06
Position 131: 4.173758299863313e-06
Position 501: 3.505537571079311e-06
Position 931: 3.357459429770143e-06
Position 816: 3.134314831253432e-06
Position 309: 3.0210844606023215e-06
Position 358: 2.9338575211414227e-06
Position 803: 2.891505541913003e-06
Position 1065: 2.3682662217823823e-06
Position 544: 2.296039266076967e-06
Position 766: 2.266117037729344e-06
Position 675: 1.8536279090161278e-06
Position 398: 1.5639341035842388e-06
Position 768: 1.1108835428837222e-06
Position 712: 8.898546480095013e-07
Position 1077: 3.0662298058900515e-07
Position 437: 2.095446350380133e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 1211: 0.5530085433927897
Position 449: 0.1523019850139141
Position 2007: 0.1096968737087681
Position 1634: 0.10169870145955721
Position 1377: 0.08368037405864343
Position 1535: 0.05112752514201561
Position 517: 0.04585563892229776
Position 1101: 0.04246853977939126
Position 1413: 0.04116841595389957
Position 1338: 0.014947289077185054
Position 1679: 0.013384670793518318
Position 2010: 0.012952282316647114
Position 1305: 0.007745071514211433
Position 772: 0.007545157207072369
Position 1721: 0.006990121373116393
Position 1104: 0.004624259391219863
Position 1422: 0.0039699979261305805
Position 846: 0.003949683970581124
Position 415: 0.0035749936358117395
Position 487: 0.003570591567494906
Position 920: 0.0035091950959103718
Position 1350: 0.0034519420295808425
Position 1145: 0.0028514279267648416
Position 1431: 0.002442449447075526
Position 2118: 0.002324311248991425
Position 2123: 0.0022952949524812777
Position 2041: 0.0021190576026408007
Position 1841: 0.0014092056394750297
Position 343: 0.0013526923268501888
Position 1755: 0.0009172897594418939
Position 534: 0.000870161055456716
Position 1383: 0.0008385604436575506
Position 1273: 0.0007566014739672884
Position 368: 0.0007234390683499973
Position 854: 0.0007116383332835178
Position 1042: 0.0005893965626046398
Position 987: 0.0005371677703411594
