Gene = C130074G19Rik
index = 193
Annotated 5SS: [533]
Annotated 3SS: [8790]
SMsplice 5SS: [ 533 3561 7401]
SMsplice 3SS: [ 3456  7289 10285]
top_k =  1000
Partition function (log Z): -8.91244003920101

Sorted 5' Splice Sites (High to Low Probability):
Position 533: 0.9234324617667865
Position 3561: 0.6126421552069051
Position 7401: 0.5323504339546509
Position 8929: 0.21527023025042552
Position 2707: 0.12871381537013343
Position 4250: 0.12336395564670567
Position 2675: 0.0984634550449252
Position 4162: 0.09334792377177278
Position 502: 0.04188067034661809
Position 1300: 0.035232965356556185
Position 4280: 0.034534039480860014
Position 3592: 0.02832925852069203
Position 1741: 0.024466512734270633
Position 9137: 0.02136537194481613
Position 5669: 0.017851434983704475
Position 6117: 0.015143658798432526
Position 378: 0.014247655176140236
Position 523: 0.013967479968420488
Position 2753: 0.011384192341957457
Position 4964: 0.010445393670465092
Position 9910: 0.010243965971939035
Position 2671: 0.010116983192045553
Position 10790: 0.009824672538594658
Position 8410: 0.00964796255432949
Position 3138: 0.008706627925456857
Position 1608: 0.007799979510875466
Position 1151: 0.007207792106138615
Position 8711: 0.006083465678658419
Position 1285: 0.005395533127043378
Position 4304: 0.005035333703517049
Position 1790: 0.0050144034427320435
Position 10414: 0.004607356174666086
Position 9142: 0.004543214034363862
Position 5543: 0.003566278198625379
Position 3115: 0.003527753849770502
Position 7559: 0.003324617710612301
Position 2087: 0.0033140017748613817
Position 145: 0.0031953952002189622
Position 3813: 0.00297886848239133
Position 1414: 0.0029249952230582087
Position 233: 0.002610810658326538
Position 1336: 0.0022568372521592724
Position 2345: 0.0019343163294264858
Position 1632: 0.0018736579503317373
Position 1319: 0.0017068281752914325
Position 711: 0.0013742838826514604
Position 9777: 0.0013473467815349912
Position 8166: 0.0012799194437010295
Position 706: 0.0012690352678240153
Position 638: 0.0012565734306202543
Position 309: 0.0010022924932907022
Position 1348: 0.0009475719768737467
Position 7724: 0.0009462048795783714
Position 3876: 0.0008356704601252925
Position 3901: 0.0008132034456045194
Position 7755: 0.0006439212716301149
Position 2722: 0.000639340755237992
Position 8384: 0.0006246815794813839
Position 7991: 0.0006188681673635938
Position 689: 0.0005707671741744898
Position 2183: 0.0005028776518188019
Position 3416: 0.0004916317649505586
Position 811: 0.00046214317368522916
Position 1280: 0.00046062602309090674
Position 1037: 0.00042768054732861597
Position 7797: 0.00038111246368447956
Position 101: 0.00032158360514225435
Position 3218: 0.00027313413459293686
Position 2726: 0.00021479705883761685
Position 184: 0.00017993221247712023
Position 77: 0.00010730916882933183
Position 3579: 0.00010106264298843806
Position 1002: 8.240300797513783e-05
Position 3829: 7.11973682539553e-05
Position 1193: 6.418783524345322e-05
Position 2430: 5.3916819234851015e-05
Position 3869: 4.932741806999462e-05
Position 1376: 3.892195888698587e-05
Position 1161: 3.846944164094136e-05
Position 3850: 3.273275039672931e-05
Position 6760: 2.5699498761171502e-05
Position 962: 2.0295772147314107e-05
Position 537: 1.0993075554031067e-05
Position 578: 6.137264844673486e-06
Position 32: 5.0413693337167095e-06
Position 1344: 4.8556505068551575e-06
Position 46: 4.778414479728237e-06
Position 2776: 4.262004472386339e-06
Position 2644: 4.175954218169265e-06
Position 118: 4.059989414664943e-06
Position 2786: 3.1904524372061745e-06
Position 103: 3.0494059650856684e-06
Position 2547: 2.987804141995306e-06
Position 757: 2.9379741410799305e-06
Position 428: 2.863243094364565e-06
Position 1782: 2.2973010893026407e-06
Position 272: 2.28849417476818e-06
Position 2740: 2.210862270482467e-06
Position 173: 1.973925954782564e-06
Position 588: 1.8640394866041689e-06
Position 67: 1.735848650942033e-06
Position 1165: 1.699222532376189e-06
Position 1207: 1.6955119649966566e-06
Position 1029: 1.6438696302012353e-06
Position 5674: 1.6369629241785405e-06
Position 1667: 1.622616400042149e-06
Position 3639: 1.3009205096172412e-06
Position 1271: 1.230772839441414e-06
Position 1995: 1.1170964103893666e-06
Position 2893: 9.467696705674997e-07
Position 2850: 9.380651258075065e-07
Position 1694: 9.078523530321543e-07
Position 2884: 8.763038668249223e-07
Position 332: 8.222973647322785e-07
Position 1007: 7.687086930314255e-07
Position 593: 7.088669405095322e-07
Position 1274: 5.88636668116376e-07
Position 642: 3.791789583451066e-07
Position 745: 2.941526087362064e-07
Position 3119: 2.4853944684628314e-07
Position 1212: 4.949420035641872e-08
Position 596: 9.494988330594873e-09
Position 819: 2.0791885019790248e-10
Position 834: 1.7428713945756013e-10
Position 866: 8.800929194351236e-11
Position 751: 1.505356892289894e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 3456: 0.5474517625746996
Position 7289: 0.5243860201313332
Position 10285: 0.42968847360593304
Position 8790: 0.3060787744541156
Position 4048: 0.19684365799300024
Position 2606: 0.17837269793906116
Position 8276: 0.15734228381785464
Position 4153: 0.06903481686563616
Position 1150: 0.042349423138858255
Position 3707: 0.036456334460167196
Position 10710: 0.03515800199547123
Position 3490: 0.03451429928945229
Position 3461: 0.02883086794265407
Position 4003: 0.027833062360373816
Position 3054: 0.024472081451957818
Position 3326: 0.02420113266481364
Position 2536: 0.024134875992769866
Position 7669: 0.023931455911802006
Position 7293: 0.022863952067545823
Position 9508: 0.022405445482355072
Position 1498: 0.02132668871887209
Position 9360: 0.01828035443439672
Position 9687: 0.01770076652158405
Position 11116: 0.015397096266030445
Position 5398: 0.014789333183788635
Position 8953: 0.01474947560648803
Position 8557: 0.014380309118592486
Position 10083: 0.013837152639979157
Position 6001: 0.013832500903754482
Position 2609: 0.013792904543901738
Position 2581: 0.012323786248950806
Position 3671: 0.011002564802209455
Position 6698: 0.010893756254040345
Position 4786: 0.010086143272203812
Position 1501: 0.009601052565062787
Position 5530: 0.009292759065435419
Position 11161: 0.009089837453725465
Position 2588: 0.008958465364661966
Position 10316: 0.00870526394207338
Position 8982: 0.00868219679205496
Position 1204: 0.008402310471253317
Position 9700: 0.006935845619731288
Position 2449: 0.006580738302010243
Position 1454: 0.006362039763177649
Position 3374: 0.005110279165347118
Position 9381: 0.004895270520863584
Position 5365: 0.004366370022705909
Position 10238: 0.0036991507969707815
Position 8070: 0.0036227835650571387
Position 4012: 0.0036217387339838245
Position 1036: 0.0034556414055904776
Position 2628: 0.0034505329819630916
Position 1121: 0.003240127717807063
Position 8810: 0.002804437515201764
Position 5240: 0.0027173274803655146
Position 8845: 0.002611108145494064
Position 8676: 0.0025458736453902275
Position 2290: 0.0024525124127227423
Position 7702: 0.002432218499357669
Position 1641: 0.002397765249473706
Position 933: 0.0023314536252166825
Position 3648: 0.002297376113197906
Position 5643: 0.0022384576573573956
Position 2657: 0.0021774222761057507
Position 7137: 0.00193168234965246
Position 2035: 0.0018996408569664496
Position 451: 0.001620300036399515
Position 8857: 0.0014115204986959425
Position 3487: 0.0013737427407332647
Position 5570: 0.0013127961965506616
Position 5428: 0.0011761143143624727
Position 4574: 0.0011266530573481434
Position 3523: 0.0011226219564715893
Position 8651: 0.0010631760414616456
Position 7528: 0.001063076860695229
Position 8960: 0.000982982172460386
Position 5465: 0.0009745070782385774
Position 426: 0.000940710519168854
Position 1662: 0.0009236755406268968
Position 4220: 0.000915392621840704
Position 633: 0.0009040888144298951
Position 1857: 0.0008864402861617487
Position 1014: 0.0007958364213082056
Position 6070: 0.0007538803439468165
Position 1529: 0.0007471527974904725
Position 4716: 0.000677794649829218
Position 2467: 0.0006768651879208894
