Gene = Lce1k
index = 627
Annotated 5SS: [55]
Annotated 3SS: [992]
SMsplice 5SS: [158]
SMsplice 3SS: [992]
top_k =  1000
Partition function (log Z): -9.380990193981948

Sorted 5' Splice Sites (High to Low Probability):
Position 158: 0.5098301385017361
Position 380: 0.39898409340035024
Position 55: 0.28636991338902684
Position 721: 0.1148035774014427
Position 853: 0.020139379034525978
Position 476: 0.013335523962889373
Position 1494: 0.011775211521865149
Position 188: 0.00524715181527355
Position 126: 0.004734658764140494
Position 518: 0.00430047952937714
Position 565: 0.00402693752578437
Position 80: 0.003376343522617867
Position 176: 0.002714142785519114
Position 265: 0.0025452602606946977
Position 1084: 0.002244455878841861
Position 1060: 0.001954601955770034
Position 1133: 0.001595950292752305
Position 745: 0.0014946534976889748
Position 1399: 0.0011005727234867186
Position 399: 0.0009333354556791952
Position 162: 0.0009123893327718997
Position 22: 0.0008608569952961808
Position 1123: 0.0006530511219530013
Position 365: 0.0006402831688672101
Position 1498: 0.0005620662277573265
Position 220: 0.00047993921816260184
Position 819: 0.00042482835463851433
Position 839: 0.0003930539885579364
Position 321: 0.0003886290993633419
Position 1146: 0.00038183274593568846
Position 821: 0.00033163663319274293
Position 1113: 0.00028762157378442585
Position 494: 0.0002873350239847661
Position 42: 0.0002850276133692692
Position 846: 0.00027388068506159035
Position 1365: 0.00023070220385505843
Position 442: 0.0001604379331898115
Position 1419: 0.00013551642339526172
Position 337: 0.00011276582889891836
Position 617: 0.00010706475118593579
Position 554: 8.904205842531444e-05
Position 33: 8.578020550215781e-05
Position 711: 6.605028441967987e-05
Position 37: 5.916116490574966e-05
Position 873: 4.442440543346451e-05
Position 1155: 4.2986626702791236e-05
Position 124: 3.884634674577195e-05
Position 1164: 3.842455916517446e-05
Position 59: 3.646537409994747e-05
Position 1469: 2.8361960999800477e-05
Position 424: 2.58889878188075e-05
Position 592: 2.4143743623729738e-05
Position 725: 1.9750546066119103e-05
Position 1188: 1.2825391176582344e-05
Position 222: 1.0313375511832522e-05
Position 4: 9.367814938933996e-06
Position 44: 9.259687822460862e-06
Position 542: 8.48677352508709e-06
Position 965: 8.386128459330403e-06
Position 61: 6.205555174064087e-06
Position 82: 6.139714256685688e-06
Position 280: 3.403908657897683e-06
Position 411: 2.5078738990489276e-06
Position 24: 2.1865184278979754e-06
Position 257: 1.5780105967767365e-06
Position 269: 1.410393158134415e-06
Position 290: 1.094168418088801e-06
Position 46: 9.346284045510309e-07
Position 502: 7.86843738933641e-07
Position 346: 7.118192702124782e-07
Position 260: 4.2385472205071134e-07
Position 693: 3.9975689022828594e-07
Position 552: 3.8681923044705825e-07
Position 788: 2.2341618258353023e-07
Position 777: 2.1745592695918996e-07
Position 293: 1.7664184160193037e-07
Position 701: 5.086113059193661e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 992: 0.5491532303658124
Position 1571: 0.18947256691183856
Position 265: 0.12332853782143997
Position 301: 0.1213469288596036
Position 611: 0.10012255655331313
Position 278: 0.0974259252257222
Position 637: 0.04378862140451588
Position 1149: 0.019267382720953498
Position 1221: 0.015874857794699018
Position 1257: 0.015141178509658645
Position 665: 0.014595548482625098
Position 1492: 0.011369034560659423
Position 1290: 0.009163616620579301
Position 899: 0.009112530540020206
Position 1497: 0.008553357548860706
Position 1197: 0.00848237903998124
Position 592: 0.007735346418562227
Position 362: 0.006253131085891921
Position 238: 0.005515292453224726
Position 784: 0.005376444002174366
Position 542: 0.005345490964857296
Position 1173: 0.003926199305273197
Position 1266: 0.003772264394473642
Position 584: 0.0035445897415183445
Position 310: 0.0029886048306405674
Position 693: 0.002175541803319088
Position 1305: 0.0019178312911881708
Position 1060: 0.0016796860898593445
Position 1203: 0.0014833289696169556
Position 1414: 0.0014724792525484221
Position 719: 0.0013250777486685597
Position 1010: 0.0012091571039530512
Position 337: 0.0010598432105201974
Position 1123: 0.0010279480200484283
Position 452: 0.0007539050775463561
Position 379: 0.0006725840894102488
Position 1027: 0.0006660139029482538
Position 1308: 0.000575762945865452
Position 699: 0.00046584168140102235
Position 424: 0.00042495720881372435
Position 1338: 0.000316743899120978
Position 341: 0.0003052837352944456
Position 431: 0.00025915641190583585
Position 1335: 0.00019592348416878642
Position 1084: 0.00019380139319017018
Position 905: 0.00018603771429283057
Position 494: 0.00017540166419809943
Position 786: 0.0001670188198582527
Position 428: 0.0001307548221068466
Position 1573: 8.709053766559927e-05
Position 1365: 6.023882164899364e-05
Position 209: 5.227332897941194e-05
Position 721: 4.842703963631038e-05
Position 1534: 4.022369983052639e-05
Position 814: 4.013737759629805e-05
Position 1032: 3.8757694607831954e-05
Position 937: 3.6475383169673845e-05
Position 1179: 3.5806268404001406e-05
Position 1368: 3.410552011063206e-05
Position 517: 3.2185592047116896e-05
Position 435: 2.236203998225591e-05
Position 392: 1.7337493440734623e-05
Position 927: 1.7190487466892047e-05
Position 1248: 1.5532573831864627e-05
Position 523: 4.390023067301652e-06
Position 372: 4.175555821797341e-06
Position 215: 3.6681867457108427e-06
Position 512: 3.616178575930032e-06
Position 136: 2.7169950532982294e-06
Position 472: 1.9411905397317927e-06
Position 475: 1.5749431301004783e-06
Position 158: 1.4087780267618486e-06
Position 188: 1.2571031732058379e-06
Position 151: 1.2216817024708785e-06
Position 155: 7.179252406802353e-07
Position 206: 5.803053941341214e-07
Position 397: 3.1104610116220566e-07
Position 468: 1.4250389171864474e-07
Position 399: 1.0700446819301113e-07
Position 388: 8.065833260383239e-08
Position 129: 8.047930730832434e-08
Position 406: 6.197369901468485e-08
Position 404: 5.6103501951024096e-08
Position 171: 3.750585698209305e-08
Position 120: 3.68102412755907e-08
Position 140: 3.270105551603047e-08
Position 402: 2.5377480938911836e-08
Position 466: 6.37847299572124e-09
Position 68: 5.756316573853891e-09
Position 94: 5.295859055521945e-09
Position 91: 4.938186916632074e-09
Position 169: 3.785417051628251e-11
Position 103: 2.2846903758404438e-11
Position 79: 8.323928348257014e-13
Position 110: 7.524970109881272e-13
Position 113: 5.714463878084937e-13
Position 73: 4.211245754789226e-13
Position 118: 2.7165548837890257e-13
Position 76: 9.091481736344469e-18
Position 108: 2.680748331517172e-18
Position 116: 1.7237703331172378e-18
